script,offset,length,string,term_hit
long_update_thread_z.wsc,109219,18,TempDisableRespawn,disable
long_update_thread_z.wsc,112488,53,/content/DLC/ZombiePack/Gringos/ZombiePack_horseHitch,zombie
long_update_thread_z.wsc,112556,54,/content/DLC/ZombiePack/Gringos/ZombiePack_horseHitch2,zombie
long_update_thread_z.wsc,114667,18,dlc_zombiepack_rcm,zombie
long_update_thread_z.wsc,115333,12,ZOMBIE_STORY,zombie
long_update_thread_z.wsc,115587,12,ZOMBIE_STORY,zombie
long_update_thread_z.wsc,116944,5,start,star
long_update_thread_z.wsc,117166,9,disabled.,disable
long_update_thread_z.wsc,125284,18,dlc_zombiepack_rcm,zombie
long_update_thread_z.wsc,125544,25,dynamic_entry_for_morning,morning
long_update_thread_z.wsc,125787,25,dynamic_entry_for_morning,morning
long_update_thread_z.wsc,127538,18,RCM_Quest_Disabled,disable
long_update_thread_z.wsc,132295,26,ZOMBIE_STORY_2_ReturnNigel,zombie
long_update_thread_z.wsc,132339,26,ZOMBIE_STORY_2_ReturnNigel,zombie
long_update_thread_z.wsc,133684,24,blackwater_surv_blip_vol,"blackwater,black"
long_update_thread_z.wsc,133742,24,blackwater_surv_blip_vol,"blackwater,black"
long_update_thread_z.wsc,133814,24,blackwater_surv_blip_vol,"blackwater,black"
long_update_thread_z.wsc,134003,26,ZOMBIE_STORY_1Survivor_OBJ,zombie
long_update_thread_z.wsc,134056,26,ZOMBIE_STORY_1Survivor_OBJ,zombie
long_update_thread_z.wsc,134123,24,blackwater_surv_blip_vol,"blackwater,black"
long_update_thread_z.wsc,134182,24,blackwater_surv_blip_vol,"blackwater,black"
long_update_thread_z.wsc,134295,22,blackwater_gy_blip_vol,"blackwater,black"
long_update_thread_z.wsc,134408,18,ZOMBIE_STORY_1_OBJ,zombie
long_update_thread_z.wsc,134440,20,ZOMBIE_STORY_1_SHORT,zombie
long_update_thread_z.wsc,134479,21,ZOMBIE_STORY_1a_SHORT,zombie
long_update_thread_z.wsc,134516,18,ZOMBIE_STORY_1_OBJ,zombie
long_update_thread_z.wsc,134542,23,ZOMBIE_STORY_2Nigel_OBJ,zombie
long_update_thread_z.wsc,134571,22,ZOMBIE_STORY_2Seth_OBJ,zombie
long_update_thread_z.wsc,134614,20,ZOMBIE_STORY_2_SHORT,zombie
long_update_thread_z.wsc,134650,22,ZOMBIE_STORY_2Seth_OBJ,zombie
long_update_thread_z.wsc,134689,25,ZOMBIE_STORY_2Nigel_SHORT,zombie
long_update_thread_z.wsc,134731,23,ZOMBIE_STORY_2Nigel_OBJ,zombie
long_update_thread_z.wsc,134770,24,ZOMBIE_STORY_2Seth_SHORT,zombie
long_update_thread_z.wsc,134856,18,ZOMBIE_STORY_3_OBJ,zombie
long_update_thread_z.wsc,134889,20,ZOMBIE_STORY_3_SHORT,zombie
long_update_thread_z.wsc,134926,18,ZOMBIE_STORY_3_OBJ,zombie
long_update_thread_z.wsc,134952,18,ZOMBIE_STORY_4_OBJ,zombie
long_update_thread_z.wsc,134985,20,ZOMBIE_STORY_4_SHORT,zombie
long_update_thread_z.wsc,135047,18,ZOMBIE_STORY_4_OBJ,zombie
long_update_thread_z.wsc,135073,18,ZOMBIE_STORY_5_OBJ,zombie
long_update_thread_z.wsc,135106,20,ZOMBIE_STORY_5_SHORT,zombie
long_update_thread_z.wsc,135143,18,ZOMBIE_STORY_5_OBJ,zombie
long_update_thread_z.wsc,135324,15,blackwater1_OBJ,"blackwater,black"
long_update_thread_z.wsc,135366,15,blackwater1_OBJ,"blackwater,black"
long_update_thread_z.wsc,135488,10,Blackwater,"blackwater,black"
long_update_thread_z.wsc,135546,15,blackwater3_OBJ,"blackwater,black"
long_update_thread_z.wsc,135591,15,blackwater3_OBJ,"blackwater,black"
long_update_thread_z.wsc,135633,13,GY_RETURN_BLK,blk
long_update_thread_z.wsc,135676,13,GY_RETURN_BLK,blk
long_update_thread_z.wsc,135716,26,ZOMBIE_STORY_1Survivor_OBJ,zombie
long_update_thread_z.wsc,135769,26,ZOMBIE_STORY_1Survivor_OBJ,zombie
long_update_thread_z.wsc,135815,26,ZOMBIE_STORY_1Survivor_OBJ,zombie
long_update_thread_z.wsc,135865,15,blackwater2_OBJ,"blackwater,black"
long_update_thread_z.wsc,136449,26,ZOMBIE_STORY_2_ReturnNigel,zombie
long_update_thread_z.wsc,136564,26,ZOMBIE_STORY_2_ReturnNigel,zombie
long_update_thread_z.wsc,136775,12,ZOMBIE_STORY,zombie
long_update_thread_z.wsc,143330,60,/content/scripting/gringo/SimpleGringo/fake_blackjack_dealer,black
long_update_thread_z.wsc,143466,34,blackjack/Fake/Dealer/invite/front,black
long_update_thread_z.wsc,143513,33,blackjack/Fake/Dealer/invite/back,black
long_update_thread_z.wsc,147280,9,blackjack,black
long_update_thread_z.wsc,147576,7,enabled,enable
long_update_thread_z.wsc,150879,60,/content/scripting/gringo/SimpleGringo/fake_blackjack_dealer,black
long_update_thread_z.wsc,151188,53,/content/scripting/gringo/SimpleGringo/fake_blackjack,black
long_update_thread_z.wsc,153524,25,dynamic_entry_for_morning,morning
long_update_thread_z.wsc,153946,25,dynamic_entry_for_morning,morning
long_update_thread_z.wsc,154189,25,dynamic_entry_for_morning,morning
long_update_thread_z.wsc,158957,10,DEED_START,star
long_update_thread_z.wsc,160230,5,Start,star
long_update_thread_z.wsc,162600,7,Started,star
long_update_thread_z.wsc,177761,50,/content/DLC/ZombiePack/Missions/Zombie01/Zombie01,zombie
long_update_thread_z.wsc,177841,50,/content/DLC/ZombiePack/Missions/Zombie02/Zombie02,zombie
long_update_thread_z.wsc,177901,45,/content/DLC/ZombiePack/gringos/Zombie_Camp02,zombie
long_update_thread_z.wsc,177985,15,launch_Zombie02,zombie
long_update_thread_z.wsc,178031,50,/content/DLC/ZombiePack/Missions/Zombie03/Zombie03,zombie
long_update_thread_z.wsc,178091,45,/content/DLC/ZombiePack/gringos/Zombie_Camp03,zombie
long_update_thread_z.wsc,178175,15,launch_Zombie03,zombie
long_update_thread_z.wsc,178221,50,/content/DLC/ZombiePack/Missions/Zombie04/Zombie04,zombie
long_update_thread_z.wsc,179452,20,rsdROAD_thi_blk_road,blk
long_update_thread_z.wsc,179480,34,rsdROAD_thi_blk_roaddetachedCurve2,blk
long_update_thread_z.wsc,185806,7,enabled,enable
long_update_thread_z.wsc,185976,21,DISABLE_HORSE_WHISTLE,disable
long_update_thread_z.wsc,186015,21,DISABLE_HORSE_WHISTLE,disable
long_update_thread_z.wsc,186056,21,DISABLE_HORSE_WHISTLE,disable
long_update_thread_z.wsc,189399,13,HC_FIREBOTTLE,fire
medium_update_thread.wsc,27172,6,zombie,zombie
medium_update_thread.wsc,35949,7,enabled,enable
medium_update_thread.wsc,36301,7,enabled,enable
medium_update_thread.wsc,36462,7,enabled,enable
medium_update_thread.wsc,37408,20,rsdROAD_thi_blk_road,blk
medium_update_thread.wsc,37436,34,rsdROAD_thi_blk_roaddetachedCurve2,blk
medium_update_thread.wsc,43518,7,enabled,enable
medium_update_thread.wsc,43858,21,DISABLE_HORSE_WHISTLE,disable
medium_update_thread.wsc,43897,21,DISABLE_HORSE_WHISTLE,disable
medium_update_thread.wsc,43938,21,DISABLE_HORSE_WHISTLE,disable
medium_update_thread.wsc,48374,26,blk_archeologist01Props01x,blk
medium_update_thread.wsc,48594,21,mp_fom_burntDebris01x,debris
medium_update_thread.wsc,48766,12,arm_flags01x,flags
medium_update_thread.wsc,48784,12,chu_flags01x,flags
medium_update_thread.wsc,48802,12,esc_flags01x,flags
medium_update_thread.wsc,48820,12,han_flags01x,flags
medium_update_thread.wsc,48838,12,hen_flags01x,flags
medium_update_thread.wsc,48856,12,mtp_flags01x,flags
medium_update_thread.wsc,49609,23,blk_saloon_int_Props01x,"blk,saloon"
medium_update_thread.wsc,49638,18,blk_saloon_int_01x,"blk,saloon"
medium_update_thread.wsc,54585,20,rsdROAD_thi_blk_road,blk
medium_update_thread.wsc,54613,34,rsdROAD_thi_blk_roaddetachedCurve2,blk
medium_update_thread.wsc,54763,20,rsdROAD_thi_blk_road,blk
medium_update_thread.wsc,54791,34,rsdROAD_thi_blk_roaddetachedCurve2,blk
medium_update_thread.wsc,55421,11,morningStar,"morning,morningstar,star"
medium_update_thread.wsc,55438,19,blk_barge01Props01x,blk
medium_update_thread.wsc,55463,12,blk_barge01x,blk
medium_update_thread.wsc,55481,24,blk_theatre_int_Props01x,"blk,theatre"
medium_update_thread.wsc,55511,19,blk_theatre_int_01x,"blk,theatre"
medium_update_thread.wsc,55536,23,blk_bank01_int_Props02x,"blk,bank"
medium_update_thread.wsc,55565,16,blk_bank_int_02x,"blk,bank"
medium_update_thread.wsc,55587,22,blk_bank_int_shade_02x,"blk,bank"
medium_update_thread.wsc,55615,27,blk_cityHall01_int_Props01x,"blk,cityhall"
medium_update_thread.wsc,55648,20,blk_cityHall_int_01x,"blk,cityhall"
medium_update_thread.wsc,55674,32,blk_policeStation01_int_props02x,"blk,police"
medium_update_thread.wsc,55712,25,blk_policeStation_int_02x,"blk,police"
medium_update_thread.wsc,55743,32,blk_policeStation01_int_props01x,"blk,police"
medium_update_thread.wsc,55781,25,blk_policeStation_int_01x,"blk,police"
medium_update_thread.wsc,55812,31,blk_policeStation_int_shades01x,"blk,police"
medium_update_thread.wsc,55849,27,blk_blacksmith_int_Props01x,"black,blk"
medium_update_thread.wsc,55882,22,blk_blacksmith_int_01x,"black,blk"
medium_update_thread.wsc,55910,23,blk_church_int_Props01x,"blk,church"
medium_update_thread.wsc,55939,18,blk_church_int_01x,"blk,church"
medium_update_thread.wsc,55963,30,blk_doctorsOffice_int_Props01x,blk
medium_update_thread.wsc,55999,25,blk_doctorsOffice_int_01x,blk
medium_update_thread.wsc,56030,33,blk_freightstation01_int_Props01x,"blk,freight"
medium_update_thread.wsc,56069,26,blk_freightstation_int_01x,"blk,freight"
medium_update_thread.wsc,56101,29,blk_generalStore_int_Props01x,"blk,generalstore"
medium_update_thread.wsc,56136,29,blk_generalStore_int_Props02x,"blk,generalstore"
medium_update_thread.wsc,56171,24,blk_generalStore_int_01x,"blk,generalstore"
medium_update_thread.wsc,56201,25,blk_tailor01_int_Props01x,"blk,tailor"
medium_update_thread.wsc,56232,18,blk_tailor_int_01x,"blk,tailor"
medium_update_thread.wsc,56256,29,blk_trainstation_int_Props01x,"blk,trainstation"
medium_update_thread.wsc,56291,24,blk_trainstation_int_01x,"blk,trainstation"
medium_update_thread.wsc,56321,24,blk_gunshop_int_Props01x,"blk,gunshop"
medium_update_thread.wsc,56351,19,blk_gunshop_int_01x,"blk,gunshop"
medium_update_thread.wsc,56376,25,blk_theatre_int_shade_01x,"blk,theatre"
medium_update_thread.wsc,56407,30,blk_generalStore_int_shade_01x,"blk,generalstore"
medium_update_thread.wsc,56443,24,blk_tailor_int_shade_01x,"blk,tailor"
medium_update_thread.wsc,56473,31,blk_doctorsOffice_int_shade_01x,blk
medium_update_thread.wsc,56510,27,blk_forgeMill_int_shade_01x,blk
medium_update_thread.wsc,56543,25,blk_sawMill_int_shade_01x,blk
medium_update_thread.wsc,56574,32,blk_freightstation_int_shade_01x,"blk,freight"
medium_update_thread.wsc,56612,28,blk_blacksmith_int_shade_01x,"black,blk"
medium_update_thread.wsc,56646,26,blk_cityHall_int_shade_01x,"blk,cityhall"
medium_update_thread.wsc,56678,22,blk_bank_int_shade_01x,"blk,bank"
medium_update_thread.wsc,56706,29,mor_morningStar_int_shade_01x,"morning,morningstar,star,mor_"
medium_update_thread.wsc,56741,25,blk_gunshop_int_shade_01x,"blk,gunshop"
medium_update_thread.wsc,56772,23,blk_saloon_int_Props01x,"blk,saloon"
medium_update_thread.wsc,56801,18,blk_saloon_int_01x,"blk,saloon"
medium_update_thread.wsc,56825,24,blk_hotel01_int_Props01x,"blk,hotel"
medium_update_thread.wsc,56855,17,blk_hotel_int_01x,"blk,hotel"
medium_update_thread.wsc,56878,23,blk_hotel_int_shade_01x,"blk,hotel"
medium_update_thread.wsc,56907,29,blk_trainstation_int_Props01x,"blk,trainstation"
medium_update_thread.wsc,56942,24,blk_trainstation_int_01x,"blk,trainstation"
medium_update_thread.wsc,56972,30,mor_morningStar01_int_Props01x,"morning,morningstar,star,mor_"
medium_update_thread.wsc,57008,23,mor_morningStar_int_01x,"morning,morningstar,star,mor_"
medium_update_thread.wsc,57037,29,mor_morningStar_int_shade_01x,"morning,morningstar,star,mor_"
medium_update_thread.wsc,62196,7,enabled,enable
medium_update_thread.wsc,78417,6,Zombie,zombie
medium_update_thread.wsc,78435,6,Zombie,zombie
medium_update_thread.wsc,110722,9,BLINDFIRE,fire
medium_update_thread.wsc,111045,35,MP_WEAPON_CHALLENGE_LEVEL_START....,star
medium_update_thread.wsc,111932,13,VOTE_TO_START,star
medium_update_thread.wsc,112070,14,START_CUTSCENE,star
medium_update_thread.wsc,112298,10,BLIND_FIRE,fire
medium_update_thread.wsc,114402,7,started,star
medium_update_thread.wsc,114475,7,started,star
medium_update_thread.wsc,118628,7,started,star
medium_update_thread.wsc,118698,7,started,star
medium_update_thread_z.wsc,5601,6,Zombie,zombie
medium_update_thread_z.wsc,5619,6,Zombie,zombie
medium_update_thread_z.wsc,39588,6,zombie,zombie
medium_update_thread_z.wsc,41188,6,zombie,zombie
medium_update_thread_z.wsc,42461,17,dlc_frb_zombie02x,zombie
medium_update_thread_z.wsc,42614,20,rsdROAD_thi_blk_road,blk
medium_update_thread_z.wsc,42642,34,rsdROAD_thi_blk_roaddetachedCurve2,blk
medium_update_thread_z.wsc,47404,7,enabled,enable
medium_update_thread_z.wsc,47454,21,DISABLE_HORSE_WHISTLE,disable
medium_update_thread_z.wsc,47493,21,DISABLE_HORSE_WHISTLE,disable
medium_update_thread_z.wsc,47534,21,DISABLE_HORSE_WHISTLE,disable
medium_update_thread_z.wsc,51323,21,mp_fom_burntDebris01x,debris
medium_update_thread_z.wsc,51495,12,arm_flags01x,flags
medium_update_thread_z.wsc,51513,12,chu_flags01x,flags
medium_update_thread_z.wsc,51531,12,esc_flags01x,flags
medium_update_thread_z.wsc,51549,12,han_flags01x,flags
medium_update_thread_z.wsc,51567,12,hen_flags01x,flags
medium_update_thread_z.wsc,51585,12,mtp_flags01x,flags
medium_update_thread_z.wsc,52268,26,blk_archeologist01Props01x,blk
medium_update_thread_z.wsc,52300,15,noZombieFireArt,"zombie,fire"
medium_update_thread_z.wsc,52325,23,dlc_agv_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52354,21,dlc_agv_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52381,23,dlc_arm_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52410,21,dlc_arm_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52437,23,dlc_blk_zombieDebris01x,"blk,zombie,debris"
medium_update_thread_z.wsc,52466,21,dlc_blk_zombieFire01x,"blk,zombie,fire"
medium_update_thread_z.wsc,52493,25,dlc_blk_zombieGraffiti01x,"blk,zombie"
medium_update_thread_z.wsc,52524,23,dlc_but_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52553,21,dlc_but_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52580,23,dlc_cas_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52609,21,dlc_cas_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52636,23,dlc_chu_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52665,21,dlc_chu_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52692,23,dlc_cri_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52721,21,dlc_cri_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52748,23,dlc_dix_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52777,21,dlc_dix_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52804,23,dlc_elm_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52833,21,dlc_elm_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52860,23,dlc_esc_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52889,21,dlc_esc_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52916,23,dlc_frb_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,52945,21,dlc_frb_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,52972,23,dlc_gap_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53001,21,dlc_gap_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53028,23,dlc_hen_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53057,21,dlc_hen_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53084,23,dlc_lsh_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53113,21,dlc_lsh_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53140,23,dlc_mtp_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53169,21,dlc_mtp_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53196,23,dlc_nos_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53225,21,dlc_nos_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53252,23,dlc_pik_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53281,21,dlc_pik_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53308,23,dlc_pln_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53337,21,dlc_pln_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53364,23,dlc_ram_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53393,21,dlc_ram_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53420,23,dlc_rat_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53449,21,dlc_rat_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53476,23,dlc_rwf_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53505,21,dlc_rwf_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53532,23,dlc_sol_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53561,21,dlc_sol_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53588,23,dlc_tes_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53617,21,dlc_tes_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53644,23,dlc_thi_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53673,21,dlc_thi_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53700,23,dlc_tor_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53729,21,dlc_tor_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53756,23,dlc_twr_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53785,21,dlc_twr_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53812,23,dlc_upr_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53841,21,dlc_upr_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53868,23,dlc_ven_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53897,21,dlc_ven_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53924,23,dlc_war_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,53953,21,dlc_war_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,53983,23,dlc_agv_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,54012,21,dlc_agv_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,54039,23,dlc_arm_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,54068,21,dlc_arm_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,54095,23,dlc_blk_zombieDebris01x,"blk,zombie,debris"
medium_update_thread_z.wsc,54124,21,dlc_blk_zombieFire01x,"blk,zombie,fire"
medium_update_thread_z.wsc,54151,25,dlc_blk_zombieGraffiti01x,"blk,zombie"
medium_update_thread_z.wsc,54182,23,dlc_but_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,54211,21,dlc_but_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,54238,23,dlc_cas_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,54267,21,dlc_cas_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,54294,23,dlc_chu_zombieDebris01x,"zombie,debris"
medium_update_thread_z.wsc,54323,21,dlc_chu_zombieFire01x,"zombie,fire"
medium_update_thread_z.wsc,54350,23,dlc_cri_zombieDebris01x,"zombie,debris"
