relative_path,extension,size,sha1,last_write
mp_xml_online_unblock_pass3_full_package.zip,.zip,116793207,5C06DF654EA28B4D1A3AF1AF8A98CB17D99D8292,2026-05-24T17:16:40
net_auth_content_scan_pass2_package.zip,.zip,41680,7D689A7609029532334F0E4DD7BE03405E670357,2026-05-22T17:44:03
netstats_gamespy_auth_bypass_pass1_full_package.zip,.zip,1028725,2DE1BCA80DAF6357076B6962C71B876372D550A0,2026-05-24T15:41:14
netstats_variant_A_category_accept_auth_success_dropin.zip,.zip,5206,49D39EE234BC4125132426502B99EA1978094913,2026-05-22T17:39:20
netstats_variant_B_full_auth_failure_bypass_dropin.zip,.zip,5230,354916C20B5DD9A36206E282ABD3C834FD4738FC,2026-05-22T17:39:11
netstats_variant_C_stats_failure_offline_bypass_HIGH_RISK_dropin.zip,.zip,5215,E614BCA43423CA0A46124126BEC2C03DDF6798D9,2026-05-22T17:39:04
savegame_mp_save_bypass_pass1_full_package.zip,.zip,27740,E68256662BC9D20666261B10CA34A3ABB14A77C8,2026-05-22T17:19:33
variant_A_fui_slot_to_mp_update_dropin.zip,.zip,99777,0FBB7038819523BFBCC47CF01C89066FCC97237E,2026-05-23T00:06:18
variant_B_short_update_slot_to_mp_update_dropin.zip,.zip,99799,175C77C3C38CA4297861191FE87A435FA80AED31,2026-05-23T00:06:18
variant_C_exit_mp_keeps_save_HIGH_RISK_dropin.zip,.zip,2685,EA424D54077FB45455F5A9438AF8A00361EE1452,2026-05-22T17:34:33
variant_C_long_update_slot_to_mp_update_HIGH_RISK_dropin.zip,.zip,99793,FEEBD4D151699E66B134575118BFF92B8E196709,2026-05-23T00:06:18
