# Code RED source/decompiled export
# Source: research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv
# SHA1: 7b9b0b7b4c80f10e7162df4123106934c24bb199

wgd_offset_hex,wgd_component_type,wgd_query_name,wgd_script_name,wgd_gringo_name,wgd_primary_name,wgd_hash_code,wgd_hashed_name,wgd_activation_radius,wgd_child_count,wgd_use_context_count,wgd_instanced_item_count,wgd_instance_slot_count,wgd_critical,wgd_maintain_state,wgd_player_usable,wgd_gringo_handles_movement,wgd_requires_physics_check,wgd_allow_ai_shoot,wgd_allow_navigate_to
0x0003C0E4,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,10.0,1,0,4,4,0,0,,,,,
0x0003C130,ItemGringo,,content\scripting\gringo\CommonScripts\Player_Herb,,content\scripting\gringo\CommonScripts\Player_Herb,0x410215CF,0x00000000,125.0,2,2,7,7,0,1,,,,,
0x0003C17C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C1C8,ItemGringo,,content\scripting\gringo\CommonScripts\Player_Herb,,content\scripting\gringo\CommonScripts\Player_Herb,0x410215CF,0x00000000,125.0,2,2,7,7,0,1,,,,,
0x0003C214,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003C260,ItemGringo,,content\scripting\gringo\MultistageGringo\GenericMultistageGringo,,content\scripting\gringo\MultistageGringo\GenericMultistageGringo,0x410215CF,0x00000000,50.0,1,1,7,7,0,1,,,,,
0x0003C2AC,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003C2F8,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,7,7,0,1,,,,,
0x0003C344,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,5,5,0,1,,,,,
0x0003C390,ItemGringo,,content\scripting\gringo\GringoBrains\GringoBrainScripts\Companion_Brain,,content\scripting\gringo\GringoBrains\GringoBrainScripts\Companion_Brain,0x05B5C16A,0x00000000,2147483648.0,7,1,9,9,1,1,,,,,
0x0003C3DC,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,1,1,,,,,
0x0003C428,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C474,ItemGringo,,content\scripting\gringo\CommonScripts\horseHitching,,content\scripting\gringo\CommonScripts\horseHitching,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C4C0,ItemGringo,,content\scripting\gringo\MultistageGringo\GenericMultiStageGringo,,content\scripting\gringo\MultistageGringo\GenericMultiStageGringo,0x410215CF,0x00000000,50.0,1,1,5,5,0,1,,,,,
0x0003C50C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C558,ItemGringo,,content\scripting\gringo\CommonScripts\PickUpHogtiedGringo,,content\scripting\gringo\CommonScripts\PickUpHogtiedGringo,0x410215CF,0x00000000,0.0,5,4,13,13,1,1,,,,,
0x0003C5A4,ItemGringo,,content\scripting\gringo\CommonScripts\Sliding_Gate,,content\scripting\gringo\CommonScripts\Sliding_Gate,0x410215CF,0x00000000,500.0,5,4,22,22,0,1,,,,,
0x0003C5F0,ItemGringo,,content\scripting\gringo\CommonScripts\Mex_BeatingDanger,,content\scripting\gringo\CommonScripts\Mex_BeatingDanger,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003C63C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C688,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C6D4,ItemGringo,,content\scripting\gringo\CommonScripts\lean_rail,,content\scripting\gringo\CommonScripts\lean_rail,0x410215CF,0x00000000,0.0,2,2,13,13,0,1,,,,,
0x0003C720,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003C76C,ItemGringo,,content\scripting\gringo\CommonScripts\Duck_hunt,,content\scripting\gringo\CommonScripts\Duck_hunt,0x410215CF,0x00000000,5.0,1,1,4,4,0,1,,,,,
0x0003C7B8,ItemGringo,,content\scripting\gringo\CommonScripts\horseHitching,,content\scripting\gringo\CommonScripts\horseHitching,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C804,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.5,1,1,4,4,0,1,,,,,
0x0003C850,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,2,2,0,1,,,,,
0x0003C89C,ItemGringo,,content\scripting\gringo\CommonScripts\HorseBeacon_campfire_gringo,,content\scripting\gringo\CommonScripts\HorseBeacon_campfire_gringo,0x082A4EBE,0x00000000,200.0,0,0,0,0,0,1,,,,,
0x0003C8E8,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003C934,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C980,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003C9CC,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003CA18,ItemGringo,,content\scripting\gringo\GringoBrains\GringoBrainScripts\Companion_Brain,,content\scripting\gringo\GringoBrains\GringoBrainScripts\Companion_Brain,0x05B5C16A,0x00000000,2147483648.0,7,1,9,9,1,1,,,,,
0x0003CA64,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003CAB0,ItemGringo,,content\scripting\gringo\CommonScripts\Player_Herb,,content\scripting\gringo\CommonScripts\Player_Herb,0x410215CF,0x00000000,125.0,2,2,7,7,0,1,,,,,
0x0003CAFC,ItemGringo,,content\scripting\gringo\CommonScripts\Chair_weaponkill,,content\scripting\gringo\CommonScripts\Chair_weaponkill,0x410215CF,0x00000000,0.25,1,1,6,6,0,1,,,,,
0x0003CB48,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,9,9,0,1,,,,,
0x0003CB94,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003CBE0,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003CC2C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003CC78,ItemGringo,,content\scripting\gringo\CommonScripts\Shakehands_link,,content\scripting\gringo\CommonScripts\Shakehands_link,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003CCC4,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,5,5,0,1,,,,,
0x0003CD10,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,5,5,0,1,,,,,
0x0003CD5C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003CDA8,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,5,5,0,1,,,,,
0x0003CDF4,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003CE40,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,2,2,0,1,,,,,
0x0003CE8C,ItemGringo,,content\scripting\gringo\CommonScripts\lean_rail,,content\scripting\gringo\CommonScripts\lean_rail,0x410215CF,0x00000000,0.0,2,2,12,12,0,1,,,,,
0x0003CED8,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,5,5,0,1,,,,,
0x0003CF24,ItemGringo,,content\scripting\gringo\CommonScripts\Vehicle_Generator,,content\scripting\gringo\CommonScripts\Vehicle_Generator,0x082A4EBE,0x00000000,200.0,2,0,0,0,0,0,,,,,
0x0003CF70,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003CFBC,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003D008,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003D054,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003D0A0,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,9,9,0,1,,,,,
0x0003D0EC,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003D138,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003D184,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003D1D0,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003D21C,ItemGringo,,content\scripting\gringo\CommonScripts\Grave_Camp01_gringo,,content\scripting\gringo\CommonScripts\Grave_Camp01_gringo,0x082A4EBE,0x00000000,175.0,0,0,0,0,0,0,,,,,
0x0003D268,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003D2B4,ItemGringo,,content\scripting\gringo\CommonScripts\item_bait,,content\scripting\gringo\CommonScripts\item_bait,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003D300,ItemGringo,,content\scripting\gringo\CommonScripts\MexArmy_Camp04_gringo,,content\scripting\gringo\CommonScripts\MexArmy_Camp04_gringo,0x082A4EBE,0x00000000,175.0,0,0,0,0,0,0,,,,,
0x0003D34C,ItemGringo,,content\scripting\gringo\CommonScripts\Player_Herb,,content\scripting\gringo\CommonScripts\Player_Herb,0x410215CF,0x00000000,125.0,2,2,7,7,0,1,,,,,
0x0003D398,ItemGringo,,content\scripting\gringo\CommonScripts\car_gringo,,content\scripting\gringo\CommonScripts\car_gringo,0x082A4EBE,0x00000000,200.0,0,0,0,0,1,1,,,,,
0x0003D3E4,ItemGringo,,content\scripting\gringo\MultistageGringo\GenericMultiStageGringo,,content\scripting\gringo\MultistageGringo\GenericMultiStageGringo,0x410215CF,0x00000000,50.0,1,1,6,6,0,1,,,,,
0x0003D430,ItemGringo,,content\scripting\gringo\CommonScripts\Player_ChairLook,,content\scripting\gringo\CommonScripts\Player_ChairLook,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003D47C,ItemGringo,,content\scripting\gringo\CommonScripts\MissionEnd_MarstonSmoke,,content\scripting\gringo\CommonScripts\MissionEnd_MarstonSmoke,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003D4C8,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003D514,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,8,8,1,1,,,,,
0x0003D560,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003D5AC,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003D5F8,ItemGringo,,content\scripting\gringo\CommonScripts\MP_RezBuddy,,content\scripting\gringo\CommonScripts\MP_RezBuddy,0x410215CF,0x00000000,10.0,1,1,4,4,1,0,,,,,
0x0003D644,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003D690,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003D6DC,ItemGringo,,content\scripting\gringo\CommonScripts\lean_rail,,content\scripting\gringo\CommonScripts\lean_rail,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003D728,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,2,2,0,1,,,,,
0x0003D774,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003D7C0,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003D80C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,0,,,,,
0x0003D858,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003D8A4,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003D8F0,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x00000000,0x00000000,15.0,1,1,4,4,0,1,,,,,
0x0003D93C,ItemGringo,,content\scripting\gringo\CommonScripts\Vehicle_Generator,,content\scripting\gringo\CommonScripts\Vehicle_Generator,0x082A4EBE,0x00000000,200.0,2,0,0,0,0,0,,,,,
0x0003D988,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003D9D4,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.25,1,1,4,4,0,1,,,,,
0x0003DA20,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,7,7,0,1,,,,,
0x0003DA6C,ItemGringo,,content\scripting\gringo\CommonScripts\Player_ChairLook,,content\scripting\gringo\CommonScripts\Player_ChairLook,0x410215CF,0x00000000,0.0,2,2,7,7,0,1,,,,,
0x0003DAB8,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003DB04,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003DB50,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003DB9C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003DBE8,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003DC34,ItemGringo,,content\scripting\gringo\CommonScripts\Mex_BeatingDanger,,content\scripting\gringo\CommonScripts\Mex_BeatingDanger,0x410215CF,0x00000000,0.0,1,1,5,5,0,1,,,,,
0x0003DC80,ItemGringo,,content\scripting\gringo\CommonScripts\Outlaw_Camp03_gringo,,content\scripting\gringo\CommonScripts\Outlaw_Camp03_gringo,0x082A4EBE,0x00000000,175.0,0,0,0,0,0,0,,,,,
0x0003DCCC,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,6,6,0,1,,,,,
0x0003DD18,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,8,8,0,1,,,,,
0x0003DD64,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003DDB0,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,2,2,0,1,,,,,
0x0003DDFC,ItemGringo,,content\scripting\gringo\CommonScripts\Player_Herb,,content\scripting\gringo\CommonScripts\Player_Herb,0x410215CF,0x00000000,125.0,2,2,7,7,0,1,,,,,
0x0003DE48,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003DE94,ItemGringo,,content\scripting\gringo\CommonScripts\Sliding_Gate,,content\scripting\gringo\CommonScripts\Sliding_Gate,0x410215CF,0x00000000,10.0,5,4,22,22,0,1,,,,,
0x0003DEE0,ItemGringo,,content\scripting\gringo\CommonScripts\Outlaw_Camp02_gringo,,content\scripting\gringo\CommonScripts\Outlaw_Camp02_gringo,0x082A4EBE,0x00000000,175.0,0,0,0,0,0,0,,,,,
0x0003DF2C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003DF78,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003DFC4,ItemGringo,,content\scripting\gringo\CommonScripts\Outlaw_Camp01_gringo,,content\scripting\gringo\CommonScripts\Outlaw_Camp01_gringo,0x082A4EBE,0x00000000,175.0,0,0,0,0,0,0,,,,,
0x0003E010,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,3,3,17,17,0,1,,,,,
0x0003E05C,ItemGringo,,content\scripting\gringo\GringoBrains\GringoBrainScripts\companion_brain,,content\scripting\gringo\GringoBrains\GringoBrainScripts\companion_brain,0x05B5C16A,0x00000000,2147483648.0,5,0,5,5,1,1,,,,,
0x0003E0A8,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003E0F4,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,4,4,0,1,,,,,
0x0003E140,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
0x0003E18C,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,2,2,0,1,,,,,
0x0003E1D8,ItemGringo,,content\scripting\gringo\CommonScripts\GenericGringo,,content\scripting\gringo\CommonScripts\GenericGringo,0x410215CF,0x00000000,0.0,1,1,3,3,0,1,,,,,
