# Code RED source/decompiled export
# Source: data/codered/rosters/npc_roster_law_gang_companion.txt
# SHA1: a63705170b47c8c6373167fe5df411a07f86273b

# CodeRED full inline actor roster
# Generated by tools/codered_actor_enum_tool.py
# Format: ACTOR_NAME|actor_enum
# The inline value lets the ASI resolve actors without relying on CSV alias parsing.

ACTOR_mexican_genericcriminal_hard01|412  # gang 0x0000019C
ACTOR_mexican_genericcriminal_hard02|413  # gang 0x0000019D
ACTOR_mexican_genericcriminal_hard03|414  # gang 0x0000019E
ACTOR_black_genericcriminal_easy01|415  # gang 0x0000019F
ACTOR_black_genericcriminal_easy02|416  # gang 0x000001A0
ACTOR_black_genericcriminal_easy03|417  # gang 0x000001A1
ACTOR_black_genericcriminal_medium01|418  # gang 0x000001A2
ACTOR_black_genericcriminal_medium02|419  # gang 0x000001A3
ACTOR_black_genericcriminal_medium03|420  # gang 0x000001A4
ACTOR_black_genericcriminal_hard01|421  # gang 0x000001A5
ACTOR_black_genericcriminal_hard02|422  # gang 0x000001A6
ACTOR_black_genericcriminal_hard03|423  # gang 0x000001A7
ACTOR_law_caucasian_townposse_easy01|424  # law 0x000001A8
ACTOR_law_caucasian_townposse_easy02|425  # law 0x000001A9
ACTOR_law_caucasian_townposse_easy03|426  # law 0x000001AA
ACTOR_law_caucasian_townposse_easy04|427  # law 0x000001AB
ACTOR_law_caucasian_townposse_easy05|428  # law 0x000001AC
ACTOR_law_caucasian_townposse_easy06|429  # law 0x000001AD
ACTOR_law_caucasian_townposse_easy07|430  # law 0x000001AE
ACTOR_law_caucasian_townposse_easy08|431  # law 0x000001AF
ACTOR_law_caucasian_townposse_easy09|432  # law 0x000001B0
ACTOR_law_caucasian_townposse_easy10|433  # law 0x000001B1
ACTOR_law_caucasian_townposse_easy11|434  # law 0x000001B2
ACTOR_law_caucasian_townposse_easy12|435  # law 0x000001B3
ACTOR_law_caucasian_sheriff_medium01|436  # law 0x000001B4
ACTOR_law_caucasian_sheriff_medium02|437  # law 0x000001B5
ACTOR_law_caucasian_sheriff_medium03|438  # law 0x000001B6
ACTOR_law_caucasian_sheriff_medium03_tux|439  # law 0x000001B7
ACTOR_law_caucasian_sheriff_medium04|440  # law 0x000001B8
ACTOR_law_caucasian_sheriff_medium05|441  # law 0x000001B9
ACTOR_law_caucasian_sheriff_medium06|442  # law 0x000001BA
ACTOR_law_caucasian_sheriff_medium07|443  # law 0x000001BB
ACTOR_law_caucasian_sheriff_medium08|444  # law 0x000001BC
ACTOR_law_caucasian_sheriff_medium09|445  # law 0x000001BD
ACTOR_law_caucasian_sheriff_medium10|446  # law 0x000001BE
ACTOR_law_caucasian_sheriff_medium11|447  # law 0x000001BF
ACTOR_law_caucasian_sheriff_medium12|448  # law 0x000001C0
ACTOR_law_caucasian_usmarshal_hard01|449  # law 0x000001C1
ACTOR_law_caucasian_usmarshal_hard02|450  # law 0x000001C2
ACTOR_law_caucasian_usmarshal_hard03|451  # law 0x000001C3
ACTOR_law_caucasian_usmarshal_hard04|452  # law 0x000001C4
ACTOR_law_caucasian_usmarshal_hard05|453  # law 0x000001C5
ACTOR_law_caucasian_usmarshal_hard06|454  # law 0x000001C6
ACTOR_law_mexican_puebloposse_easy01|455  # law 0x000001C7
ACTOR_law_mexican_puebloposse_easy02|456  # law 0x000001C8
ACTOR_law_mexican_puebloposse_easy03|457  # law 0x000001C9
ACTOR_law_mexican_puebloposse_easy04|458  # law 0x000001CA
ACTOR_law_mexican_puebloposse_easy05|459  # law 0x000001CB
ACTOR_law_mexican_puebloposse_easy06|460  # law 0x000001CC
ACTOR_law_mexican_corruptofficial_medium01|461  # law 0x000001CD
ACTOR_law_mexican_corruptofficial_medium02|462  # law 0x000001CE
ACTOR_law_mexican_corruptofficial_medium03|463  # law 0x000001CF
ACTOR_law_mexican_corruptofficial_medium04|464  # law 0x000001D0
ACTOR_law_mexican_corruptofficial_medium05|465  # law 0x000001D1
ACTOR_law_mexican_corruptofficial_medium06|466  # law 0x000001D2
ACTOR_gang_indianraider_easy01|467  # gang 0x000001D3
ACTOR_gang_indianraider_easy02|468  # gang 0x000001D4
ACTOR_gang_indianraider_easy03|469  # gang 0x000001D5
ACTOR_gang_indianraider_medium01|470  # gang 0x000001D6
ACTOR_gang_indianraider_medium02|471  # gang 0x000001D7
ACTOR_gang_indianraider_medium03|472  # gang 0x000001D8
ACTOR_gang_indianraider_medium04|473  # gang 0x000001D9
ACTOR_gang_indianraider_hard01|474  # gang 0x000001DA
ACTOR_gang_indianraider_hard02|475  # gang 0x000001DB
ACTOR_gang_indianraider_hard03|476  # gang 0x000001DC
ACTOR_gang_cattlerustler_easy01|477  # gang 0x000001DD
ACTOR_gang_cattlerustler_easy02|478  # gang 0x000001DE
ACTOR_gang_cattlerustler_easy03|479  # gang 0x000001DF
ACTOR_gang_cattlerustler_medium01|480  # gang 0x000001E0
ACTOR_gang_cattlerustler_medium02|481  # gang 0x000001E1
ACTOR_gang_cattlerustler_medium03|482  # gang 0x000001E2
ACTOR_gang_cattlerustler_hard01|483  # gang 0x000001E3
ACTOR_gang_cattlerustler_hard02|484  # gang 0x000001E4
ACTOR_gang_cattlerustler_hard03|485  # gang 0x000001E5
ACTOR_gang_drunkndirty_easy01|486  # gang 0x000001E6
ACTOR_gang_drunkndirty_easy02|487  # gang 0x000001E7
ACTOR_gang_drunkndirty_easy03|488  # gang 0x000001E8
ACTOR_gang_drunkndirty_medium01|489  # gang 0x000001E9
ACTOR_gang_drunkndirty_medium02|490  # gang 0x000001EA
ACTOR_gang_drunkndirty_medium03|491  # gang 0x000001EB
ACTOR_gang_drunkndirty_hard01|492  # gang 0x000001EC
ACTOR_gang_drunkndirty_hard02|493  # gang 0x000001ED
ACTOR_gang_drunkndirty_hard03|494  # gang 0x000001EE
ACTOR_gang_drunkndirty_hard03_w|495  # gang 0x000001EF
ACTOR_gang_bandito_easy01|496  # gang 0x000001F0
ACTOR_gang_bandito_easy02|497  # gang 0x000001F1
ACTOR_gang_bandito_easy03|498  # gang 0x000001F2
ACTOR_gang_bandito_medium01|499  # gang 0x000001F3
ACTOR_gang_bandito_medium02|500  # gang 0x000001F4
ACTOR_gang_bandito_medium03|501  # gang 0x000001F5
ACTOR_gang_bandito_hard01|502  # gang 0x000001F6
ACTOR_gang_bandito_hard02|503  # gang 0x000001F7
ACTOR_gang_bandito_hard03|504  # gang 0x000001F8
ACTOR_gang_crazyminer_easy01|505  # gang 0x000001F9
ACTOR_gang_crazyminer_easy02|506  # gang 0x000001FA
ACTOR_gang_crazyminer_easy03|507  # gang 0x000001FB
ACTOR_gang_crazyminer_medium01|508  # gang 0x000001FC
ACTOR_gang_crazyminer_medium02|509  # gang 0x000001FD
ACTOR_gang_crazyminer_medium03|510  # gang 0x000001FE
ACTOR_gang_crazyminer_medium04|511  # gang 0x000001FF
ACTOR_gang_crazyminer_medium05|512  # gang 0x00000200
ACTOR_gang_crazyminer_hard01|513  # gang 0x00000201
ACTOR_gang_crazyminer_hard02|514  # gang 0x00000202
ACTOR_gang_crazyminer_hard03|515  # gang 0x00000203
ACTOR_gang_mexicanrebel_easy01|516  # gang 0x00000204
ACTOR_gang_mexicanrebel_easy02|517  # gang 0x00000205
ACTOR_gang_mexicanrebel_easy03|518  # gang 0x00000206
ACTOR_gang_mexicanrebel_easy04|519  # gang 0x00000207
ACTOR_gang_mexicanrebel_easy05|520  # gang 0x00000208
ACTOR_gang_mexicanrebel_medium01|521  # gang 0x00000209
ACTOR_gang_mexicanrebel_medium02|522  # gang 0x0000020A
ACTOR_gang_mexicanrebel_medium03|523  # gang 0x0000020B
ACTOR_gang_mexicanrebel_medium04|524  # gang 0x0000020C
ACTOR_gang_mexicanrebel_medium05|525  # gang 0x0000020D
ACTOR_gang_mexicanrebel_medium06|526  # gang 0x0000020E
ACTOR_gang_mexicanrebel_medium07|527  # gang 0x0000020F
ACTOR_gang_mexicanrebel_medium08|528  # gang 0x00000210
ACTOR_gang_mexicanrebel_hard01|529  # gang 0x00000211
ACTOR_gang_mexicanrebel_hard02|530  # gang 0x00000212
ACTOR_gang_mexicanrebel_hard03|531  # gang 0x00000213
ACTOR_gang_mexicanrebel_hard04|532  # gang 0x00000214
ACTOR_gang_luisa_easy01|533  # gang 0x00000215
ACTOR_gang_luisa_easy02|534  # gang 0x00000216
ACTOR_gang_luisa_easy03|535  # gang 0x00000217
ACTOR_gang_luisa_medium01|536  # gang 0x00000218
ACTOR_gang_luisa_medium02|537  # gang 0x00000219
ACTOR_gang_luisa_medium03|538  # gang 0x0000021A
ACTOR_gang_luisa_hard01|539  # gang 0x0000021B
ACTOR_gang_luisa_hard02|540  # gang 0x0000021C
ACTOR_companion_graverobber|545  # companion 0x00000221
ACTOR_companion_snakeoilmerchant|546  # companion 0x00000222
ACTOR_companion_marshal|547  # law 0x00000223
ACTOR_companion_outlaw|548  # gang 0x00000224
ACTOR_companion_outlaw_wet|549  # gang 0x00000225
ACTOR_companion_foreman|550  # companion 0x00000226
ACTOR_companion_daughter|551  # companion 0x00000227
ACTOR_companion_daughter02|552  # companion 0x00000228
ACTOR_companion_rebel|553  # companion 0x00000229
ACTOR_companion_rebel_wounded|554  # companion 0x0000022A
ACTOR_companion_mexicangirl|555  # companion 0x0000022B
ACTOR_companion_mexicanhenchman|556  # companion 0x0000022C
ACTOR_companion_mexicanhenchman_beaten|557  # companion 0x0000022D
ACTOR_companion_famousgunslinger|558  # companion 0x0000022E
ACTOR_companion_fbi|559  # companion 0x0000022F
ACTOR_companion_fbi_burnt|560  # companion 0x00000230
ACTOR_companion_anthropologist|561  # companion 0x00000231
ACTOR_companion_nativefriend|562  # companion 0x00000232
ACTOR_companion_nativefriend_02|563  # companion 0x00000233
ACTOR_companion_graverobber_cs|564  # companion 0x00000234
ACTOR_companion_snakeoilmerchant_cs|565  # companion 0x00000235
ACTOR_companion_marshal_cs|566  # law 0x00000236
ACTOR_companion_outlaw_cs|567  # gang 0x00000237
ACTOR_companion_outlaw_wet_cs|568  # gang 0x00000238
ACTOR_companion_foreman_cs|569  # companion 0x00000239
ACTOR_companion_daughter_cs|570  # companion 0x0000023A
ACTOR_companion_rebel_cs|571  # companion 0x0000023B
ACTOR_companion_rebel_wounded_cs|572  # companion 0x0000023C
ACTOR_companion_mexicangirl_cs|573  # companion 0x0000023D
ACTOR_companion_mexicanhenchman_cs|574  # companion 0x0000023E
ACTOR_companion_famousgunslinger_cs|575  # companion 0x0000023F
ACTOR_companion_fbi_cs|576  # companion 0x00000240
ACTOR_companion_fbi_burnt_cs|577  # companion 0x00000241
ACTOR_companion_anthropologist_cs|578  # companion 0x00000242
ACTOR_companion_nativefriend_cs|579  # companion 0x00000243
ACTOR_misc_deputy_marshal01|588  # law 0x0000024C
ACTOR_misc_deputy_marshal01_cs|589  # law 0x0000024D
ACTOR_misc_deputy_marshal02|590  # law 0x0000024E
ACTOR_misc_deputy_marshal02_cs|591  # law 0x0000024F
ACTOR_misc_deputy_marshal03|592  # law 0x00000250
ACTOR_misc_deputy_marshal03_cs|593  # law 0x00000251
ACTOR_misc_outlaw_01|659  # gang 0x00000293
ACTOR_misc_mexarmycpt|660  # army 0x00000294
ACTOR_misc_mexarmycpt_cs|661  # army 0x00000295
ACTOR_misc_mullergang01|664  # gang 0x00000298
ACTOR_misc_mullergang01_cs|665  # gang 0x00000299
ACTOR_misc_billsgang01|668  # gang 0x0000029C
ACTOR_misc_billsgang01_cs|669  # gang 0x0000029D
ACTOR_misc_billsgang02|670  # gang 0x0000029E
ACTOR_misc_billsgang02_cs|671  # gang 0x0000029F
ACTOR_misc_billsgang03|672  # gang 0x000002A0
ACTOR_misc_billsgang04|673  # gang 0x000002A1
ACTOR_misc_billsgang04_cs|674  # gang 0x000002A2
ACTOR_misc_billsgang05|675  # gang 0x000002A3
ACTOR_misc_police01|779  # law 0x0000030B
ACTOR_misc_police01_cs|780  # law 0x0000030C
ACTOR_caucasian_army_hard02_cs|796  # army 0x0000031C
ACTOR_caucasian_army_hard02_burnt_cs|797  # army 0x0000031D
ACTOR_mexican_army_easy01_cs|798  # army 0x0000031E
ACTOR_mexican_army_easy02_cs|799  # army 0x0000031F
ACTOR_mexican_army_easy03_cs|800  # army 0x00000320
ACTOR_mexican_army_easy04_cs|801  # army 0x00000321
ACTOR_mexican_army_easy05_cs|802  # army 0x00000322
ACTOR_mexican_army_easy06_cs|803  # army 0x00000323
ACTOR_mexican_army_easy07_cs|804  # army 0x00000324
ACTOR_mexican_army_easy08_cs|805  # army 0x00000325
ACTOR_mexican_army_easy09_cs|806  # army 0x00000326
ACTOR_mexican_army_easy10_cs|807  # army 0x00000327
ACTOR_mexican_army_easy11_cs|808  # army 0x00000328
ACTOR_mexican_army_medium01_cs|809  # army 0x00000329
ACTOR_mexican_army_medium02_cs|810  # army 0x0000032A
ACTOR_mexican_army_medium03_cs|811  # army 0x0000032B
ACTOR_mexican_army_hard01_cs|812  # army 0x0000032C
ACTOR_mexican_army_hard03_cs|813  # army 0x0000032D
ACTOR_mexican_genericcriminal_easy01_cs|814  # gang 0x0000032E
ACTOR_mexican_genericcriminal_easy03_cs|815  # gang 0x0000032F
ACTOR_mexican_genericcriminal_medium01_cs|816  # gang 0x00000330
ACTOR_mexican_genericcriminal_medium02_cs|817  # gang 0x00000331
ACTOR_mexican_genericcriminal_hard01_cs|818  # gang 0x00000332
ACTOR_law_caucasian_usmarshal_hard06_cs|819  # law 0x00000333
ACTOR_gang_indianraider_hard02_cs|820  # gang 0x00000334
ACTOR_gang_indianraider_hard03_cs|821  # gang 0x00000335
ACTOR_gang_bandito_easy02_cs|822  # gang 0x00000336
ACTOR_gang_mexicanrebel_easy02_cs|823  # gang 0x00000337
ACTOR_gang_mexicanrebel_easy03_cs|824  # gang 0x00000338
ACTOR_gang_mexicanrebel_medium01_cs|825  # gang 0x00000339
ACTOR_gang_mexicanrebel_medium02_cs|826  # gang 0x0000033A
ACTOR_gang_mexicanrebel_medium03_cs|827  # gang 0x0000033B
ACTOR_gang_mexicanrebel_hard01_cs|828  # gang 0x0000033C
ACTOR_gang_mexicanrebel_hard03_cs|829  # gang 0x0000033D
ACTOR_gang_luisa_easy01_cs|830  # gang 0x0000033E
ACTOR_gang_luisa_easy02_cs|831  # gang 0x0000033F
ACTOR_gang_luisa_easy03_cs|832  # gang 0x00000340
ACTOR_gang_luisa_medium02_cs|833  # gang 0x00000341
ACTOR_gang_luisa_medium03_cs|834  # gang 0x00000342
ACTOR_mpplayer01|837  # player_like 0x00000345
ACTOR_mpplayer02|838  # player_like 0x00000346
ACTOR_mpplayer03|839  # player_like 0x00000347
ACTOR_mpplayer04|840  # player_like 0x00000348
ACTOR_mpplayer05|841  # player_like 0x00000349
ACTOR_mpplayer06|842  # player_like 0x0000034A
ACTOR_mpplayer07|843  # player_like 0x0000034B
ACTOR_mpplayer08|844  # player_like 0x0000034C
ACTOR_mpplayer15|845  # player_like 0x0000034D
ACTOR_mpplayer16|846  # player_like 0x0000034E
ACTOR_mpplayer09|847  # player_like 0x0000034F
ACTOR_mpplayer13|848  # player_like 0x00000350
ACTOR_mpplayer11|849  # player_like 0x00000351
ACTOR_mpplayer12|850  # player_like 0x00000352
ACTOR_mpplayer10|851  # player_like 0x00000353
ACTOR_mpplayer14|852  # player_like 0x00000354
ACTOR_mpplayer19|853  # player_like 0x00000355
ACTOR_mpplayer23|854  # player_like 0x00000356
ACTOR_mpplayer20|855  # player_like 0x00000357
ACTOR_mpplayer21|856  # player_like 0x00000358
ACTOR_mpplayer18|857  # player_like 0x00000359
ACTOR_mpplayer22|858  # player_like 0x0000035A
ACTOR_mpplayer17|859  # player_like 0x0000035B
ACTOR_mpplayer24|860  # player_like 0x0000035C
ACTOR_mpplayer25|861  # player_like 0x0000035D
ACTOR_mpplayer27|862  # player_like 0x0000035E
ACTOR_mpplayer30|863  # player_like 0x0000035F
ACTOR_mpplayer26|864  # player_like 0x00000360
ACTOR_mpplayer31|865  # player_like 0x00000361
ACTOR_mpplayer32|866  # player_like 0x00000362
ACTOR_mpplayer29|867  # player_like 0x00000363
ACTOR_mpplayer28|868  # player_like 0x00000364
ACTOR_mpplayer40|869  # player_like 0x00000365
ACTOR_mpplayer39|870  # player_like 0x00000366
ACTOR_mpplayer33|871  # player_like 0x00000367
ACTOR_mpplayer35|872  # player_like 0x00000368
ACTOR_mpplayer36|873  # player_like 0x00000369
ACTOR_mpplayer37|874  # player_like 0x0000036A
ACTOR_mpplayer38|875  # player_like 0x0000036B
ACTOR_mpplayer34|876  # player_like 0x0000036C
ACTOR_mpplayer44|877  # player_like 0x0000036D
ACTOR_mpplayer43|878  # player_like 0x0000036E
ACTOR_mpplayer45|879  # player_like 0x0000036F
ACTOR_mpplayer48|880  # player_like 0x00000370
ACTOR_mpplayer41|881  # player_like 0x00000371
ACTOR_mpplayer42|882  # player_like 0x00000372
ACTOR_mpplayer46|883  # player_like 0x00000373
ACTOR_mpplayer47|884  # player_like 0x00000374
ACTOR_mpplayer49|885  # player_like 0x00000375
ACTOR_mpplayer50|886  # player_like 0x00000376
ACTOR_mpplayer55|887  # player_like 0x00000377
ACTOR_mpplayer56|888  # player_like 0x00000378
ACTOR_mpplayer51|889  # player_like 0x00000379
ACTOR_mpplayer52|890  # player_like 0x0000037A
ACTOR_mpplayer54|891  # player_like 0x0000037B
ACTOR_mpplayer53|892  # player_like 0x0000037C
ACTOR_mpplayer57|893  # player_like 0x0000037D
ACTOR_mpplayer58|894  # player_like 0x0000037E
ACTOR_mpplayer59|895  # player_like 0x0000037F
ACTOR_mpplayer62|896  # player_like 0x00000380
ACTOR_mpplayer64|897  # player_like 0x00000381
ACTOR_mpplayer61|898  # player_like 0x00000382
ACTOR_mpplayer63|899  # player_like 0x00000383
ACTOR_mpplayer60|900  # player_like 0x00000384
ACTOR_mpplayer66|901  # player_like 0x00000385
ACTOR_mpplayer67|902  # player_like 0x00000386
ACTOR_mpplayer65|903  # player_like 0x00000387
ACTOR_mpplayer71|904  # player_like 0x00000388
ACTOR_mpplayer72|905  # player_like 0x00000389
ACTOR_mpplayer68|906  # player_like 0x0000038A
ACTOR_mpplayer70|907  # player_like 0x0000038B
ACTOR_mpplayer69|908  # player_like 0x0000038C
ACTOR_mpplayer79|909  # player_like 0x0000038D
ACTOR_mpplayer81|910  # player_like 0x0000038E
ACTOR_mpplayer80|911  # player_like 0x0000038F
ACTOR_mpplayer74|912  # player_like 0x00000390
ACTOR_mpplayer77|913  # player_like 0x00000391
ACTOR_mpplayer76|914  # player_like 0x00000392
ACTOR_mpplayer73|915  # player_like 0x00000393
ACTOR_mpplayer75|916  # player_like 0x00000394
ACTOR_mpplayer93|917  # player_like 0x00000395
ACTOR_mpplayer92|918  # player_like 0x00000396
ACTOR_mpplayer103|919  # player_like 0x00000397
ACTOR_mpplayer95|920  # player_like 0x00000398
ACTOR_mpplayer104|921  # player_like 0x00000399
ACTOR_mpplayer82|922  # player_like 0x0000039A
ACTOR_mpplayer83|923  # player_like 0x0000039B
ACTOR_mpplayer91|924  # player_like 0x0000039C
ACTOR_mpplayer97|925  # player_like 0x0000039D
ACTOR_mpplayer99|926  # player_like 0x0000039E
ACTOR_mpplayer90|927  # player_like 0x0000039F
ACTOR_mpplayer86|928  # player_like 0x000003A0
ACTOR_mpplayer87|929  # player_like 0x000003A1
ACTOR_mpplayer88|930  # player_like 0x000003A2
ACTOR_mpplayer89|931  # player_like 0x000003A3
ACTOR_mpplayer105|932  # player_like 0x000003A4
ACTOR_mpplayer98|933  # player_like 0x000003A5
ACTOR_mpplayer106|934  # player_like 0x000003A6
ACTOR_mpplayer107|935  # player_like 0x000003A7
ACTOR_mpplayer100|936  # player_like 0x000003A8
ACTOR_mpplayer102|937  # player_like 0x000003A9
ACTOR_mpplayer101|938  # player_like 0x000003AA
ACTOR_mpplayer96|939  # player_like 0x000003AB
ACTOR_mpplayer78|940  # player_like 0x000003AC
ACTOR_mpplayer_dlc01|941  # player_like 0x000003AD
ACTOR_mpplayer_dlc02|942  # player_like 0x000003AE
ACTOR_mpplayer_dlc03|943  # player_like 0x000003AF
ACTOR_mpplayer_dlc04|944  # player_like 0x000003B0
ACTOR_mpplayer_dlc05|945  # player_like 0x000003B1
ACTOR_mpplayer_dlc06|946  # player_like 0x000003B2
ACTOR_mpplayer_dlc07|947  # player_like 0x000003B3
ACTOR_mpplayer_dlc08|948  # player_like 0x000003B4
ACTOR_mpplayer_dlc09|949  # player_like 0x000003B5
ACTOR_mpplayer_dlc11|950  # player_like 0x000003B6
ACTOR_mpplayer_dlc12|951  # player_like 0x000003B7
ACTOR_mpplayer_dlc13|952  # player_like 0x000003B8
ACTOR_mpplayer_dlc14|953  # player_like 0x000003B9
ACTOR_mpplayer_dlc15|954  # player_like 0x000003BA
ACTOR_mpplayer_dlc16|955  # player_like 0x000003BB
ACTOR_mpplayer_dlc17|956  # player_like 0x000003BC
ACTOR_mpplayer_dlc18|957  # player_like 0x000003BD
ACTOR_mpplayer_dlc19|958  # player_like 0x000003BE
ACTOR_mpplayer_dlc20|959  # player_like 0x000003BF
ACTOR_mpplayer_dlc21|960  # player_like 0x000003C0
ACTOR_mpplayer_dlc22|961  # player_like 0x000003C1
ACTOR_mpplayer_dlc23|962  # player_like 0x000003C2
ACTOR_mpplayer_dlc24|963  # player_like 0x000003C3
ACTOR_mpplayer_dlc25|964  # player_like 0x000003C4
ACTOR_mpplayer_dlc26|965  # player_like 0x000003C5
ACTOR_mpplayer_dlc27|966  # player_like 0x000003C6
ACTOR_mpplayer_dlc28|967  # player_like 0x000003C7
ACTOR_mpplayer_dlc29|968  # player_like 0x000003C8
ACTOR_mpplayer_dlc30|969  # player_like 0x000003C9
ACTOR_mpplayer_dlc31|970  # player_like 0x000003CA
ACTOR_mpplayer_dlc32|971  # player_like 0x000003CB
ACTOR_mpplayercoop01|972  # player_like 0x000003CC
ACTOR_mpplayercoop02|973  # player_like 0x000003CD
ACTOR_mpplayercoop03|974  # player_like 0x000003CE
ACTOR_mpplayercoop04|975  # player_like 0x000003CF
