# Code RED source/decompiled export
# Source: data/codered/rosters/npc_roster_all_spawnable.txt
# SHA1: 807a3e7cfa8c4d8b8163e0792b95b1ddd640ab1e

# CodeRED full inline actor roster
# Generated by tools/codered_actor_enum_tool.py
# Format: ACTOR_NAME|actor_enum
# The inline value lets the ASI resolve actors without relying on CSV alias parsing.

ACTOR_player_jack|1  # player_like 0x00000001
ACTOR_caucasian_male_gunsmith01|145  # actor 0x00000091
ACTOR_caucasian_male_gunsmith02|146  # actor 0x00000092
ACTOR_caucasian_male_gunsmith03|147  # actor 0x00000093
ACTOR_caucasian_male_hunter01|148  # actor 0x00000094
ACTOR_caucasian_male_hunter02|149  # actor 0x00000095
ACTOR_caucasian_male_laborer01|150  # actor 0x00000096
ACTOR_caucasian_male_laborer02|151  # actor 0x00000097
ACTOR_caucasian_male_laborer10|152  # actor 0x00000098
ACTOR_caucasian_male_laborer11|153  # actor 0x00000099
ACTOR_caucasian_male_laborer12|154  # actor 0x0000009A
ACTOR_caucasian_male_laborer13|155  # actor 0x0000009B
ACTOR_caucasian_male_laborer14|156  # actor 0x0000009C
ACTOR_caucasian_male_laborer15|157  # actor 0x0000009D
ACTOR_caucasian_male_laborer16|158  # actor 0x0000009E
ACTOR_caucasian_male_laborer17|159  # actor 0x0000009F
ACTOR_caucasian_male_laborer18|160  # actor 0x000000A0
ACTOR_caucasian_male_laborer19|161  # actor 0x000000A1
ACTOR_caucasian_male_laborer20|162  # actor 0x000000A2
ACTOR_caucasian_male_laborer21|163  # actor 0x000000A3
ACTOR_caucasian_male_laborer22|164  # actor 0x000000A4
ACTOR_caucasian_male_laborer23|165  # actor 0x000000A5
ACTOR_caucasian_male_laborer24|166  # actor 0x000000A6
ACTOR_caucasian_male_laborer25|167  # actor 0x000000A7
ACTOR_caucasian_male_laborer26|168  # actor 0x000000A8
ACTOR_caucasian_male_laborer27|169  # actor 0x000000A9
ACTOR_caucasian_male_laborer38|170  # actor 0x000000AA
ACTOR_caucasian_male_laborer39|171  # actor 0x000000AB
ACTOR_caucasian_male_laborer40|172  # actor 0x000000AC
ACTOR_caucasian_male_laborer41|173  # actor 0x000000AD
ACTOR_caucasian_male_laborer42|174  # actor 0x000000AE
ACTOR_caucasian_male_laborer43|175  # actor 0x000000AF
ACTOR_caucasian_male_laborer44|176  # actor 0x000000B0
ACTOR_caucasian_male_laborer45|177  # actor 0x000000B1
ACTOR_caucasian_male_laborer52|178  # actor 0x000000B2
ACTOR_caucasian_male_laborer53|179  # actor 0x000000B3
ACTOR_caucasian_male_musician01|180  # actor 0x000000B4
ACTOR_caucasian_male_musician02|181  # actor 0x000000B5
ACTOR_caucasian_male_musician03|182  # actor 0x000000B6
ACTOR_caucasian_male_musician04|183  # actor 0x000000B7
ACTOR_caucasian_male_police01|184  # law 0x000000B8
ACTOR_caucasian_male_police02|185  # law 0x000000B9
ACTOR_caucasian_male_police03|186  # law 0x000000BA
ACTOR_caucasian_male_police04|187  # law 0x000000BB
ACTOR_caucasian_male_police05|188  # law 0x000000BC
ACTOR_caucasian_male_preacher01|189  # actor 0x000000BD
ACTOR_caucasian_male_preacher02|190  # actor 0x000000BE
ACTOR_caucasian_male_railroadstaff01|191  # actor 0x000000BF
ACTOR_caucasian_male_railroadstaff02|192  # actor 0x000000C0
ACTOR_caucasian_male_railroadstaff03|193  # actor 0x000000C1
ACTOR_caucasian_male_railroadstaff04|194  # actor 0x000000C2
ACTOR_caucasian_male_railroadstaff05|195  # actor 0x000000C3
ACTOR_caucasian_male_railroadstaff06|196  # actor 0x000000C4
ACTOR_caucasian_male_railroadstaff07|197  # actor 0x000000C5
ACTOR_caucasian_male_railroadstaff08|198  # actor 0x000000C6
ACTOR_caucasian_male_rancher01|199  # actor 0x000000C7
ACTOR_caucasian_male_riverboatstaff04|200  # actor 0x000000C8
ACTOR_caucasian_male_steamenginedriver01|201  # actor 0x000000C9
ACTOR_caucasian_male_townfolk02|202  # actor 0x000000CA
ACTOR_caucasian_male_traveler01|203  # actor 0x000000CB
ACTOR_caucasian_male_traveler02|204  # actor 0x000000CC
ACTOR_caucasian_male_traveler05|205  # actor 0x000000CD
ACTOR_caucasian_male_traveler06|206  # actor 0x000000CE
ACTOR_caucasian_male_traveler11|207  # actor 0x000000CF
ACTOR_caucasian_male_traveler13|208  # actor 0x000000D0
ACTOR_caucasian_male_undertaker01|209  # actor 0x000000D1
ACTOR_caucasian_male_undertaker02|210  # actor 0x000000D2
ACTOR_caucasian_male_waterdriller01|211  # actor 0x000000D3
ACTOR_caucasian_old_female_ranchwife01|212  # actor 0x000000D4
ACTOR_caucasian_old_female_ranchwife02|213  # actor 0x000000D5
ACTOR_caucasian_old_female_beggar01|214  # actor 0x000000D6
ACTOR_caucasian_old_female_farmer01|215  # actor 0x000000D7
ACTOR_caucasian_old_female_townfolk01|216  # actor 0x000000D8
ACTOR_caucasian_old_male_beggar01|217  # actor 0x000000D9
ACTOR_caucasian_old_male_beggar02|218  # actor 0x000000DA
ACTOR_caucasian_old_male_businessman01|219  # actor 0x000000DB
ACTOR_caucasian_old_male_businessman02|220  # actor 0x000000DC
ACTOR_caucasian_old_male_businessman03|221  # actor 0x000000DD
ACTOR_caucasian_old_male_businessman03_tux|222  # actor 0x000000DE
ACTOR_caucasian_old_male_businessman04|223  # actor 0x000000DF
ACTOR_caucasian_old_male_businessman05|224  # actor 0x000000E0
ACTOR_caucasian_old_male_businessman06|225  # actor 0x000000E1
ACTOR_caucasian_old_male_businessman07|226  # actor 0x000000E2
ACTOR_caucasian_old_male_businessman08|227  # actor 0x000000E3
ACTOR_caucasian_old_male_businessman09|228  # actor 0x000000E4
ACTOR_caucasian_old_male_businessman12|229  # actor 0x000000E5
ACTOR_caucasian_old_male_businessman13|230  # actor 0x000000E6
ACTOR_caucasian_old_male_farmer01|231  # actor 0x000000E7
ACTOR_caucasian_old_male_farmer03|232  # actor 0x000000E8
ACTOR_caucasian_old_male_rancher01|233  # actor 0x000000E9
ACTOR_caucasian_old_male_rancher02|234  # actor 0x000000EA
ACTOR_caucasian_old_male_townfolk01|235  # actor 0x000000EB
ACTOR_caucasian_old_male_townfolk02|236  # actor 0x000000EC
ACTOR_hispanic_female_farmer01|237  # actor 0x000000ED
ACTOR_hispanic_female_farmer02|238  # actor 0x000000EE
ACTOR_hispanic_female_farmer05|239  # actor 0x000000EF
ACTOR_hispanic_female_farmer06|240  # actor 0x000000F0
ACTOR_hispanic_female_farmer07|241  # actor 0x000000F1
ACTOR_hispanic_female_nun01|242  # actor 0x000000F2
ACTOR_hispanic_female_nun02|243  # actor 0x000000F3
ACTOR_hispanic_female_nun03|244  # actor 0x000000F4
ACTOR_hispanic_female_prostitute01|245  # actor 0x000000F5
ACTOR_hispanic_female_prostitute02|246  # actor 0x000000F6
ACTOR_hispanic_female_prostitute03|247  # actor 0x000000F7
ACTOR_hispanic_female_prostitute04|248  # actor 0x000000F8
ACTOR_hispanic_female_prostitute05|249  # actor 0x000000F9
ACTOR_hispanic_female_prostitute07|250  # actor 0x000000FA
ACTOR_hispanic_female_pueblofolk01|251  # actor 0x000000FB
ACTOR_hispanic_female_pueblofolk02|252  # actor 0x000000FC
ACTOR_hispanic_female_traveler01|253  # actor 0x000000FD
ACTOR_hispanic_male_bartender01|254  # actor 0x000000FE
ACTOR_hispanic_male_bartender02|255  # actor 0x000000FF
ACTOR_hispanic_male_bartender03|256  # actor 0x00000100
ACTOR_hispanic_male_blacksmith01|257  # actor 0x00000101
ACTOR_hispanic_male_blacksmith02|258  # actor 0x00000102
ACTOR_hispanic_male_blacksmith03|259  # actor 0x00000103
ACTOR_hispanic_male_blacksmith04|260  # actor 0x00000104
ACTOR_hispanic_male_blacksmith05|261  # actor 0x00000105
ACTOR_hispanic_male_businessman01|262  # actor 0x00000106
ACTOR_hispanic_male_businessman02|263  # actor 0x00000107
ACTOR_hispanic_male_businessman03|264  # actor 0x00000108
ACTOR_hispanic_male_businessman04|265  # actor 0x00000109
ACTOR_hispanic_male_doctor01|266  # actor 0x0000010A
ACTOR_hispanic_male_doctor02|267  # actor 0x0000010B
ACTOR_hispanic_male_farmer01|268  # actor 0x0000010C
ACTOR_hispanic_male_farmer06|269  # actor 0x0000010D
ACTOR_hispanic_male_farmer07|270  # actor 0x0000010E
ACTOR_hispanic_male_farmer08|271  # actor 0x0000010F
ACTOR_hispanic_male_farmer09|272  # actor 0x00000110
ACTOR_hispanic_male_generic_shopkeeper01|273  # actor 0x00000111
ACTOR_hispanic_male_generic_shopkeeper02|274  # actor 0x00000112
ACTOR_hispanic_male_generic_shopkeeper03|275  # actor 0x00000113
ACTOR_hispanic_male_generic_shopkeeper04|276  # actor 0x00000114
ACTOR_hispanic_male_generic_shopkeeper05|277  # actor 0x00000115
ACTOR_hispanic_male_gunslinger02|278  # actor 0x00000116
ACTOR_hispanic_male_gunslinger03|279  # actor 0x00000117
ACTOR_hispanic_male_gunslinger04|280  # actor 0x00000118
ACTOR_hispanic_male_gunslinger05|281  # actor 0x00000119
ACTOR_hispanic_male_gunslinger06|282  # actor 0x0000011A
ACTOR_hispanic_male_gunsmith01|283  # actor 0x0000011B
ACTOR_hispanic_male_hunter01|284  # actor 0x0000011C
ACTOR_hispanic_male_laborer01|285  # actor 0x0000011D
ACTOR_hispanic_male_laborer02|286  # actor 0x0000011E
ACTOR_hispanic_male_laborer03|287  # actor 0x0000011F
ACTOR_hispanic_male_laborer04|288  # actor 0x00000120
ACTOR_hispanic_male_laborer05|289  # actor 0x00000121
ACTOR_hispanic_male_laborer19|290  # actor 0x00000122
ACTOR_hispanic_male_laborer20|291  # actor 0x00000123
ACTOR_hispanic_male_laborer21|292  # actor 0x00000124
ACTOR_hispanic_male_laborer22|293  # actor 0x00000125
ACTOR_hispanic_male_laborer26|294  # actor 0x00000126
ACTOR_hispanic_male_laborer27|295  # actor 0x00000127
ACTOR_hispanic_male_laborer28|296  # actor 0x00000128
ACTOR_hispanic_male_laborer29|297  # actor 0x00000129
ACTOR_hispanic_male_laborer30|298  # actor 0x0000012A
ACTOR_hispanic_male_laborer32|299  # actor 0x0000012B
ACTOR_hispanic_male_musician01|300  # actor 0x0000012C
ACTOR_hispanic_male_musician02|301  # actor 0x0000012D
ACTOR_hispanic_male_musician03|302  # actor 0x0000012E
ACTOR_hispanic_male_preacher01|303  # actor 0x0000012F
ACTOR_hispanic_male_preacher02|304  # actor 0x00000130
ACTOR_hispanic_male_preacher04|305  # actor 0x00000131
ACTOR_hispanic_male_pueblofolk02|306  # actor 0x00000132
ACTOR_hispanic_male_railroadstaff01|307  # actor 0x00000133
ACTOR_hispanic_male_railroadstaff02|308  # actor 0x00000134
ACTOR_hispanic_male_railroadstaff03|309  # actor 0x00000135
ACTOR_hispanic_male_railroadstaff04|310  # actor 0x00000136
ACTOR_hispanic_male_traveler02|311  # actor 0x00000137
ACTOR_hispanic_male_traveler03|312  # actor 0x00000138
ACTOR_hispanic_old_female_beggar01|313  # actor 0x00000139
ACTOR_hispanic_old_female_beggar02|314  # actor 0x0000013A
ACTOR_hispanic_old_female_prostitute01|315  # actor 0x0000013B
ACTOR_hispanic_old_female_prostitute04|316  # actor 0x0000013C
ACTOR_hispanic_old_female_wife01|317  # actor 0x0000013D
ACTOR_hispanic_old_female_wife02|318  # actor 0x0000013E
ACTOR_hispanic_old_male_beggar01|319  # actor 0x0000013F
ACTOR_hispanic_old_male_beggar04|320  # actor 0x00000140
ACTOR_hispanic_old_male_farmer02|321  # actor 0x00000141
ACTOR_hispanic_old_male_farmer04|322  # actor 0x00000142
ACTOR_hispanic_old_male_farmer05|323  # actor 0x00000143
ACTOR_hispanic_old_male_farmer06|324  # actor 0x00000144
ACTOR_native_male_traveler02|325  # actor 0x00000145
ACTOR_rcm_1_jeb|326  # actor 0x00000146
ACTOR_rcm_1_woman|327  # actor 0x00000147
ACTOR_rcm_mr_tollets|328  # actor 0x00000148
ACTOR_rcm_foreman|329  # actor 0x00000149
ACTOR_rcm_mcallister|330  # actor 0x0000014A
ACTOR_rcm_old_owner|331  # actor 0x0000014B
ACTOR_rcm_miss_horlick|332  # actor 0x0000014C
ACTOR_rcm_4_fiddler|333  # actor 0x0000014D
ACTOR_rcm_4_fiddlers_wife|334  # actor 0x0000014E
ACTOR_rcm_5_cannibal|335  # actor 0x0000014F
ACTOR_rcm_5_cannibal_injured_man|336  # actor 0x00000150
ACTOR_rcm_5_victim_relative_01|337  # actor 0x00000151
ACTOR_rcm_5_victim_relative_02|338  # actor 0x00000152
ACTOR_rcm_5_victim_relative_03|339  # actor 0x00000153
ACTOR_rcm_sam|340  # actor 0x00000154
ACTOR_rcm_sam02|341  # actor 0x00000155
ACTOR_rcm_sam03|342  # actor 0x00000156
ACTOR_rcm_dead_sam|343  # actor 0x00000157
ACTOR_rcm_11_abner|344  # actor 0x00000158
ACTOR_rcm_11_shady_man|345  # actor 0x00000159
ACTOR_rcm_charles|346  # actor 0x0000015A
ACTOR_rcm_zhou|347  # actor 0x0000015B
ACTOR_rcm_zhou_stoned|348  # actor 0x0000015C
ACTOR_rcm_15_mystery_man|349  # actor 0x0000015D
ACTOR_rcm_15_cheating_man|350  # actor 0x0000015E
ACTOR_rcm_15_nun|351  # actor 0x0000015F
ACTOR_rcm_16_mario|352  # actor 0x00000160
ACTOR_rcm_16_eva_whore|353  # actor 0x00000161
ACTOR_rcm_16_nun|354  # actor 0x00000162
ACTOR_rcm_d_s_mackenna|355  # actor 0x00000163
ACTOR_rcm_aging_gunslinger|356  # actor 0x00000164
ACTOR_rcm_jimmy_saint|357  # actor 0x00000165
ACTOR_rcm_clara|358  # actor 0x00000166
ACTOR_rcm_rich_man|359  # actor 0x00000167
ACTOR_rcm_rich_mans_widow|360  # actor 0x00000168
ACTOR_rcm_basilio|361  # actor 0x00000169
ACTOR_rcm_billy|362  # actor 0x0000016A
ACTOR_rcm_mr_philmore|363  # actor 0x0000016B
ACTOR_rcm_blackmail_victim|364  # actor 0x0000016C
ACTOR_rcm_bureau_agent|365  # actor 0x0000016D
ACTOR_rcm_ross_wife|366  # actor 0x0000016E
ACTOR_rcm_ross_brother|367  # actor 0x0000016F
ACTOR_rcm_edgarrosshunter|368  # actor 0x00000170
ACTOR_caucasian_army_easy01|369  # army 0x00000171
ACTOR_caucasian_army_easy02|370  # army 0x00000172
ACTOR_caucasian_army_easy03|371  # army 0x00000173
ACTOR_caucasian_army_medium01|372  # army 0x00000174
ACTOR_caucasian_army_medium02|373  # army 0x00000175
ACTOR_caucasian_army_medium03|374  # army 0x00000176
ACTOR_caucasian_army_hard01|375  # army 0x00000177
ACTOR_caucasian_army_hard02|376  # army 0x00000178
ACTOR_caucasian_army_hard02_burnt|377  # army 0x00000179
ACTOR_caucasian_army_hard03|378  # army 0x0000017A
ACTOR_mexican_army_easy01|379  # army 0x0000017B
ACTOR_mexican_army_easy02|380  # army 0x0000017C
ACTOR_mexican_army_easy03|381  # army 0x0000017D
ACTOR_mexican_army_easy04|382  # army 0x0000017E
ACTOR_mexican_army_easy05|383  # army 0x0000017F
ACTOR_mexican_army_easy06|384  # army 0x00000180
ACTOR_mexican_army_easy07|385  # army 0x00000181
ACTOR_mexican_army_easy08|386  # army 0x00000182
ACTOR_mexican_army_easy09|387  # army 0x00000183
ACTOR_mexican_army_easy10|388  # army 0x00000184
ACTOR_mexican_army_easy11|389  # army 0x00000185
ACTOR_mexican_army_easy12|390  # army 0x00000186
ACTOR_mexican_army_medium01|391  # army 0x00000187
ACTOR_mexican_army_medium02|392  # army 0x00000188
ACTOR_mexican_army_medium03|393  # army 0x00000189
ACTOR_mexican_army_hard01|394  # army 0x0000018A
ACTOR_mexican_army_hard02|395  # army 0x0000018B
ACTOR_mexican_army_hard03|396  # army 0x0000018C
ACTOR_caucasian_genericcriminal_easy01|397  # gang 0x0000018D
ACTOR_caucasian_genericcriminal_easy02|398  # gang 0x0000018E
ACTOR_caucasian_genericcriminal_easy03|399  # gang 0x0000018F
ACTOR_caucasian_genericcriminal_medium01|400  # gang 0x00000190
ACTOR_caucasian_genericcriminal_medium02|401  # gang 0x00000191
ACTOR_caucasian_genericcriminal_medium03|402  # gang 0x00000192
ACTOR_caucasian_genericcriminal_hard01|403  # gang 0x00000193
ACTOR_caucasian_genericcriminal_hard02|404  # gang 0x00000194
ACTOR_caucasian_genericcriminal_hard03|405  # gang 0x00000195
ACTOR_mexican_genericcriminal_easy01|406  # gang 0x00000196
ACTOR_mexican_genericcriminal_easy02|407  # gang 0x00000197
ACTOR_mexican_genericcriminal_easy03|408  # gang 0x00000198
ACTOR_mexican_genericcriminal_medium01|409  # gang 0x00000199
ACTOR_mexican_genericcriminal_medium02|410  # gang 0x0000019A
ACTOR_mexican_genericcriminal_medium03|411  # gang 0x0000019B
ACTOR_mexican_genericcriminal_hard01|412  # gang 0x0000019C
ACTOR_mexican_genericcriminal_hard02|413  # gang 0x0000019D
ACTOR_mexican_genericcriminal_hard03|414  # gang 0x0000019E
ACTOR_black_genericcriminal_easy01|415  # gang 0x0000019F
ACTOR_black_genericcriminal_easy02|416  # gang 0x000001A0
ACTOR_black_genericcriminal_easy03|417  # gang 0x000001A1
ACTOR_black_genericcriminal_medium01|418  # gang 0x000001A2
ACTOR_black_genericcriminal_medium02|419  # gang 0x000001A3
ACTOR_black_genericcriminal_medium03|420  # gang 0x000001A4
ACTOR_black_genericcriminal_hard01|421  # gang 0x000001A5
ACTOR_black_genericcriminal_hard02|422  # gang 0x000001A6
ACTOR_black_genericcriminal_hard03|423  # gang 0x000001A7
ACTOR_law_caucasian_townposse_easy01|424  # law 0x000001A8
ACTOR_law_caucasian_townposse_easy02|425  # law 0x000001A9
ACTOR_law_caucasian_townposse_easy03|426  # law 0x000001AA
ACTOR_law_caucasian_townposse_easy04|427  # law 0x000001AB
ACTOR_law_caucasian_townposse_easy05|428  # law 0x000001AC
ACTOR_law_caucasian_townposse_easy06|429  # law 0x000001AD
ACTOR_law_caucasian_townposse_easy07|430  # law 0x000001AE
ACTOR_law_caucasian_townposse_easy08|431  # law 0x000001AF
ACTOR_law_caucasian_townposse_easy09|432  # law 0x000001B0
ACTOR_law_caucasian_townposse_easy10|433  # law 0x000001B1
ACTOR_law_caucasian_townposse_easy11|434  # law 0x000001B2
ACTOR_law_caucasian_townposse_easy12|435  # law 0x000001B3
ACTOR_law_caucasian_sheriff_medium01|436  # law 0x000001B4
ACTOR_law_caucasian_sheriff_medium02|437  # law 0x000001B5
ACTOR_law_caucasian_sheriff_medium03|438  # law 0x000001B6
ACTOR_law_caucasian_sheriff_medium03_tux|439  # law 0x000001B7
