# Code RED source/decompiled export
# Source: research/CodeRED_Cutscene_Placement_Pass15_Build/reports/blackwater_wsi_hash_hits_all.csv
# SHA1: 4cdd9d9f9f02cfe20f1b885741128ce578258278

decoded_offset,hash,name,record_start_224_guess,record_relative_offset_224_guess,vec3_candidate_minus_48,vec3_candidate_minus_32,vec3_candidate_minus_16,scalar_minus_4,word_plus_4,word_plus_8
605568,0x20F036E5,i_gen_typewriter01x,605472,96,"[751.311096, 81.620499, 1327.940796]","[750.880432, 81.620499, 1327.944214]","[751.370178, 81.917862, 1328.390015]",0.148682,1,0
605792,0x64715552,gringo_scoopGrain01x,605696,96,"[750.450378, 78.642601, 1327.776978]","[750.306824, 79.366234, 1327.740356]","[750.379578, 79.366234, 1327.813599]",0.0,1,0
794208,0x20F036E5,i_gen_typewriter01x,794080,128,"[768.643127, 80.558258, 1237.240601]","[768.642822, 80.558258, 1237.15332]","[769.118652, 80.855621, 1237.670166]",0.148682,1,0
885792,0x7C00B580,i_gen_cordWood01x,885696,96,"[565.647278, 87.429733, 1262.264526]","[564.116882, 87.380905, 1260.668579]","[567.239685, 88.626999, 1263.834839]",0.623047,1,0
889376,0x9EF22E5E,i_gen_debris01x,889280,96,"[569.212158, 87.47477, 1270.016113]","[567.156555, 87.472816, 1269.226196]","[569.471008, 88.661293, 1271.728638]",0.594238,1,0
889600,0x91F99101,i_gen_debris02x,889504,96,"[557.87384, 87.480339, 1252.062378]","[555.269409, 87.479851, 1251.372925]","[558.885498, 88.570183, 1255.038208]",0.545166,1,0
989008,0x7C00B580,i_gen_cordWood01x,988960,48,"[764.921021, 78.261002, 1284.651001]","[764.235962, 78.212173, 1283.129517]","[765.579224, 79.458267, 1286.234009]",0.623047,1,0
1054176,0x7C00B580,i_gen_cordWood01x,1054144,32,"[592.577698, 85.430351, 1319.448608]","[591.892639, 85.381523, 1317.927124]","[593.235901, 86.627617, 1321.031616]",0.623047,1,1
1054624,0x91F99101,i_gen_debris02x,1054592,32,"[574.597107, 85.411591, 1316.658936]","[574.019287, 85.411102, 1316.225708]","[575.681641, 86.501434, 1319.832153]",0.545166,1,0
1054848,0x91F99101,i_gen_debris02x,1054816,32,"[592.949341, 85.412048, 1326.901245]","[591.938599, 85.41156, 1323.740601]","[593.5177, 86.501892, 1327.310913]",0.545166,1,0
1098112,0xFAF2286D,gringo_blacksmith01x,1098048,64,"[668.119934, 78.297333, 1393.575806]","[668.004028, 77.056122, 1393.459961]","[668.23584, 77.056122, 1393.69165]",0.0,1,0
1125584,0x91F99101,i_gen_debris02x,1125376,208,"[774.042358, 78.422897, 1329.607422]","[773.63269, 78.422409, 1328.59668]","[777.203003, 79.512741, 1330.175781]",0.545166,1,1
1125808,0x76D65BE7,i_gen_debris03x,1125600,208,"[770.594116, 78.416275, 1329.889771]","[769.052612, 78.415787, 1328.751099]","[770.592651, 79.231705, 1330.050903]",0.407959,1,1
1126032,0x2C06CAB9,i_gen_debris07x,1125824,208,"[772.191528, 78.422096, 1328.967651]","[770.780212, 78.42112, 1328.721436]","[772.227356, 79.095924, 1329.61084]",0.337402,1,0
1138048,0x91F99101,i_gen_debris02x,1137920,128,"[717.759644, 78.230057, 1374.085815]","[716.471436, 78.177292, 1370.886353]","[718.4552, 79.427094, 1374.585327]",0.624901,1,0
1138272,0x76D65BE7,i_gen_debris03x,1138144,128,"[726.584351, 78.488647, 1373.365234]","[726.42334, 78.488159, 1371.819458]","[727.769531, 79.304077, 1373.39856]",0.407959,1,1
1162752,0xA5EC8504,i_gen_table31x,1162560,192,"[726.152893, 78.896759, 1414.058228]","[726.086182, 78.819412, 1413.449219]","[728.043945, 80.014694, 1414.840332]",0.597641,1,0
1163200,0x4BC41017,i_gen_wagonParts03x,1163008,192,"[741.263062, 80.248344, 1417.242065]","[741.191956, 80.224312, 1416.548462]","[744.690735, 81.567451, 1419.016235]",0.67157,1,1
1164096,0x9EF22E5E,i_gen_debris01x,1163904,192,"[721.464844, 78.944984, 1415.623291]","[719.245422, 78.891342, 1414.427246]","[721.683044, 80.156067, 1416.447754]",0.632362,1,0
1164320,0x91F99101,i_gen_debris02x,1164128,192,"[723.180237, 79.615509, 1421.140991]","[719.878052, 79.546608, 1419.784668]","[723.734985, 80.833122, 1422.209717]",0.643257,1,0
1164544,0x91F99101,i_gen_debris02x,1164352,192,"[716.553894, 78.30304, 1407.259155]","[713.343323, 78.302551, 1406.62085]","[717.155701, 79.392883, 1408.875977]",0.545166,1,0
1164768,0x76D65BE7,i_gen_debris03x,1164576,192,"[712.539307, 78.29068, 1409.039917]","[711.976929, 78.290192, 1407.252441]","[713.637207, 79.10611, 1409.081055]",0.407959,1,0
1165440,0xAC84C193,i_gen_wagonBroken02x,1165248,192,"[723.793213, 79.2099, 1419.701904]","[719.840637, 79.106247, 1418.24707]","[724.79303, 81.841583, 1422.198975]",1.367668,1,1
1172064,0x121B02BA,i_gen_benchWork01x,1171968,96,"[675.630615, 78.303696, 1388.314087]","[675.591064, 78.300766, 1387.345337]","[678.371338, 80.50975, 1388.352173]",0.503418,1,0
1173184,0x91F99101,i_gen_debris02x,1173088,96,"[675.991455, 78.309761, 1379.334717]","[672.830811, 78.309273, 1378.766357]","[676.401123, 79.399605, 1380.345459]",0.545166,1,0
1182720,0x7C00B580,i_gen_cordWood01x,1182720,0,"[746.929871, 78.298927, 1383.383789]","[745.332458, 78.250099, 1382.666016]","[748.465149, 79.496193, 1384.075928]",0.623047,1,1
1217792,0x91F99101,i_gen_debris02x,1217664,128,"[765.099487, 78.451767, 1346.196777]","[764.556702, 78.432098, 1345.11438]","[768.420349, 79.544083, 1347.565552]",0.555992,1,0
1218016,0x2C06CAB9,i_gen_debris07x,1217888,128,"[768.333435, 78.456757, 1346.903076]","[768.323181, 78.45578, 1346.321045]","[769.735291, 79.130585, 1347.14917]",0.337402,1,0
1263312,0x9EF22E5E,i_gen_debris01x,1263136,176,"[708.216919, 78.29763, 1376.213013]","[707.958191, 78.295677, 1374.493896]","[710.265808, 79.484154, 1376.996826]",0.594238,1,0
1270144,0x9EF22E5E,i_gen_debris01x,1270080,64,"[656.172913, 80.289558, 1426.348389]","[654.939575, 80.287605, 1426.141113]","[656.382812, 81.476082, 1428.296875]",0.594238,1,0
1272160,0x9EF22E5E,i_gen_debris01x,1272096,64,"[701.912109, 78.525208, 1417.130493]","[701.727234, 78.523254, 1416.685425]","[703.983337, 79.711731, 1418.297241]",0.594238,1,1
