"BasePath","HasWSC","HasSCO","WSCBytes","SCOBytes","WSCHead","SCOHead"
"game\content_extracted\release64\ambient\roaming\event_donkey_lead","True","False","15792",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_generic_1v1","True","False","14916",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_hangingb","True","False","28312",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_herbalist_intro","True","False","19651",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_hunter_intro","True","False","20494",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_last_buffalo","True","False","11546",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_lone_stranger","True","False","14116",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_loot_dead_body","True","False","14468",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_mourn_dead_body","True","False","13424",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_predator_prey","True","False","13140",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_proc_escort","True","False","47437",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_proc_matkdef","True","False","42115",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_proc_transport","True","False","49943",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_roadside_aftermath","True","False","13428",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_roadside_ambush","True","False","24863",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_roadside_execution","True","False","20027",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_roadside_prisoners","True","False","21858",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_sharpshooter_challenge","True","False","20436",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_spawning_tool","True","False","721",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_treasurehunter_intro","True","False","23502",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_wild_animals","True","False","19381",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_wilderness_dynomite","True","False","15646",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\mh_named_bear","True","False","2268",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\mh_named_boar","True","False","4765",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\mh_named_cougar","True","False","2461",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\mh_named_wolf","True","False","2270",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\beat_crime_holdup","True","False","20422",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\beat_crime_horsethief","True","False","21072",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\beat_crime_wagonthief","True","False","24244",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\beat_dog_fetch","True","False","10200",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\beat_duel_lowhonor","True","False","30123",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\beat_duel_notoriety","True","False","30175",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\beat_duel_rude","True","False","30488",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\beat_escalera_firesquad","True","False","17472",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\beat_town_abduction","True","False","21867",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\event_ultra_high_fame","True","False","14732",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\event_ultra_high_honor","True","False","20083",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\event_unforgiven","True","False","14140",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\first_time_chuparosa","True","False","28160",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\first_time_duel","True","False","17924",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\first_time_manzanita","True","False","19810",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\town\mission_event_merchantsleep","True","False","6900",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\traffic\tevent_bh_rowdy_gangs","True","False","19263",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\traffic\tevent_lone_lawman","True","False","16373",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\traffic\tevent_rowdy_gangs","True","False","27365",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\traffic\tevent_town_buildingenter","True","False","10824",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\traffic\tevent_wilderness_pisser","True","False","17945",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\mp_graveyard\gy_blk\blackwater_mp_gy","True","False","51168",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\mp_graveyard\gy_cot\cootschapel_mp_gy","True","False","51237",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\mp_graveyard\gy_odd\oddfellowsrest_mp_gy","True","False","51043",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\mp_graveyard\gy_sep\sepulcro_mp_gy","True","False","51107",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\mp_graveyard\gy_tmb\tumbleweed_mp_gy","True","False","51307",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\regions\blkbasic","True","False","10942",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\regions\cotbasic","True","False","10941",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\regions\oddbasic","True","False","10941",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\regions\sepbasic","True","False","10944",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\regions\tmbbasic","True","False","10937",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\dlc\zombiepack\mp\regions\wwbasic","True","False","9389",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\armadillo\armadillo","True","False","27939",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\armadillo\armadillovol","True","False","12086",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\chollasprings","True","False","20846",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\chollaspringsvol","True","False","8433",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\coots_chapel\cootschapel","True","False","10549",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\coots_chapel\cootschapelvol","True","False","7988",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\ridgewood_farm\ridgewoodfarm","True","False","13963",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\ridgewood_farm\ridgewoodfarmvol","True","False","8197",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\twin_rocks\twinrocks","True","False","34360",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\cholla_springs\twin_rocks\twinrocksvol","True","False","6762",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\benedict_point\benedictpoint","True","False","9358",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\benedict_point\benedictpointvol","True","False","8177",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\gaptooth_breach\actionarea\gaptoothbreach_fte","True","False","12967",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\gaptooth_breach\gaptoothbreach","True","False","34702",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\gaptooth_breach\gaptoothbreachvol","True","False","7552",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\gaptoothridge","True","False","12356",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\gaptoothridgevol","True","False","8232",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\rathskeller_fork\rathskellerfork","True","False","16469",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\rathskeller_fork\rathskellerforkvol","True","False","8489",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\solomons_folly\solomonsfolly","True","False","18171",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\solomons_folly\solomonsfollyvol","True","False","6770",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\tumbleweed\actionarea\event_tum_churchboss","True","False","10919",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\tumbleweed\actionarea\event_tum_corrboss","True","False","10815",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\tumbleweed\actionarea\event_tum_gallowsboss","True","False","10528",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\tumbleweed\actionarea\event_tum_genboss","True","False","10393",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\tumbleweed\actionarea\event_tum_houseboss","True","False","10650",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\tumbleweed\actionarea\event_tum_mainboss","True","False","12648",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\tumbleweed\actionarea\tumbleweed_fte","True","False","14836",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\tumbleweed\tumbleweed","True","False","32667",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\gaptooth_ridge\tumbleweed\tumbleweedvol","True","False","8662",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\hennigans_stead\hennigans_ranch\hennigansranch","True","False","20414",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\hennigans_stead\hennigans_ranch\hennigansranchvol","True","False","10656",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\hennigans_stead\hennigansstead","True","False","14944",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\hennigans_stead\henniganssteadvol","True","False","11241",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\hennigans_stead\pikes_basin\actionarea\pikesbasin_herding","True","False","26706",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\hennigans_stead\pikes_basin\pikesbasin","True","False","32832",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\hennigans_stead\pikes_basin\pikesbasinvol","True","False","8420",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\hennigans_stead\thieves_landing\thieveslanding","True","False","21866",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\hennigans_stead\thieves_landing\thieveslandingvol","True","False","17231",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\armwrestling_pln\armwrestling_pln","True","False","2561",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\armwrestling_pln\armwrestling_pln_teleport","True","False","667",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\blackjack_rat\blackjack_rat","True","False","2796",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\blackjack_rat\blackjack_rat_teleport","True","False","666",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\blackjack_thi\blackjack_thi","True","False","2784",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\blackjack_thi\blackjack_thi_teleport","True","False","665",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\fivefingerfillet_arm\fivefingerfillet_arm","True","False","2746",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\fivefingerfillet_arm\fivefingerfillet_arm_teleport","True","False","665",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\fivefingerfillet_thi\fivefingerfillet_thi","True","False","2689",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\fivefingerfillet_thi\fivefingerfillet_thi_teleport","True","False","665",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\horseshoes_hen\horseshoes_hen","True","False","2608",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\horseshoes_hen\horseshoes_hen_teleport","True","False","1248",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\horseshoes_rat\horseshoes_rat","True","False","2611",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\horseshoes_rat\horseshoes_rat_teleport","True","False","1249",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\liarsdice_thi\liarsdice_thi","True","False","2872",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\liarsdice_thi\liarsdice_thi_teleport","True","False","665",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\liarsdice_thi\mp_liarsdice_thi","True","False","4932",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\poker_arm\mp_poker_arm","True","False","5349",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\poker_arm\poker_arm","True","False","3296",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\poker_arm\poker_arm_teleport","True","False","666",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\poker_hen\mp_poker_hen","True","False","5314",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\poker_hen\poker_hen","True","False","3239",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\poker_hen\poker_hen_teleport","True","False","666",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\poker_thi\mp_poker_thi","True","False","5081",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\poker_thi\poker_thi","True","False","3248",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\mini_games\poker_thi\poker_thi_teleport","True","False","666",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\fort01\fort01","True","False","66317",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\fort02\fort02","True","False","59185",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\grave01\grave01","True","False","58852",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\grave02\grave02","True","False","51730",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\grave03\grave03","True","False","49612",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\intro01\intro01","True","False","59748",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\marshal01\marshal01","True","False","68928",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\marshal02\marshal02","True","False","81194",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\marshal03\marshal03","True","False","59424",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\merchant01\merchant01","True","False","47663",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\merchant02\merchant02","True","False","53031",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\merchant03\merchant03","True","False","67553",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\merchant04\merchant04","True","False","70506",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\merchant05\merchant05","True","False","73889",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\outlaw01\outlaw01","True","False","50855",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\outlaw02\outlaw02","True","False","60159",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\outlaw03\outlaw03","True","False","60806",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\ranch01\ranch01","True","False","58756",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\ranch02\ranch02","True","False","50920",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\ranch03\ranch03","True","False","50650",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\ranch04\ranch04","True","False","61397",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\ranch06\ranch06","True","False","66205",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\ranch07\ranch07","True","False","54621",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\missions\ranch08\ranch08","True","False","59593",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\pr_frontier","True","False","539",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\rio_bravo\fort_mercer\fortmercer","True","False","29386",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\rio_bravo\fort_mercer\fortmercervol","True","False","8682",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\rio_bravo\plainview\plainview","True","False","12495",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\rio_bravo\plainview\plainviewvol","True","False","7489",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\rio_bravo\riobravo","True","False","13526",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\frontier\rio_bravo\riobravovol","True","False","7350",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\homestead\pr_end","True","False","23830",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\homestead\pr_homestead","True","False","3266",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\agv_population","True","False","2395",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\arm_population","True","False","3349",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\beh_population","True","False","2343",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\ben_population","True","False","2259",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\blk_population","True","False","3331",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\cas_population","True","False","2702",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\cho_population","True","False","3381",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\chu_population","True","False","3322",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\coc_population","True","False","2225",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\coo_population","True","False","2174",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\dzc_population","True","False","2666",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\emt_population","True","False","2385",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\esc_population","True","False","3425",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\fod_population","True","False","2128",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\fom_population","True","False","1792",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\fro_ghost_town","True","False","1915",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\fro_population","True","False","103",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\gap_population","True","False","1937",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\grt_population","True","False","2870",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\gtr_population","True","False","2723",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\hen_population","True","False","2893",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\hgn_population","True","False","3079",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\lsh_population","True","False","2502",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\mex_ghost_town","True","False","1777",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\mtp_population","True","False","2476",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\nor_ghost_town","True","False","2000",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\nos_population","True","False","1976",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\pik_population","True","False","1848",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\pln_population","True","False","2546",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\prd_population","True","False","2786",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\pun_population","True","False","2768",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\rat_population","True","False","2676",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\rio_population","True","False","2672",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\init\pop\rwf_population","True","False","2264",,"52 53 43 85 02 00 00 00",""
