parent,name,kind,state,source
wsc,mp_chu_ffa01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_chu_platforms01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_esc_ffa01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_fom_base01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_fom_coop01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_fom_ffa01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_gap_mineLid01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_hen_ffa01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_lsh_ffa01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_mtp_base01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_nos_coop01ax,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_nos_coop01bx,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_nos_coop01cx,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_nos_coop01dx,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_nos_coop01ex,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_pik_base01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_pik_ffa01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_scr_coop01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_tes_base01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_tes_coop01ax,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_tes_coop01bx,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_tes_coop01cx,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_tes_coop02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_tum_base01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_upr_ffa01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_wld_base01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_wld_base03x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mtp_flags01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,ram_missionProps01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,rsdGPSTRAIL_curve132,child,disabled,sector_inventory.csv:workbench_inventory
wsc,rsdROAD_las_esc_roaddetachedCurve20,child,enabled,sector_inventory.csv:workbench_inventory
wsc,rwf_barn01xprops01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,rwf_barn01xprops02x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,rwf_livingRoom01props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,rwf_livingRoom01props02x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,sep_graveCoverSingle01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,sep_graveEva01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,sp_anthro01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,sp_grave03x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,sp_marshal02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,sp_marshal03x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,sp_marshal04ax,child,enabled,sector_inventory.csv:workbench_inventory
wsc,sp_marshal04bx,child,enabled,sector_inventory.csv:workbench_inventory
wsc,sp_mexArmy03x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,sp_outlaw03x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,sp_rebel05x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,tes_wall02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,thi_gates01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,thi_gates02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,thi_window01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,thi_window02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,tor_militaryCamp01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,tor_militaryCamp02x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,dlc02x,world,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc05x,world,enabled,sector_inventory.csv:workbench_inventory
wsc,rsdGPSTRAIL_butterBridge_path,world,enabled,sector_inventory.csv:workbench_inventory
wsc,rsdGPSTRAIL_curve132,world,enabled,sector_inventory.csv:workbench_inventory
wsc,rsdGPSTRAIL_curve221,world,enabled,sector_inventory.csv:workbench_inventory
