phase,actionable_score,score,category,path,source_kind,regions,groups,high_value_terms,size
FW-1 tune/content pressure,1030,955,tune/template pressure,research/wft_wedt_attachment_lab/smic_attachment_map.csv,repo/text,,factions:45|spawning:18|weapons_pressure:838|world_hosts:54,,119028
FW-1 tune/content pressure,985,910,tune/template pressure,research/wft_wedt_attachment_lab/smic_gunbelt_rows.csv,repo/text,,spawning:18|weapons_pressure:838|world_hosts:54,,102243
FW-1 tune/content pressure,985,910,tune/template pressure,research/dualgun_left_hand_bypass/smic_gunbelt_rows.csv,repo/text,,spawning:18|weapons_pressure:838|world_hosts:54,,102243
FW-1 tune/content pressure,956,706,tune/template pressure,research/faction_wars/FW_ACTIONABLE_TARGETS.md,repo/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:36|scripting:183|spawning:161|war_behavior:14|weapons_pressure:4|world_hosts:96,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,16949
FW-1 tune/content pressure,856,831,script/native candidate,related_apps/Code_RED_ScriptHookRDR_AI_Menu/CodeRED_AI_Menu.bridge_candidate.cpp,repo/text,,factions:112|scripting:101|spawning:511|war_behavior:38|weapons_pressure:4|world_hosts:1,ai_is_hostile|create_actor|get_actor_faction|set_actor_faction|task_follow|task_kill|task_stand|task_wander,59828
FW-1 tune/content pressure,730,705,archive patch lane,research/Code_RED_Car_Truck_FBI_Pass26_RESEARCH/reports/fbi_car_truck_raw_hits.csv,repo/text,,scripting:496|spawning:174|weapons_pressure:2|world_hosts:33,,79639
FW-1 tune/content pressure,715,465,tune/template pressure,tools/codered_faction_wars_pipeline.py,repo/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:58|scripting:45|spawning:55|war_behavior:22|weapons_pressure:21|world_hosts:52,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,18928
FW-1 tune/content pressure,602,452,tune/template pressure,research/CodeRED_Project_Research_Master_Chat_Source_2026-04-29.md,repo/text,blackwater,factions:4|scripting:58|spawning:42|war_behavior:6|weapons_pressure:12|world_hosts:293,commongringos|gringobrain|refgroup|vehicle_generator,28857
FW-1 tune/content pressure,422,272,tune/template pressure,research/CodeRed_Refgroup_Parent_File_Findings_Pass12.txt,repo/text,blackwater|mexico,factions:5|scripting:1|spawning:109|war_behavior:17|weapons_pressure:33|world_hosts:81,population|refgroup,10248
FW-1 tune/content pressure,395,295,tune/template pressure,research/car_truck_inventory/car_truck_inventory.json,repo/text,,factions:6|scripting:55|spawning:22|weapons_pressure:10|world_hosts:186,gringobrain|vehicle_generator,159932
FW-1 tune/content pressure,370,245,tune/template pressure,research/CodeRed_USArmy_Companion_AI_Research_Pass12.txt,repo/text,,factions:110|scripting:23|spawning:27|war_behavior:39|weapons_pressure:5|world_hosts:17,gringobrain|population|task_follow,10440
FW-1 tune/content pressure,366,141,tune/template pressure,tools/codered_faction_wars_actionable_targets.py,repo/text,armadillo|blackwater|fort mercer|thieves,factions:32|scripting:23|spawning:14|war_behavior:6|weapons_pressure:6|world_hosts:24,population|refgroup,13713
FW-1 tune/content pressure,342,242,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_sector_context.csv,repo/text,blackwater,weapons_pressure:5|world_hosts:232,,79270
FW-1 tune/content pressure,331,256,world host / gringo,research/CodeRED_Gringo_Vehicle_Research_Pass_2026-04-29.md,repo/text,blackwater,factions:2|scripting:54|spawning:12|weapons_pressure:3|world_hosts:156,commongringos|gringobrain|vehicle_generator,7379
FW-1 tune/content pressure,320,170,tune/template pressure,docs/CodeRED_Tune_Max_Render_And_Spawns_Research.md,repo/text,armadillo|escalera|landing|ridgewood|thieves|tumbleweed,factions:52|spawning:50|war_behavior:8|world_hosts:14,population|refgroup,7583
FW-1 tune/content pressure,315,240,world host / gringo,research/blackwater_host_placement_resolver_outputs/sector_context.csv,repo/text,blackwater,weapons_pressure:5|world_hosts:230,,72992
FW-1 tune/content pressure,295,245,world host / gringo,research/extracted_root_research/extracted_root_research.md,repo/text,,factions:2|scripting:76|spawning:10|war_behavior:1|weapons_pressure:13|world_hosts:135,gringobrain,13606
FW-1 tune/content pressure,284,184,world host / gringo,tools/codered_camp_car_workbench.py,repo/text,,scripting:50|spawning:11|weapons_pressure:4|world_hosts:95,create_actor|refgroup|vehicle_generator,16078
FW-1 tune/content pressure,275,200,tune/template pressure,research/Tune - Max Render and Spawns/Tune/trees/treetypesettings.xml,repo/text,blackwater|manzanita|tumbleweed,factions:1|spawning:184,,161261
FW-1 tune/content pressure,272,147,tune/template pressure,research/pass12_vs_pass14_strings_findings.md,repo/text,blackwater,factions:65|spawning:33|war_behavior:12|weapons_pressure:17|world_hosts:7,population,5282
FW-1 tune/content pressure,265,190,world host / gringo,research/Code_RED_CarTruck_MissionRecipe_Pass29/reports/pass29_line_hits.csv,repo/text,,scripting:33|spawning:129|weapons_pressure:8|world_hosts:4,population|task_follow,27196
FW-1 tune/content pressure,257,182,tune/template pressure,research/Tune - Max Render and Spawns/Tune/template/actions_templates.xml,repo/text,,factions:15|scripting:24|spawning:97|war_behavior:27|weapons_pressure:11|world_hosts:8,,64795
FW-1 tune/content pressure,254,204,tune/template pressure,research/menu resources/root/content/ui/boot.sc.xml,repo/text,,scripting:31|spawning:168|world_hosts:5,,37855
FW-1 tune/content pressure,250,125,tune/template pressure,research/15_30_cumulative_blackwater_lasso_report.json,repo/text,blackwater,factions:28|scripting:3|spawning:36|war_behavior:24|weapons_pressure:14|world_hosts:15,,3889
FW-1 tune/content pressure,244,194,archive patch lane,research/car_truck_inventory/live_rpf_entries.csv,repo/text,,scripting:54|weapons_pressure:4|world_hosts:120,gringobrain|vehicle_generator,21239
FW-1 tune/content pressure,240,140,tune/template pressure,research/15_50_rival_gang_towns_report.json,repo/text,,factions:34|scripting:3|spawning:39|war_behavior:28|weapons_pressure:11|world_hosts:25,,4593
FW-1 tune/content pressure,238,138,tune/template pressure,research/CodeRED_RESEARCH_SYNTHESIS_2026-04-29.md,repo/text,,factions:1|scripting:18|spawning:25|war_behavior:1|weapons_pressure:2|world_hosts:75,commongringos|vehicle_generator,8619
FW-1 tune/content pressure,234,134,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/tools/build_cutscene_placement_pass15.py,repo/text,blackwater,scripting:11|spawning:38|war_behavior:4|world_hosts:68,refgroup,17124
FW-1 tune/content pressure,218,143,tune/template pressure,research/IMPORTANT_later_rpf_compare_2026-05-02/later_rpf_changed_between_versions.csv,repo/text,tumbleweed,factions:16|spawning:8|war_behavior:5|weapons_pressure:20|world_hosts:89,,40608
FW-1 tune/content pressure,212,137,tune/template pressure,docs/script_workflow/REALTIME_WEAPON_MODIFIERS.md,repo/text,,factions:8|scripting:3|spawning:38|war_behavior:1|weapons_pressure:83|world_hosts:4,,5122
FW-1 tune/content pressure,211,86,tune/template pressure,research/CodeRed_Navres_Psocache_Findings_Pass12_Update.txt,repo/text,,factions:4|spawning:22|war_behavior:9|weapons_pressure:8|world_hosts:27,population|refgroup,6898
FW-1 tune/content pressure,209,84,tune/template pressure,research/CodeRed_Navres_Terrain_Navigation_Findings_Pass12.txt,repo/text,,factions:4|scripting:1|spawning:30|war_behavior:6|weapons_pressure:4|world_hosts:23,population|refgroup,4173
FW-1 tune/content pressure,208,133,tune/template pressure,research/15_40_all_towns_active_report.json,repo/text,,factions:29|scripting:3|spawning:38|war_behavior:29|weapons_pressure:11|world_hosts:23,,4453
FW-1 tune/content pressure,204,54,tune/template pressure,docs/CodeRED_Living_World_Station_Prep.md,repo/text,blackwater,factions:14|spawning:14|weapons_pressure:3|world_hosts:2,population|refgroup,3021
FW-1 tune/content pressure,203,178,archive patch lane,research/wft_wedt_attachment_lab/model_resource_summary.csv,repo/text,,factions:148|weapons_pressure:30,,44174
FW-1 tune/content pressure,195,95,world host / gringo,tools/codered_analyze_camp_car_scan.py,repo/text,,scripting:12|spawning:4|weapons_pressure:3|world_hosts:60,refgroup|vehicle_generator,5069
FW-1 tune/content pressure,192,117,tune/template pressure,research/15_00_pass12_base_report.json,repo/text,,factions:28|scripting:3|spawning:36|war_behavior:24|weapons_pressure:11|world_hosts:15,,3870
FW-1 tune/content pressure,172,97,tune/template pressure,research/car_truck_inventory/car_truck_inventory.md,repo/text,,scripting:19|weapons_pressure:2|world_hosts:68,vehicle_generator,8087
FW-1 tune/content pressure,169,144,script/native candidate,tools/codered_native_bridge_generation.py,repo/text,,factions:8|scripting:22|spawning:41|war_behavior:6|weapons_pressure:1|world_hosts:2,ai_is_hostile|create_actor|get_actor_faction|set_actor_faction|task_follow|task_kill|task_stand|task_wander,19194
FW-1 tune/content pressure,168,68,tune/template pressure,research/Tune - Stronger NPC/Template/components.xml,repo/text,,factions:4|spawning:24|war_behavior:15|weapons_pressure:13|world_hosts:12,,31112
FW-1 tune/content pressure,166,91,world host / gringo,tools/codered_inspect_camp_vehicle_gringo_scripts.py,repo/text,,scripting:10|spawning:7|weapons_pressure:4|world_hosts:54,create_actor|vehicle_generator,8244
FW-1 tune/content pressure,164,89,tune/template pressure,research/IMPORTANT_later_rpf_compare_2026-05-02/later_rpf_compare.md,repo/text,tumbleweed,factions:17|spawning:12|war_behavior:8|weapons_pressure:5|world_hosts:42,,19881
FW-1 tune/content pressure,150,50,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/README_PASS15_CUTSCENE_PLACEMENT_FINDINGS.txt,repo/text,blackwater,scripting:5|spawning:15|world_hosts:17,refgroup,2439
FW-1 tune/content pressure,148,73,world host / gringo,tools/codered_scan_camp_car_import_candidates.py,repo/text,,scripting:4|spawning:9|world_hosts:36,create_actor|refgroup|vehicle_generator,8329
FW-1 tune/content pressure,143,118,archive patch lane,research/IMPORTANT_psocache_rpf_analysis_2026-05-02/psocache_entries.csv,repo/text,,war_behavior:1|weapons_pressure:79|world_hosts:38,,839459
FW-1 tune/content pressure,143,43,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_gringo_correlation_master.json,repo/text,,spawning:1|weapons_pressure:3|world_hosts:39,,1107
FW-1 tune/content pressure,143,43,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/pass15_cutscene_placement_summary.json,repo/text,blackwater,scripting:3|spawning:9|world_hosts:18,refgroup,3167
FW-1 tune/content pressure,134,109,archive patch lane,research/IMPORTANT_psocache_rpf_analysis_2026-05-02/psocache_interesting_terms.csv,repo/text,,weapons_pressure:78|world_hosts:31,,296877
FW-1 tune/content pressure,133,58,tune/template pressure,research/CodeRed_Behavior_File_Findings_Pass05_Research.txt,repo/text,,factions:16|scripting:3|spawning:1|war_behavior:31|weapons_pressure:3|world_hosts:4,,5672
FW-1 tune/content pressure,130,30,tune/template pressure,docs/code-red-script-workflow/LANES.md,repo/text,,scripting:5|spawning:9|war_behavior:3|weapons_pressure:1|world_hosts:4,refgroup,2499
FW-1 tune/content pressure,129,79,world host / gringo,tools/codered_scan_gringo_descriptors.py,repo/text,,scripting:35|weapons_pressure:1|world_hosts:35,vehicle_generator,7021
FW-1 tune/content pressure,124,49,tune/template pressure,research/car_truck_inventory/reference_entries.csv,repo/text,,weapons_pressure:6|world_hosts:43,,22458
FW-1 tune/content pressure,121,46,tune/template pressure,research/wft_wedt_attachment_lab/smic_player_hand_rows.csv,repo/text,,factions:45|weapons_pressure:1,,15714
FW-1 tune/content pressure,121,46,tune/template pressure,research/dualgun_left_hand_bypass/smic_player_hand_rows.csv,repo/text,,factions:45|weapons_pressure:1,,15714
FW-1 tune/content pressure,117,42,tune/template pressure,research/CodeRED_VR_Motion_Controls_Research_Status_2026-04-30.md,repo/text,,scripting:1|spawning:1|war_behavior:5|weapons_pressure:32|world_hosts:3,,5753
FW-1 tune/content pressure,111,61,world host / gringo,research/CodeRED_RESEARCH_MANIFEST.csv,repo/text,,factions:6|scripting:5|spawning:10|world_hosts:32,refgroup,8741
FW-1 tune/content pressure,111,11,tune/template pressure,research/Tune - Stronger NPC/Template/template_player.xml,repo/text,,factions:1|spawning:6|war_behavior:2|weapons_pressure:2,,3922
FW-1 tune/content pressure,110,35,tune/template pressure,research/wft_wedt_attachment_lab/script_hook_dualgun_attachment_plan.json,repo/text,,scripting:4|spawning:2|war_behavior:1|weapons_pressure:28,,5384
FW-1 tune/content pressure,110,35,tune/template pressure,research/dualgun_left_hand_bypass/source_script_hook_dualgun_attachment_plan.json,repo/text,,scripting:4|spawning:2|war_behavior:1|weapons_pressure:28,,5384
FW-1 tune/content pressure,109,9,tune/template pressure,research/Tune - Stronger NPC/Template/template_base_human.xml,repo/text,,spawning:5|war_behavior:2|weapons_pressure:2,,3299
FW-1 tune/content pressure,103,28,tune/template pressure,research/Code_RED_CarTruck_MissionRecipe_Pass29/README_PASS29_CARTRUCK_MISSION_RECIPE.txt,repo/text,,scripting:7|spawning:12|world_hosts:1,population,1083
FW-1 tune/content pressure,102,27,tune/template pressure,research/Code_RED_CarTruck_MissionRecipe_Pass29/reports/ranked_next_patch_candidates.csv,repo/text,,scripting:4|spawning:10|world_hosts:5,population,1071
FW-1 tune/content pressure,97,22,tune/template pressure,docs/REPO_STRUCTURE.md,repo/text,,factions:5|scripting:2|spawning:4|world_hosts:3,refgroup,3431
FW-1 tune/content pressure,94,44,tune/template pressure,tools/codered_ui_update_mix_research.py,repo/text,,scripting:34|spawning:10,,10958
FW-1 tune/content pressure,94,19,tune/template pressure,research/wft_wedt_attachment_lab/weapon_dualgun_comparison.csv,repo/text,,weapons_pressure:19,,1968
FW-1 tune/content pressure,94,19,tune/template pressure,research/dualgun_left_hand_bypass/weapon_dualgun_comparison.csv,repo/text,,weapons_pressure:19,,1968
FW-1 tune/content pressure,91,16,tune/template pressure,research/dualgun_left_hand_bypass/dualgun_left_hand_bypass_plan.json,repo/text,,scripting:1|spawning:2|war_behavior:1|weapons_pressure:12,,1615
FW-1 tune/content pressure,90,40,tune/template pressure,docs/code-red-script-workflow/SCRIPT_FEATURE_STATUS.md,repo/text,,factions:1|scripting:11|spawning:12|war_behavior:2|world_hosts:14,,2883
FW-1 tune/content pressure,89,64,archive patch lane,research/wft_wedt_attachment_lab/fragment_bundle_map.csv,repo/text,,factions:52|weapons_pressure:12,,8184
FW-1 tune/content pressure,89,64,archive patch lane,research/Code_RED_Car_Truck_FBI_Pass26_RESEARCH/reports/candidate_vehicle_value_swap_table_DO_NOT_PATCH_YET.csv,repo/text,,spawning:48|weapons_pressure:2|world_hosts:14,,3428
FW-1 tune/content pressure,86,36,world host / gringo,research/Code_RED_CarTruck_MissionRecipe_Pass29/evidence/Function_539_0x18C43.txt,repo/text,,scripting:5|spawning:19|weapons_pressure:3|world_hosts:1,task_stand,7597
FW-1 tune/content pressure,86,36,world host / gringo,research/Code_RED_CarTruck_MissionRecipe_Pass29/evidence/Function_369_0x10C43.txt,repo/text,,scripting:5|spawning:19|weapons_pressure:3|world_hosts:1,task_stand,7597
FW-1 tune/content pressure,85,10,tune/template pressure,tools/codered_archive_lane_validation.py,repo/text,,scripting:1|spawning:7|weapons_pressure:1|world_hosts:1,,12538
FW-1 tune/content pressure,85,10,tune/template pressure,research/Tune - Max Render and Spawns/Tune/settings/ambientmgrtuning.xml,repo/text,,spawning:9|world_hosts:1,,944
FW-1 tune/content pressure,82,32,tune/template pressure,docs/script_workflow/README.md,repo/text,,scripting:8|spawning:13|war_behavior:2|world_hosts:9,,2684
FW-1 tune/content pressure,81,6,tune/template pressure,research/RPF - Rafts Plus/tune/player/input_boat.xml,repo/text,,weapons_pressure:6,,1509
FW-1 tune/content pressure,74,24,archive patch lane,related_apps/Code_RED_ScriptHookRDR_AI_Menu/data/codered/npc_model_roster_v1.json,repo/text,blackwater,factions:12|spawning:7,,5985
FW-1 tune/content pressure,64,14,script/native candidate,research/Code_RED_CarTruck_MissionRecipe_Pass29/reports/vehicle_relevant_function_map.csv,repo/text,,scripting:1|spawning:4|weapons_pressure:1,population,5996
FW-1 tune/content pressure,63,38,archive patch lane,related_apps/Code_RED_ScriptHookRDR_AI_Menu/docs/codered/trainer_ai_control_handoff_v1.md,repo/text,,factions:3|scripting:1|spawning:9|war_behavior:1|weapons_pressure:1|world_hosts:23,,3513
FW-1 tune/content pressure,63,13,world host / gringo,research/IMPORTANT_psocache_rpf_analysis_2026-05-02/psocache_analysis.md,repo/text,,factions:2|scripting:2|spawning:4|weapons_pressure:1|world_hosts:4,,6474
FW-1 tune/content pressure,63,13,world host / gringo,research/Code_RED_CarTruck_MissionRecipe_Pass29/evidence/Function_598_0x1B021.txt,repo/text,,scripting:1|spawning:9|weapons_pressure:2|world_hosts:1,,1697
FW-1 tune/content pressure,63,13,world host / gringo,research/Code_RED_CarTruck_MissionRecipe_Pass29/evidence/Function_428_0x13021.txt,repo/text,,scripting:1|spawning:9|weapons_pressure:2|world_hosts:1,,1697
FW-1 tune/content pressure,60,10,tune/template pressure,research/Tune - Mirage Spawner/debris/tumbleweeds.xml,repo/text,tumbleweed,spawning:5,,761
FW-1 tune/content pressure,59,34,archive patch lane,research/wft_wedt_attachment_lab/complete_fragment_bundles_sample.csv,repo/text,,factions:30|weapons_pressure:4,,4052
FW-1 tune/content pressure,57,7,world host / gringo,research/Code_RED_CarTruck_MissionRecipe_Pass29/evidence/Function_748_0x27A55.txt,repo/text,,spawning:1|weapons_pressure:3|world_hosts:3,,398
FW-1 tune/content pressure,57,7,tune/template pressure,docs/CodeRED_One_App_Upgrade_Plan_2026-05-03.md,repo/text,,scripting:2|spawning:2|world_hosts:3,,2497
FW-1 tune/content pressure,57,7,tune/template pressure,docs/CodeRED_ACTIVE_FOLDER_IMPORTANCE.md,repo/text,,factions:1|scripting:2|spawning:1|world_hosts:3,,1495
FW-1 tune/content pressure,55,5,tune/template pressure,research/RPF - Rafts Plus/tune/template/template_vehicleraft03.xml,repo/text,,factions:1|spawning:3|world_hosts:1,,705
FW-1 tune/content pressure,55,5,tune/template pressure,research/RPF - Rafts Plus/tune/template/template_vehicleraft02.xml,repo/text,,factions:1|spawning:3|world_hosts:1,,705
FW-1 tune/content pressure,55,5,tune/template pressure,research/RPF - Rafts Plus/tune/template/template_vehicleraft01.xml,repo/text,,factions:1|spawning:3|world_hosts:1,,705
FW-1 tune/content pressure,55,5,tune/template pressure,research/RPF - Rafts Plus/tune/template/template_vehiclecanoe01.xml,repo/text,,factions:1|spawning:3|world_hosts:1,,709
FW-1 tune/content pressure,55,5,tune/template pressure,research/RPF - Rafts Plus/tune/template/template_base_boat.xml,repo/text,,factions:1|spawning:3|world_hosts:1,,743
FW-1 tune/content pressure,49,24,archive patch lane,research/IMPORTANT_psocache_rpf_analysis_2026-05-02/psocache_shader_programs.csv,repo/text,,war_behavior:1|weapons_pressure:15|world_hosts:8,,32491
FW-1 tune/content pressure,34,9,archive patch lane,research/wft_wedt_attachment_lab/wft_wedt_attachment_master.json,repo/text,,scripting:2|weapons_pressure:7,,987
FW-1 tune/content pressure,31,6,archive patch lane,research/wft_wedt_attachment_lab/wft_wedt_attachment_report.md,repo/text,,scripting:1|spawning:1|weapons_pressure:4,,968
FW-1 tune/content pressure,30,5,archive patch lane,docs/code-red-script-workflow/PROOF_SCRIPT_TEMPLATE.md,repo/text,,scripting:3|spawning:1|world_hosts:1,,1419
FW-1 tune/content pressure,29,4,script/native candidate,scratch/script_workshop_pipeline/new_script_templates/codered_new_script_template.h,repo/text,,scripting:4,,168
FW-1 tune/content pressure,29,4,script/native candidate,scratch/script_workshop_pipeline/new_script_templates/codered_new_script_template.c,repo/text,,scripting:4,,267
FW-2 world-host discovery,929,829,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_wgd_correlations.csv,repo/text,blackwater,world_hosts:824,,89103
FW-2 world-host discovery,724,649,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_annotation_candidate_hosts.csv,repo/text,blackwater,spawning:92|world_hosts:552,,37857
FW-2 world-host discovery,633,558,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_keyword_string_hits.csv,repo/text,blackwater,world_hosts:553,,82046
FW-2 world-host discovery,490,415,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_gringo_annotation_hosts.csv,repo/text,blackwater,spawning:99|world_hosts:311,,31473
FW-2 world-host discovery,384,334,world host / gringo,research/blackwater_host_placement_resolver_outputs/blackwater_host_candidates.json,repo/text,blackwater,spawning:42|world_hosts:287,,61203
FW-2 world-host discovery,219,169,world host / gringo,research/blackwater_host_placement_resolver_outputs/blackwater_host_candidates.csv,repo/text,blackwater,spawning:42|world_hosts:122,,29374
FW-2 world-host discovery,203,178,world host / gringo,related_apps/Code_RED_ScriptHookRDR_AI_Menu/install_vehicle_first_menu_data_windows.ps1,repo/text,,factions:16|scripting:3|spawning:125|war_behavior:8|world_hosts:18,create_actor,8009
FW-2 inspect before patch,170,170,script/native candidate,related_apps/Code_RED_ScriptHookRDR_AI_Menu/patches/CodeRED_AI_Menu_actor_enum_loader_reference.cpp,repo/text,,factions:7|scripting:77|spawning:82|war_behavior:4,,25831
FW-2 world-host discovery,165,115,world host / gringo,research/blackwater_host_placement_resolver_outputs/blackwater_safe_vehicle_test_candidates.csv,repo/text,blackwater,spawning:31|world_hosts:79,,23935
FW-2 world-host discovery,129,104,world host / gringo,related_apps/Code_RED_ScriptHookRDR_AI_Menu/install_diagnostic_only_menu_data_windows.ps1,repo/text,,factions:24|scripting:1|spawning:54|war_behavior:13|world_hosts:4,create_actor,5565
FW-2 inspect before patch,124,124,script/native candidate,tools/codered_ai_trainer_validation.py,repo/text,,factions:8|scripting:8|spawning:54|war_behavior:4|world_hosts:10,create_actor|task_follow|task_kill|task_stand|task_wander,16143
FW-2 world-host discovery,93,43,world host / gringo,research/blackwater_host_placement_resolver_outputs/single_placement_experiment_plan.md,repo/text,blackwater,scripting:8|spawning:4|world_hosts:18,vehicle_generator,1692
FW-2 inspect before patch,91,91,script/native candidate,related_apps/Code_RED_ScriptHookRDR_AI_Menu/CodeRED_AI_Menu.cpp,repo/text,,factions:7|scripting:77|spawning:3|war_behavior:4,,16126
FW-3 copied-archive proof,88,63,archive patch lane,research/CodeRED_MP_content_rpf_research_addendum.txt,repo/text,blackwater|tumbleweed,factions:8|scripting:17|spawning:13|war_behavior:4|world_hosts:11,,12709
FW-2 inspect before patch,84,84,script/native candidate,tools/codered_ai_menu_bridge_integration.py,repo/text,,factions:4|scripting:16|spawning:12|war_behavior:4,ai_is_hostile|create_actor|get_actor_faction|set_actor_faction|task_follow|task_kill,13356
FW-2 world-host discovery,83,33,world host / gringo,research/blackwater_host_placement_resolver_outputs/host_reference_summary.csv,repo/text,blackwater,world_hosts:28,,1879
FW-2 world-host discovery,79,4,world host / gringo,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/blackwater_wsi_hash_hits_all.csv,repo/text,,world_hosts:4,,7974
FW-3 copied-archive proof,76,76,archive patch lane,tools/codered_script_pipeline.py,repo/text,,scripting:72|spawning:4,,27824
FW-2 inspect before patch,76,76,script/native candidate,tools/codered_ai_menu_car_spawn_doctor.py,repo/text,,scripting:9|spawning:58|world_hosts:1,create_actor,10018
FW-2 world-host discovery,76,26,world host / gringo,research/Code_RED_CarTruck_MissionRecipe_Pass29/reports/spawn_recipe_steps.csv,repo/text,,scripting:4|spawning:13|world_hosts:1,population,1017
FW-2 inspect before patch,74,74,script/native candidate,tools/codered_script_compile_validation.py,repo/text,,scripting:27|spawning:31,create_actor|streaming_request_actor,14069
FW-2 world-host discovery,66,16,world host / gringo,research/blackwater_host_placement_resolver_outputs/blackwater_host_resolver_master.json,repo/text,blackwater,spawning:4|world_hosts:7,,981
FW-2 world-host discovery,60,10,world host / gringo,research/blackwater_host_placement_resolver_outputs/unresolved_hosts.csv,repo/text,blackwater,spawning:2|world_hosts:3,,516
FW-3 copied-archive proof,56,56,archive patch lane,related_apps/Code_RED_ScriptHookRDR_AI_Menu/README.md,repo/text,,factions:1|scripting:16|spawning:33|war_behavior:6,,5636
