# CodeRED full inline actor roster
# Generated by tools/codered_actor_enum_tool.py
# Format: ACTOR_NAME|actor_enum
# The inline value lets the ASI resolve actors without relying on CSV alias parsing.

ACTOR_gang_bandito_easy02_cs|822  # gang 0x00000336
ACTOR_gang_mexicanrebel_easy02_cs|823  # gang 0x00000337
ACTOR_gang_mexicanrebel_easy03_cs|824  # gang 0x00000338
ACTOR_gang_mexicanrebel_medium01_cs|825  # gang 0x00000339
ACTOR_gang_mexicanrebel_medium02_cs|826  # gang 0x0000033A
ACTOR_gang_mexicanrebel_medium03_cs|827  # gang 0x0000033B
ACTOR_gang_mexicanrebel_hard01_cs|828  # gang 0x0000033C
ACTOR_gang_mexicanrebel_hard03_cs|829  # gang 0x0000033D
ACTOR_gang_luisa_easy01_cs|830  # gang 0x0000033E
ACTOR_gang_luisa_easy02_cs|831  # gang 0x0000033F
ACTOR_gang_luisa_easy03_cs|832  # gang 0x00000340
ACTOR_gang_luisa_medium02_cs|833  # gang 0x00000341
ACTOR_gang_luisa_medium03_cs|834  # gang 0x00000342
