# CodeRED full inline actor roster
# Generated by tools/codered_actor_enum_tool.py
# Format: ACTOR_NAME|actor_enum
# The inline value lets the ASI resolve actors without relying on CSV alias parsing.

ACTOR_vehicle_stagecoachgatling01|1182  # vehicle 0x0000049E
ACTOR_vehicle_cart01|1183  # vehicle 0x0000049F
ACTOR_vehicle_cart02|1184  # vehicle 0x000004A0
ACTOR_vehicle_cart003|1185  # vehicle 0x000004A1
ACTOR_vehicle_cart004|1186  # vehicle 0x000004A2
ACTOR_vehicle_cart005|1187  # vehicle 0x000004A3
ACTOR_vehicle_cart006|1188  # vehicle 0x000004A4
ACTOR_vehicle_canoe01|1189  # vehicle 0x000004A5
ACTOR_vehicle_raft02|1190  # vehicle 0x000004A6
ACTOR_vehicle_raft03|1191  # vehicle 0x000004A7
ACTOR_vehicle_raft01|1192  # vehicle 0x000004A8
ACTOR_vehicle_truck01|1193  # vehicle 0x000004A9
ACTOR_vehicle_car01|1194  # vehicle 0x000004AA
ACTOR_vehicle_wagon04|1195  # vehicle 0x000004AB
ACTOR_vehicle_wagon05|1196  # vehicle 0x000004AC
ACTOR_vehicle_wagonprison01|1197  # vehicle 0x000004AD
ACTOR_vehicle_wagongatling01|1198  # vehicle 0x000004AE
ACTOR_vehicle_wagon02|1199  # vehicle 0x000004AF
ACTOR_vehicle_chuckwagon|1200  # vehicle 0x000004B0
ACTOR_vehicle_chuckwagon02|1201  # vehicle 0x000004B1
ACTOR_vehicle_coach01|1202  # vehicle 0x000004B2
ACTOR_vehicle_train_minecart01|1203  # vehicle 0x000004B3
