archive,archive_path,entry_path,name,extension,layer,size,offset,is_resource,resource_type,base_name,name_hash,grid_x_hex,grid_y_hex,grid_x_u16,grid_y_u16,grid_x_s16,grid_y_s16,bounds_grid_cell_size_guess,world_min_x_guess,world_min_y_guess,world_max_x_guess,world_max_y_guess
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/10001e40_bnd.wtb,10001e40_bnd.wtb,.wtb,terrain_bounds_wtb,5124,109404160,True,36,10001e40_bnd,0xB1AABD75,1000,1e40,4096,7744,4096,7744,64,4096,7744,4160,7808
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12802080_bnd.wtb,12802080_bnd.wtb,.wtb,terrain_bounds_wtb,34112,132898816,True,36,12802080_bnd,0x8B6DFB0E,1280,2080,4736,8320,4736,8320,64,4736,8320,4800,8384
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12401c40_bnd.wtb,12401c40_bnd.wtb,.wtb,terrain_bounds_wtb,16996,129654784,True,36,12401c40_bnd,0x1894EDCD,1240,1c40,4672,7232,4672,7232,64,4672,7232,4736,7296
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0e002640_bnd.wtb,0e002640_bnd.wtb,.wtb,terrain_bounds_wtb,19981,92139520,True,36,0e002640_bnd,0xFCF407A8,0e00,2640,3584,9792,3584,9792,64,3584,9792,3648,9856
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/19002700_bnd.wtb,19002700_bnd.wtb,.wtb,terrain_bounds_wtb,8775,203460608,True,36,19002700_bnd,0xC29E3AD7,1900,2700,6400,9984,6400,9984,64,6400,9984,6464,10048
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0a802580_bnd.wtb,0a802580_bnd.wtb,.wtb,terrain_bounds_wtb,40925,61282304,True,36,0a802580_bnd,0x577E8109,0a80,2580,2688,9600,2688,9600,64,2688,9600,2752,9664
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/10802940_bnd.wtb,10802940_bnd.wtb,.wtb,terrain_bounds_wtb,14583,116180992,True,36,10802940_bnd,0xF8042844,1080,2940,4224,10560,4224,10560,64,4224,10560,4288,10624
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/07402140_bnd.wtb,07402140_bnd.wtb,.wtb,terrain_bounds_wtb,16947,26834944,True,36,07402140_bnd,0x23A831BB,0740,2140,1856,8512,1856,8512,64,1856,8512,1920,8576
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/1c001cc0_bnd.wtb,1c001cc0_bnd.wtb,.wtb,terrain_bounds_wtb,1149,211849216,True,36,1c001cc0_bnd,0x5B1E6627,1c00,1cc0,7168,7360,7168,7360,64,7168,7360,7232,7424
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/1b8020c0_bnd.wtb,1b8020c0_bnd.wtb,.wtb,terrain_bounds_wtb,11291,211492864,True,36,1b8020c0_bnd,0x70E77A66,1b80,20c0,7040,8384,7040,8384,64,7040,8384,7104,8448
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/13c02200_bnd.wtb,13c02200_bnd.wtb,.wtb,terrain_bounds_wtb,61708,147701760,True,36,13c02200_bnd,0xD296AA6E,13c0,2200,5056,8704,5056,8704,64,5056,8704,5120,8768
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12c02640_bnd.wtb,12c02640_bnd.wtb,.wtb,terrain_bounds_wtb,9278,137193472,True,36,12c02640_bnd,0xFACEF1C8,12c0,2640,4800,9792,4800,9792,64,4800,9792,4864,9856
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11002900_bnd.wtb,11002900_bnd.wtb,.wtb,terrain_bounds_wtb,25045,120588288,True,36,11002900_bnd,0x1BBAB6C0,1100,2900,4352,10496,4352,10496,64,4352,10496,4416,10560
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11c027c0_bnd.wtb,11c027c0_bnd.wtb,.wtb,terrain_bounds_wtb,71059,126474240,True,36,11c027c0_bnd,0xC89CB42D,11c0,27c0,4544,10176,4544,10176,64,4544,10176,4608,10240
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11c022c0_bnd.wtb,11c022c0_bnd.wtb,.wtb,terrain_bounds_wtb,35165,125716480,True,36,11c022c0_bnd,0x05BF4391,11c0,22c0,4544,8896,4544,8896,64,4544,8896,4608,8960
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11002580_bnd.wtb,11002580_bnd.wtb,.wtb,terrain_bounds_wtb,26067,119914496,True,36,11002580_bnd,0x7957AA35,1100,2580,4352,9600,4352,9600,64,4352,9600,4416,9664
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0a402140_bnd.wtb,0a402140_bnd.wtb,.wtb,terrain_bounds_wtb,88288,58132480,True,36,0a402140_bnd,0x7762ECBD,0a40,2140,2624,8512,2624,8512,64,2624,8512,2688,8576
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11c02540_bnd.wtb,11c02540_bnd.wtb,.wtb,terrain_bounds_wtb,12340,126011392,True,36,11c02540_bnd,0xD742D9FB,11c0,2540,4544,9536,4544,9536,64,4544,9536,4608,9600
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/04802880_bnd.wtb,04802880_bnd.wtb,.wtb,terrain_bounds_wtb,16830,1464320,True,36,04802880_bnd,0x69251233,0480,2880,1152,10368,1152,10368,64,1152,10368,1216,10432
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/09002680_bnd.wtb,09002680_bnd.wtb,.wtb,terrain_bounds_wtb,17879,46790656,True,36,09002680_bnd,0xB35D0229,0900,2680,2304,9856,2304,9856,64,2304,9856,2368,9920
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12c01c80_bnd.wtb,12c01c80_bnd.wtb,.wtb,terrain_bounds_wtb,10301,135165952,True,36,12c01c80_bnd,0xF9BF8097,12c0,1c80,4800,7296,4800,7296,64,4800,7296,4864,7360
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/13002240_bnd.wtb,13002240_bnd.wtb,.wtb,terrain_bounds_wtb,36426,139638784,True,36,13002240_bnd,0xBEFF3623,1300,2240,4864,8768,4864,8768,64,4864,8768,4928,8832
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/06c02700_bnd.wtb,06c02700_bnd.wtb,.wtb,terrain_bounds_wtb,7398,22736896,True,36,06c02700_bnd,0x5B7C09AF,06c0,2700,1728,9984,1728,9984,64,1728,9984,1792,10048
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0bc02300_bnd.wtb,0bc02300_bnd.wtb,.wtb,terrain_bounds_wtb,67808,71319552,True,36,0bc02300_bnd,0x64C0E66D,0bc0,2300,3008,8960,3008,8960,64,3008,8960,3072,9024
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/04002380_bnd.wtb,04002380_bnd.wtb,.wtb,terrain_bounds_wtb,10418,169984,True,36,04002380_bnd,0xC61062BD,0400,2380,1024,9088,1024,9088,64,1024,9088,1088,9152
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0f801ec0_bnd.wtb,0f801ec0_bnd.wtb,.wtb,terrain_bounds_wtb,36532,105654272,True,36,0f801ec0_bnd,0xF011C3CF,0f80,1ec0,3968,7872,3968,7872,64,3968,7872,4032,7936
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15c02a80_bnd.wtb,15c02a80_bnd.wtb,.wtb,terrain_bounds_wtb,9173,174292992,True,36,15c02a80_bnd,0x61A96226,15c0,2a80,5568,10880,5568,10880,64,5568,10880,5632,10944
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0ec02340_bnd.wtb,0ec02340_bnd.wtb,.wtb,terrain_bounds_wtb,38080,99254272,True,36,0ec02340_bnd,0xDDCAF1C9,0ec0,2340,3776,9024,3776,9024,64,3776,9024,3840,9088
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18401d40_bnd.wtb,18401d40_bnd.wtb,.wtb,terrain_bounds_wtb,29297,196556800,True,36,18401d40_bnd,0x59FEC179,1840,1d40,6208,7488,6208,7488,64,6208,7488,6272,7552
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/13c02240_bnd.wtb,13c02240_bnd.wtb,.wtb,terrain_bounds_wtb,61952,147765248,True,36,13c02240_bnd,0x2D514B9A,13c0,2240,5056,8768,5056,8768,64,5056,8768,5120,8832
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15401bc0_bnd.wtb,15401bc0_bnd.wtb,.wtb,terrain_bounds_wtb,20570,165470208,True,36,15401bc0_bnd,0x64F9A166,1540,1bc0,5440,7104,5440,7104,64,5440,7104,5504,7168
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18401c40_bnd.wtb,18401c40_bnd.wtb,.wtb,terrain_bounds_wtb,45912,196399104,True,36,18401c40_bnd,0x835FAC0C,1840,1c40,6208,7232,6208,7232,64,6208,7232,6272,7296
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/13402700_bnd.wtb,13402700_bnd.wtb,.wtb,terrain_bounds_wtb,121171,143198208,True,36,13402700_bnd,0x65D11BD5,1340,2700,4928,9984,4928,9984,64,4928,9984,4992,10048
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/10c01e80_bnd.wtb,10c01e80_bnd.wtb,.wtb,terrain_bounds_wtb,4165,116600832,True,36,10c01e80_bnd,0x65F7BAAE,10c0,1e80,4288,7808,4288,7808,64,4288,7808,4352,7872
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/1c001fc0_bnd.wtb,1c001fc0_bnd.wtb,.wtb,terrain_bounds_wtb,2160,211873792,True,36,1c001fc0_bnd,0x0833FC8A,1c00,1fc0,7168,8128,7168,8128,64,7168,8128,7232,8192
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11002040_bnd.wtb,11002040_bnd.wtb,.wtb,terrain_bounds_wtb,10126,119207936,True,36,11002040_bnd,0xCD6880A4,1100,2040,4352,8256,4352,8256,64,4352,8256,4416,8320
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0f402a40_bnd.wtb,0f402a40_bnd.wtb,.wtb,terrain_bounds_wtb,45763,105342976,True,36,0f402a40_bnd,0x25D872FC,0f40,2a40,3904,10816,3904,10816,64,3904,10816,3968,10880
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0e402ac0_bnd.wtb,0e402ac0_bnd.wtb,.wtb,terrain_bounds_wtb,50969,95506432,True,36,0e402ac0_bnd,0xD5987ADC,0e40,2ac0,3648,10944,3648,10944,64,3648,10944,3712,11008
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11402400_bnd.wtb,11402400_bnd.wtb,.wtb,terrain_bounds_wtb,21308,121792512,True,36,11402400_bnd,0xB000AF69,1140,2400,4416,9216,4416,9216,64,4416,9216,4480,9280
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/18401cc0_bnd.wtb,18401cc0_bnd.wtb,.wtb,terrain_bounds_wtb,10063,196487168,True,36,18401cc0_bnd,0xEB439683,1840,1cc0,6208,7360,6208,7360,64,6208,7360,6272,7424
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/19c01c40_bnd.wtb,19c01c40_bnd.wtb,.wtb,terrain_bounds_wtb,10610,206452736,True,36,19c01c40_bnd,0x57F759A0,19c0,1c40,6592,7232,6592,7232,64,6592,7232,6656,7296
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/10402940_bnd.wtb,10402940_bnd.wtb,.wtb,terrain_bounds_wtb,31491,113514496,True,36,10402940_bnd,0xFE363B7A,1040,2940,4160,10560,4160,10560,64,4160,10560,4224,10624
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0e4024c0_bnd.wtb,0e4024c0_bnd.wtb,.wtb,terrain_bounds_wtb,49975,94267392,True,36,0e4024c0_bnd,0x9CF139CC,0e40,24c0,3648,9408,3648,9408,64,3648,9408,3712,9472
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16001ac0_bnd.wtb,16001ac0_bnd.wtb,.wtb,terrain_bounds_wtb,16976,174401536,True,36,16001ac0_bnd,0x70DE1D3A,1600,1ac0,5632,6848,5632,6848,64,5632,6848,5696,6912
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/04002a00_bnd.wtb,04002a00_bnd.wtb,.wtb,terrain_bounds_wtb,12858,477184,True,36,04002a00_bnd,0x7FD1A9CB,0400,2a00,1024,10752,1024,10752,64,1024,10752,1088,10816
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0c002440_bnd.wtb,0c002440_bnd.wtb,.wtb,terrain_bounds_wtb,34932,73551872,True,36,0c002440_bnd,0xF1E03EED,0c00,2440,3072,9280,3072,9280,64,3072,9280,3136,9344
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0d4020c0_bnd.wtb,0d4020c0_bnd.wtb,.wtb,terrain_bounds_wtb,44885,83574784,True,36,0d4020c0_bnd,0xA8DB9BA6,0d40,20c0,3392,8384,3392,8384,64,3392,8384,3456,8448
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/064029c0_bnd.wtb,064029c0_bnd.wtb,.wtb,terrain_bounds_wtb,51504,16963584,True,36,064029c0_bnd,0xAC4C9D5A,0640,29c0,1600,10688,1600,10688,64,1600,10688,1664,10752
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/14c02400_bnd.wtb,14c02400_bnd.wtb,.wtb,terrain_bounds_wtb,22429,161116160,True,36,14c02400_bnd,0x2C3AC7D0,14c0,2400,5312,9216,5312,9216,64,5312,9216,5376,9280
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/070029c0_bnd.wtb,070029c0_bnd.wtb,.wtb,terrain_bounds_wtb,71673,26433536,True,36,070029c0_bnd,0x810F7648,0700,29c0,1792,10688,1792,10688,64,1792,10688,1856,10752
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16c01e40_bnd.wtb,16c01e40_bnd.wtb,.wtb,terrain_bounds_wtb,25440,184356864,True,36,16c01e40_bnd,0x3B3C0B99,16c0,1e40,5824,7744,5824,7744,64,5824,7744,5888,7808
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/16402980_bnd.wtb,16402980_bnd.wtb,.wtb,terrain_bounds_wtb,6012,180848640,True,36,16402980_bnd,0x4E48966E,1640,2980,5696,10624,5696,10624,64,5696,10624,5760,10688
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/1a402000_bnd.wtb,1a402000_bnd.wtb,.wtb,terrain_bounds_wtb,4443,208893952,True,36,1a402000_bnd,0x86141033,1a40,2000,6720,8192,6720,8192,64,6720,8192,6784,8256
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/08002600_bnd.wtb,08002600_bnd.wtb,.wtb,terrain_bounds_wtb,46542,35825664,True,36,08002600_bnd,0x305E9021,0800,2600,2048,9728,2048,9728,64,2048,9728,2112,9792
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/05002680_bnd.wtb,05002680_bnd.wtb,.wtb,terrain_bounds_wtb,69631,3805184,True,36,05002680_bnd,0x0DBBFDE5,0500,2680,1280,9856,1280,9856,64,1280,9856,1344,9920
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/17802200_bnd.wtb,17802200_bnd.wtb,.wtb,terrain_bounds_wtb,70294,191195136,True,36,17802200_bnd,0xA850EE79,1780,2200,6016,8704,6016,8704,64,6016,8704,6080,8768
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11002140_bnd.wtb,11002140_bnd.wtb,.wtb,terrain_bounds_wtb,13613,119304192,True,36,11002140_bnd,0xA472E309,1100,2140,4352,8512,4352,8512,64,4352,8512,4416,8576
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/11802a00_bnd.wtb,11802a00_bnd.wtb,.wtb,terrain_bounds_wtb,25758,125028352,True,36,11802a00_bnd,0xDB306A8E,1180,2a00,4480,10752,4480,10752,64,4480,10752,4544,10816
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0ec02040_bnd.wtb,0ec02040_bnd.wtb,.wtb,terrain_bounds_wtb,75615,98738176,True,36,0ec02040_bnd,0xBF9F517B,0ec0,2040,3776,8256,3776,8256,64,3776,8256,3840,8320
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/08802b40_bnd.wtb,08802b40_bnd.wtb,.wtb,terrain_bounds_wtb,83211,41783296,True,36,08802b40_bnd,0x26CCD37A,0880,2b40,2176,11072,2176,11072,64,2176,11072,2240,11136
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0bc02180_bnd.wtb,0bc02180_bnd.wtb,.wtb,terrain_bounds_wtb,70954,71071744,True,36,0bc02180_bnd,0xBB602A97,0bc0,2180,3008,8576,3008,8576,64,3008,8576,3072,8640
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0c802500_bnd.wtb,0c802500_bnd.wtb,.wtb,terrain_bounds_wtb,71568,77549568,True,36,0c802500_bnd,0x5408232B,0c80,2500,3200,9472,3200,9472,64,3200,9472,3264,9536
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0b402100_bnd.wtb,0b402100_bnd.wtb,.wtb,terrain_bounds_wtb,21236,66547712,True,36,0b402100_bnd,0x5B288F5E,0b40,2100,2880,8448,2880,8448,64,2880,8448,2944,8512
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/0c4021c0_bnd.wtb,0c4021c0_bnd.wtb,.wtb,terrain_bounds_wtb,18549,74950656,True,36,0c4021c0_bnd,0x2B148AB3,0c40,21c0,3136,8640,3136,8640,64,3136,8640,3200,8704
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/194025c0_bnd.wtb,194025c0_bnd.wtb,.wtb,terrain_bounds_wtb,10445,204609536,True,36,194025c0_bnd,0x242FCD3B,1940,25c0,6464,9664,6464,9664,64,6464,9664,6528,9728
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/17801d80_bnd.wtb,17801d80_bnd.wtb,.wtb,terrain_bounds_wtb,55387,190638080,True,36,17801d80_bnd,0x1AC1AFA4,1780,1d80,6016,7552,6016,7552,64,6016,7552,6080,7616
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/19002300_bnd.wtb,19002300_bnd.wtb,.wtb,terrain_bounds_wtb,8707,203071488,True,36,19002300_bnd,0x13BC1B3C,1900,2300,6400,8960,6400,8960,64,6400,8960,6464,9024
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/120021c0_bnd.wtb,120021c0_bnd.wtb,.wtb,terrain_bounds_wtb,7812,127782912,True,36,120021c0_bnd,0x121BB9F4,1200,21c0,4608,8640,4608,8640,64,4608,8640,4672,8704
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/04802680_bnd.wtb,04802680_bnd.wtb,.wtb,terrain_bounds_wtb,3193,1376256,True,36,04802680_bnd,0xBD97BF96,0480,2680,1152,9856,1152,9856,64,1152,9856,1216,9920
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15002080_bnd.wtb,15002080_bnd.wtb,.wtb,terrain_bounds_wtb,44421,163164160,True,36,15002080_bnd,0x19703D5A,1500,2080,5376,8320,5376,8320,64,5376,8320,5440,8384
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/14001fc0_bnd.wtb,14001fc0_bnd.wtb,.wtb,terrain_bounds_wtb,30751,150163456,True,36,14001fc0_bnd,0xDFE8360C,1400,1fc0,5120,8128,5120,8128,64,5120,8128,5184,8192
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/12401cc0_bnd.wtb,12401cc0_bnd.wtb,.wtb,terrain_bounds_wtb,10658,129687552,True,36,12401cc0_bnd,0x758527AD,1240,1cc0,4672,7360,4672,7360,64,4672,7360,4736,7424
terrainboundres.rpf,D:\Games\Red Dead Redemption\game\terrainboundres.rpf,root/terrainboundres/territory_swall_noid/15001d40_bnd.wtb,15001d40_bnd.wtb,.wtb,terrain_bounds_wtb,14664,162609152,True,36,15001d40_bnd,0xCD277DE9,1500,1d40,5376,7488,5376,7488,64,5376,7488,5440,7552
