sector_offset,sector_offset_hex,sector_name,sector_scope,bound_min,bound_max,flags,resident_status,district,ref_count,props_offset,props_count,props_ptr_hex,doors_attributes_offset,doors_attributes_count,doors_attributes_ptr_hex,children_offset,children_count,children_ptr_hex,child_ptrs_offset,child_ptrs_count,child_ptrs_ptr_hex,drawable_instances_offset,drawable_instances_count,drawable_instances_ptr_hex,drawable_instances2_offset,drawable_instances2_count,drawable_instances2_ptr_hex,occluders_offset,occluders_count,occluders_ptr_hex,locators_offset,locators_count,locators_ptr_hex,wsi_source
1509440,0x00170840,blk_generalBuilding01props01x,blackwater,"[739.4375, 78.303383, 1283.282959, 12.02529]","[759.981201, 85.811363, 1293.283813, 3.75399]",0x00000007,85,0,205,1317984,19,0x50141C60,2462028,0,0x5025914C,,0,,,0,,1347584,4,0x50149000,1295488,8,0x5013C480,,0,,,8048,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1509920,0x00170A20,blk_freightstation01Props01x,blackwater,"[666.748291, 78.031883, 1324.607788, 12.133149]","[683.159058, 83.07753, 1341.756592, 2.522823]",0x00000007,85,0,205,1392640,17,0x50154000,2462532,0,0x50259344,,0,,,0,,1145088,8,0x50117900,1110016,17,0x5010F000,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1510400,0x00170C00,blk_sidewalk07Props01x,blackwater,"[658.74823, 77.77784, 1277.035278, 60.178074]","[690.978699, 87.305824, 1392.603516, 4.763992]",0x00000005,85,0,205,991088,3,0x500F1F70,2462396,0,0x502592BC,,0,,,0,,1175552,10,0x5011F000,1122304,17,0x50112000,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1510880,0x00170DE0,blk_swTheater_west01x,blackwater,"[690.685181, 77.999565, 1322.363037, 20.556759]","[730.490234, 78.494865, 1332.640869, 0.24765]",0x00000005,85,0,205,,0,,2462076,0,0x5025917C,,0,,,0,,1613568,1,0x50189F00,1685472,2,0x5019B7E0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1511424,0x00171000,blk_doctorsOffice01x,blackwater,"[717.034424, 78.172905, 1360.419189, 7.682397]","[728.063477, 85.478989, 1368.233154, 3.653042]",0x00000007,85,0,205,,0,,2462072,0,0x50259178,,0,,,0,,1580800,1,0x50181F00,1386176,6,0x501526C0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1511904,0x001711E0,blk_cemetary01x,blackwater,"[462.340149, 88.913872, 1177.345703, 66.796242]","[585.062866, 101.108315, 1228.701172, 6.097221]",0x00000007,85,0,205,1718576,3,0x501A3930,1850748,15,0x501C3D7C,,0,,,0,,1690016,1,0x5019C9A0,1489200,4,0x5016B930,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1512384,0x001713C0,blk_cityHall01Props01x,blackwater,"[715.291992, 79.525322, 1178.548706, 26.101572]","[758.549194, 87.275139, 1206.725342, 3.874908]",0x00000005,85,0,205,833440,44,0x500CB7A0,1852232,15,0x501C4348,,0,,,0,,1625856,1,0x5018CF00,1677568,2,0x50199900,,0,,,42880,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1513344,0x00171780,blk_generalBuilding16x,blackwater,"[710.092407, 78.187576, 1261.1427, 11.158936]","[728.366333, 86.81279, 1270.616699, 4.312607]",0x00000007,85,0,205,,0,,2462512,0,0x50259330,,0,,,0,,1690912,1,0x5019CD20,1421312,5,0x5015B000,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1513824,0x00171960,blk_swCityHall_west01x,blackwater,"[761.828857, 78.223953, 1178.48999, 34.418121]","[783.38623, 78.547562, 1243.862793, 0.161804]",0x00000007,85,0,205,,0,,2462196,0,0x502591F4,,0,,,0,,1699840,1,0x5019F000,1676416,2,0x50199480,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1514304,0x00171B40,blk_residence10Props01x,blackwater,"[687.895935, 93.796669, 1479.585327, 38.956295]","[748.787598, 108.282944, 1525.982788, 7.243137]",0x00000007,85,0,205,1128800,35,0x50113960,2462268,0,0x5025923C,,0,,,0,,360448,76,0x50058000,196608,153,0x50030000,,0,,,35072,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1514784,0x00171D20,blk_barberShop01x,blackwater,"[710.232056, 78.278839, 1352.401733, 11.228408]","[728.720337, 87.510468, 1361.192017, 4.395142]",0x00000007,85,0,205,,0,,2462056,0,0x50259168,,0,,,0,,1689120,1,0x5019C620,1236416,4,0x5012DDC0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1515520,0x00172000,blk_barberShop01Props01x,blackwater,"[710.53894, 78.278877, 1352.778687, 10.284395]","[728.201965, 84.974609, 1360.918701, 3.347866]",0x00000007,85,0,205,1393456,17,0x50154330,2462576,0,0x50259370,,0,,,0,,1641984,2,0x50190E00,1651120,3,0x501931B0,,0,,,44800,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1516480,0x001723C0,blk_swBlacksmith_east01x,blackwater,"[658.160034, 78.13929, 1355.692627, 12.536328]","[682.803345, 78.604073, 1360.289307, 0.232391]",0x00000007,85,0,205,,0,,2462704,0,0x502593F0,,0,,,0,,1689568,1,0x5019C7E0,1681376,2,0x5019A7E0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1516960,0x001725A0,blk_bank_int_shade_01x,blackwater,"[676.478149, 79.714661, 1226.26123, 12.375476]","[693.113281, 86.263245, 1243.378418, 3.274292]",0x00000001,85,0,205,,0,,2462632,0,0x502593A8,,0,,,0,,1670912,1,0x50197F00,,0,,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1517440,0x00172780,blk_tailor_int_01x,blackwater,"[765.8302, 78.615211, 1289.899048, 7.692012]","[778.779907, 83.51841, 1296.602173, 2.451599]",0x00000007,2147483733,0,205,,0,,2462048,0,0x50259160,,0,,,0,,1638848,2,0x501901C0,1487472,4,0x5016B270,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1517920,0x00172960,blk_cityHall01x,blackwater,"[714.524292, 78.39814, 1178.14209, 30.00445]","[759.364929, 100.919472, 1211.053711, 11.260666]",0x00000007,85,0,205,1875232,1,0x501C9D20,2462204,0,0x502591FC,,0,,,0,,1707072,1,0x501A0C40,1382080,6,0x501516C0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1518400,0x00172B40,blk_gunshop01x,blackwater,"[768.785156, 78.245781, 1314.379395, 7.539824]","[780.609619, 84.311943, 1321.505371, 3.033081]",0x00000007,85,0,205,,0,,2462148,0,0x502591C4,,0,,,0,,1692544,1,0x5019D380,1373888,6,0x5014F6C0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1518880,0x00172D20,blk_docks01x,blackwater,"[792.936523, 71.107872, 1223.7052, 42.196007]","[860.775757, 85.029564, 1271.934204, 6.960846]",0x00000007,85,0,205,,0,,2462044,0,0x5025915C,,0,,,0,,1694784,1,0x5019DC40,1440576,5,0x5015FB40,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1520096,0x001731E0,blk_generalBuilding19Props01x,blackwater,"[693.859436, 71.750381, 1303.422241, 9.259556]","[704.613464, 84.993935, 1310.627563, 3.602661]",0x0000000D,85,0,205,1465632,14,0x50165D20,2462368,0,0x502592A0,,0,,,0,,1636160,2,0x5018F740,1359296,4,0x5014BDC0,,0,,,56992,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1520576,0x001733C0,blk_swCityHall_east01x,blackwater,"[695.632935, 78.220062, 1174.356201, 35.184238]","[765.877075, 78.54184, 1178.525146, 0.160889]",0x00000005,85,0,205,,0,,2462660,0,0x502593C4,,0,,,0,,1685984,1,0x5019B9E0,1681088,2,0x5019A6C0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1521056,0x001735A0,blk_feedStore01x,blackwater,"[765.26123, 78.231216, 1321.376953, 9.571877]","[779.514038, 85.366806, 1331.97998, 3.567795]",0x00000007,85,0,205,,0,,2462004,0,0x50259134,,0,,,0,,1634048,1,0x5018EF00,1305888,5,0x5013ED20,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1522496,0x00173B40,blk_swCityHall_south01x,blackwater,"[699.37207, 78.229263, 1178.230957, 54.60931]","[783.372925, 78.687759, 1248.033203, 0.229248]",0x00000007,85,0,205,,0,,2462080,0,0x50259180,,0,,,0,,1686656,1,0x5019BC80,1682816,2,0x5019AD80,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1522976,0x00173D20,blk_swCafe_east01x,blackwater,"[740.938477, 78.152588, 1340.582275, 21.476728]","[782.581909, 78.530945, 1351.102783, 0.189178]",0x00000007,85,0,205,,0,,2462644,0,0x502593B4,,0,,,0,,1700960,1,0x5019F460,1680224,2,0x5019A360,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1523712,0x00174000,blk_tailor01x,blackwater,"[764.875916, 78.305847, 1289.256836, 10.262885]","[782.309814, 85.845673, 1297.036133, 3.769913]",0x00000007,85,0,205,,0,,2462652,0,0x502593BC,,0,,,0,,1687104,1,0x5019BE40,1362512,6,0x5014CA50,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1524192,0x001741E0,blk_swCafe_south01x,blackwater,"[765.085022, 78.225266, 1351.097168, 15.420196]","[782.628723, 80.834579, 1376.326904, 1.304657]",0x00000007,85,0,205,,0,,2461996,0,0x5025912C,,0,,,0,,1686208,1,0x5019BAC0,1681952,2,0x5019AA20,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1524672,0x001743C0,blk_gazebo01x,blackwater,"[730.476501, 78.328674, 1216.720825, 9.621323]","[743.367126, 84.48999, 1229.610718, 3.080658]",0x00000007,85,0,205,,0,,2462220,0,0x5025920C,,0,,,0,,1702304,1,0x5019F9A0,1370656,6,0x5014EA20,,0,,,40672,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1525152,0x001745A0,blk_theatre01Props01x,blackwater,"[692.337646, 78.231506, 1279.342407, 21.187424]","[727.389832, 87.513031, 1301.270142, 4.640762]",0x00000007,85,0,205,1096096,34,0x5010B9A0,1851228,15,0x501C3F5C,,0,,,0,,1149184,8,0x50118900,1150976,16,0x50119000,,0,,,13872,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1526592,0x00174B40,blackwater07,blackwater,"[654.939514, 67.192169, 1392.49292, 111.461586]","[827.678223, 112.320183, 1525.982788, 22.564007]",0x00000008,85,0,205,,0,,2462712,0,0x502593F8,,0,,1788656,18,0x501B4AF0,,0,,,0,,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1527072,0x00174D20,blk_cityHall_int_shade_01x,blackwater,"[715.356323, 80.554031, 1178.630615, 21.921469]","[749.556519, 87.290054, 1205.223389, 3.368011]",0x00000001,2147483733,0,205,,0,,2462668,0,0x502593CC,,0,,,0,,1686432,1,0x5019BBA0,,0,,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1527808,0x00175000,blk_generalBuilding06x,blackwater,"[663.396118, 78.326111, 1359.035889, 11.488818]","[682.630737, 87.056351, 1368.079346, 4.36512]",0x00000007,85,0,205,,0,,2462672,0,0x502593D0,,0,,,0,,1688896,1,0x5019C540,1452864,5,0x50162B40,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1528288,0x001751E0,blk_slumHouse01Props01x,blackwater,"[723.817749, 78.446716, 1404.910156, 13.658932]","[744.690979, 82.496964, 1422.061523, 2.025124]",0x00000007,85,0,205,1190048,39,0x501228A0,2462236,0,0x5025921C,,0,,,0,,1161472,8,0x5011B900,1118208,17,0x50111000,,0,,,41680,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1528768,0x001753C0,blk_trainstation_int_Props01x,blackwater,"[658.017578, 78.747559, 1306.561523, 7.481811]","[667.755615, 83.663933, 1316.804077, 2.458187]",0x00000007,85,0,205,1279248,27,0x50138510,1852172,15,0x501C430C,,0,,,0,,1101824,11,0x5010D000,1159168,16,0x5011B000,,0,,,5600,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1529248,0x001755A0,blk_residence10x,blackwater,"[714.476318, 96.692482, 1491.193604, 15.405036]","[735.465088, 112.320183, 1507.457275, 7.81385]",0x00000007,85,0,205,,0,,2462172,0,0x502591DC,,0,,,0,,1703424,1,0x5019FE00,1390272,6,0x501536C0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1529728,0x00175780,blk_laundry01Props01x,blackwater,"[769.298523, 78.427132, 1297.089233, 6.32499]","[779.950195, 81.247551, 1303.302856, 1.41021]",0x00000005,85,0,205,1495040,12,0x5016D000,2462360,0,0x50259298,,0,,,0,,1691872,1,0x5019D0E0,1679648,2,0x5019A120,,0,,,24432,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1530208,0x00175960,blk_generalStore_int_shade_01x,blackwater,"[744.738403, 78.868164, 1321.024902, 8.62448]","[759.373169, 85.143158, 1327.65625, 3.137497]",0x00000001,2147483733,0,205,,0,,2462124,0,0x502591AC,,0,,,0,,1691648,1,0x5019D000,,0,,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1531168,0x00175D20,blk_inn01x,blackwater,"[709.062012, 78.296707, 1342.143066, 12.148723]","[728.852539, 87.554764, 1352.772705, 4.629028]",0x00000007,85,0,205,,0,,2462616,0,0x50259398,,0,,,0,,1687776,1,0x5019C0E0,1336304,7,0x501463F0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1531904,0x00176000,blk_barn01Props01x,blackwater,"[549.269958, 84.265991, 1306.835449, 30.996658]","[597.926147, 91.418793, 1344.579102, 3.576401]",0x00000007,85,0,205,472640,52,0x50073640,2462152,0,0x502591C8,,0,,,0,,1052672,12,0x50101000,1220608,14,0x5012A000,,0,,,6208,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1532384,0x001761E0,blk_residence01Props01x,blackwater,"[587.961426, 81.734726, 1360.669312, 19.825434]","[611.10791, 88.78479, 1392.081543, 3.525032]",0x00000007,85,0,205,1089536,53,0x5010A000,1851692,15,0x501C412C,,0,,,0,,1273856,6,0x50137000,1214480,14,0x50128810,,0,,,32768,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1532864,0x001763C0,blk_generalBuilding01x,blackwater,"[742.124634, 78.242142, 1282.575928, 13.572463]","[765.577271, 88.674667, 1291.406738, 4.415405]",0x00000007,85,0,205,,0,,2462600,0,0x50259388,,0,,,0,,1701184,1,0x5019F540,1372160,6,0x5014F000,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1533344,0x001765A0,blk_generalBuilding16Props01x,blackwater,"[711.367676, 70.388245, 1255.436646, 16.606632]","[731.431519, 85.198425, 1277.373413, 7.40509]",0x00000007,85,0,205,1292544,24,0x5013B900,2462008,0,0x50259138,,0,,,0,,1028096,17,0x500FB000,909312,35,0x500DE000,,0,,,20224,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1533824,0x00176780,blk_waterTower01x,blackwater,"[653.010376, 77.82737, 1275.9552, 6.107471]","[659.448608, 86.433815, 1281.758911, 2.901855]",0x00000007,85,0,205,,0,,2462624,0,0x502593A0,,0,,,0,,1688448,1,0x5019C380,1650048,3,0x50192D80,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1534304,0x00176960,blk_sidewalk02Props01x,blackwater,"[689.448364, 77.884743, 1340.074585, 33.247406]","[740.586365, 87.448822, 1381.487061, 4.78204]",0x00000005,85,0,205,1679360,6,0x5019A000,2462440,0,0x502592E8,,0,,,0,,1056768,12,0x50102000,1024000,28,0x500FA000,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1534784,0x00176B40,blk_residence06Props01x,blackwater,"[765.233826, 67.192169, 1436.862671, 31.587349]","[804.63446, 100.779228, 1473.064087, 16.79353]",0x00000007,85,0,205,1345360,19,0x50148750,2462224,0,0x50259210,,0,,,0,,250832,50,0x5003D3D0,425984,100,0x50068000,,0,,,33536,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1535264,0x00176D20,blk_swBlacksmith_south01x,blackwater,"[678.80957, 78.079575, 1359.891113, 20.277643]","[683.003662, 78.518112, 1400.226562, 0.219269]",0x00000007,85,0,205,,0,,2462692,0,0x502593E4,,0,,,0,,1617664,1,0x5018AF00,1674368,2,0x50198C80,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1536000,0x00177000,blk_generalStore_int_Props01x,blackwater,"[744.760681, 78.644058, 1320.784668, 8.349561]","[758.363831, 87.406609, 1324.911743, 2.063538]",0x00000007,85,0,205,584384,113,0x5008EAC0,2461988,0,0x50259124,,0,,,0,,665008,30,0x500A25B0,770048,58,0x500BC000,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1536480,0x001771E0,blk_cafe01x,blackwater,"[763.999023, 78.221298, 1344.4021, 10.361636]","[778.859802, 86.803055, 1356.019531, 4.290878]",0x00000007,85,0,205,,0,,2462528,0,0x50259340,,0,,,0,,1621760,1,0x5018BF00,1332208,7,0x501453F0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1536960,0x001773C0,blk_residence08x,blackwater,"[555.042542, 86.871628, 1244.993652, 15.024369]","[573.759705, 99.994553, 1264.49707, 6.561462]",0x00000007,85,0,205,,0,,2462108,0,0x5025919C,,0,,,0,,1700512,1,0x5019F2A0,1365696,6,0x5014D6C0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1537440,0x001775A0,blk_slumHouse01x,blackwater,"[728.235535, 78.205429, 1406.188599, 10.124011]","[741.546753, 84.865402, 1419.915894, 3.329987]",0x00000007,85,0,205,,0,,2462100,0,0x50259194,,0,,,0,,1689344,1,0x5019C700,1441792,5,0x50160000,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1537920,0x00177780,blk_generalBuilding14Props01x,blackwater,"[710.341736, 70.796608, 1302.303467, 11.605325]","[726.648254, 85.544144, 1309.742676, 3.719604]",0x0000000F,85,0,205,1484016,13,0x5016A4F0,2462412,0,0x502592CC,,0,,,0,,1391952,3,0x50153D50,1378848,6,0x50150A20,,0,,,6272,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1538400,0x00177960,blk_residence09Props01x,blackwater,"[553.042664, 78.108856, 1261.167603, 49.325642]","[642.005005, 97.813622, 1298.976318, 9.852383]",0x00000005,85,0,205,1330160,21,0x50144BF0,1851812,15,0x501C41A4,,0,,,0,,507904,57,0x5007C000,393216,114,0x50060000,,0,,,48768,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1538880,0x00177B40,blk_residence03x,blackwater,"[618.364868, 78.431717, 1364.307251, 12.769177]","[635.020386, 85.853348, 1382.187988, 3.710815]",0x00000007,85,0,205,,0,,2462344,0,0x50259288,,0,,,0,,1685760,1,0x5019B900,1309984,5,0x5013FD20,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1540096,0x00178000,blk_swInn_south01x,blackwater,"[694.746826, 78.111206, 1344.609863, 29.793772]","[730.903564, 81.391022, 1391.860352, 1.639908]",0x00000007,85,0,205,,0,,2462068,0,0x50259174,,0,,,0,,1703200,1,0x5019FD20,1684608,2,0x5019B480,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1540576,0x001781E0,blk_generalStore01Props01x,blackwater,"[743.532349, 78.290794, 1319.447998, 11.86601]","[759.832031, 86.071381, 1334.842529, 3.890293]",0x00000005,85,0,205,1043552,19,0x500FEC60,1851108,15,0x501C3EE4,,0,,,0,,1467040,3,0x501662A0,1335296,7,0x50146000,,0,,,64704,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1541056,0x001783C0,blk_policeStation_int_shades01x,blackwater,"[761.163208, 84.632339, 1226.302002, 11.993584]","[777.76062, 87.239059, 1243.422607, 1.30336]",0x00000001,2147483733,0,205,,0,,2462212,0,0x50259204,,0,,,0,,1700064,1,0x5019F0E0,,0,,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1541536,0x001785A0,blk_bank_int_01x,blackwater,"[676.461121, 79.210739, 1225.929688, 13.009127]","[693.494934, 87.575287, 1243.729492, 4.182274]",0x00000007,85,0,205,1901360,1,0x501D0330,1850988,15,0x501C3E6C,,0,,,0,,1351680,4,0x5014A000,1439136,5,0x5015F5A0,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1542496,0x00178960,blk_residence07Props01x,blackwater,"[575.209839, 78.086418, 1196.126953, 48.038319]","[643.820679, 96.833603, 1260.716553, 9.373592]",0x00000007,85,0,205,1246912,36,0x501306C0,2462088,0,0x50259188,,0,,,0,,262144,94,0x50040000,102720,190,0x50019140,,0,,,4096,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1542976,0x00178B40,blk_alleyClotheslines01x,blackwater,"[756.5625, 70.745377, 1283.156006, 22.726511]","[765.629272, 83.88665, 1325.712769, 4.533386]",0x00000008,85,0,205,1684896,6,0x5019B5A0,2462060,0,0x5025916C,,0,,,0,,1702752,1,0x5019FB60,,0,,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1543456,0x00178D20,blk_church_int_Props01x,blackwater,"[551.117859, 94.550888, 1186.66394, 9.27977]","[562.526672, 100.470535, 1200.05249, 2.959824]",0x00000007,85,0,205,1676992,6,0x501996C0,2462252,0,0x5025922C,,0,,,0,,1210400,9,0x50127820,1146880,16,0x50118000,,0,,,30256,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
1544192,0x00179000,blackwater08,blackwater,"[462.340149, 78.086418, 1177.345703, 103.855064]","[643.820679, 114.14402, 1271.72876, 18.028801]",0x00000008,85,0,205,,0,,2462356,0,0x50259294,,0,,1931952,10,0x501D7AB0,,0,,,0,,,0,,,0,,/mnt/data/codered_run/blackwater_type134/0224_0x19839F99.wsi.decoded
