archive,bundle_key,wft,wfd,wedt,file_count
fragments2.rpf,zombie_gore_bruiserprisoner_01,root/fragments/zombie_gore_bruiserprisoner_01.wft,root/fragments/zombie_gore_bruiserprisoner_01_hilod.wfd,root/fragments/zombie_gore_bruiserprisoner_01.wedt,4
fragments2.rpf,zombie_caucasianmaleold_01_set_zombie_caucasianmaleold_01_hat,root/fragments/zombie_caucasianmaleold_01_set_zombie_caucasianmaleold_01_hat.wft,,,1
fragments2.rpf,zombie_hispanicmaleposse_01_set_zombie_caucasianmaleold_01_hat,root/fragments/zombie_hispanicmaleposse_01_set_zombie_caucasianmaleold_01_hat.wft,,,1
fragments2.rpf,zombie_gore_bruiserbandito_01,root/fragments/zombie_gore_bruiserbandito_01.wft,root/fragments/zombie_gore_bruiserbandito_01_medlod.wfd,root/fragments/zombie_gore_bruiserbandito_01.wedt,4
fragments2.rpf,zombie_gore_hmaleposse_01,root/fragments/zombie_gore_hmaleposse_01.wft,root/fragments/zombie_gore_hmaleposse_01_hilod.wfd,root/fragments/zombie_gore_hmaleposse_01.wedt,4
fragments2.rpf,zombie_gore_cmalefat_01,root/fragments/zombie_gore_cmalefat_01.wft,root/fragments/zombie_gore_cmalefat_01_medlod.wfd,root/fragments/zombie_gore_cmalefat_01.wedt,4
fragments2.rpf,zombie_gore_toxicfemaleprostitute_01,root/fragments/zombie_gore_toxicfemaleprostitute_01.wft,root/fragments/zombie_gore_toxicfemaleprostitute_01_medlod.wfd,root/fragments/zombie_gore_toxicfemaleprostitute_01.wedt,4
fragments2.rpf,zombie_toxicdrunk_n_dirty_01,root/fragments/zombie_toxicdrunk_n_dirty_01.wft,root/fragments/zombie_toxicdrunk_n_dirty_01_medlod.wfd,root/fragments/zombie_toxicdrunk_n_dirty_01.wedt,4
fragments2.rpf,zombie_gore_txfeprostitute_02,root/fragments/zombie_gore_txfeprostitute_02.wft,root/fragments/zombie_gore_txfeprostitute_02_medlod.wfd,root/fragments/zombie_gore_txfeprostitute_02.wedt,4
fragments2.rpf,zombie_toxicfemaleprostitute_01,root/fragments/zombie_toxicfemaleprostitute_01.wft,root/fragments/zombie_toxicfemaleprostitute_01_medlod.wfd,root/fragments/zombie_toxicfemaleprostitute_01.wedt,4
fragments2.rpf,zombie_gore_bruiserprostitute_01,root/fragments/zombie_gore_bruiserprostitute_01.wft,root/fragments/zombie_gore_bruiserprostitute_01_hilod.wfd,root/fragments/zombie_gore_bruiserprostitute_01.wedt,4
fragments2.rpf,zombie_hispanicfemaleprostitute_01,root/fragments/zombie_hispanicfemaleprostitute_01.wft,root/fragments/zombie_hispanicfemaleprostitute_01_hilod.wfd,root/fragments/zombie_hispanicfemaleprostitute_01.wedt,4
fragments2.rpf,zombie_gore_toxicrancher_01,root/fragments/zombie_gore_toxicrancher_01.wft,root/fragments/zombie_gore_toxicrancher_01_medlod.wfd,root/fragments/zombie_gore_toxicrancher_01.wedt,4
fragments2.rpf,zombie_caucasianmaleold_01,,root/fragments/zombie_caucasianmaleold_01_hilod.wfd,,2
fragments2.rpf,zombie_gore_abnashsamra,root/fragments/zombie_gore_abnashsamra.wft,root/fragments/zombie_gore_abnashsamra_medlod.wfd,root/fragments/zombie_gore_abnashsamra.wedt,4
fragments2.rpf,zombie_gore_cgunslinger_01_set_com_famousgunslinger_01_hat,root/fragments/zombie_gore_cgunslinger_01_set_com_famousgunslinger_01_hat.wft,,,1
fragments2.rpf,zombie_mexicanrebel_01,root/fragments/zombie_mexicanrebel_01.wft,root/fragments/zombie_mexicanrebel_01_medlod.wfd,root/fragments/zombie_mexicanrebel_01.wedt,4
fragments2.rpf,zombie_gore_fastdrunk_n_dirty_01,root/fragments/zombie_gore_fastdrunk_n_dirty_01.wft,root/fragments/zombie_gore_fastdrunk_n_dirty_01_hilod.wfd,root/fragments/zombie_gore_fastdrunk_n_dirty_01.wedt,4
fragments2.rpf,zombie_fastmexicanrebel_01,root/fragments/zombie_fastmexicanrebel_01.wft,root/fragments/zombie_fastmexicanrebel_01_medlod.wfd,root/fragments/zombie_fastmexicanrebel_01.wedt,4
fragments2.rpf,zombie_gore_cgunslinger_01,root/fragments/zombie_gore_cgunslinger_01.wft,root/fragments/zombie_gore_cgunslinger_01_hilod.wfd,root/fragments/zombie_gore_cgunslinger_01.wedt,4
fragments2.rpf,zombie_gore_cmaleold_01_set_zombie_caucasianmaleold_01_hat,root/fragments/zombie_gore_cmaleold_01_set_zombie_caucasianmaleold_01_hat.wft,,,1
fragments2.rpf,zombie_gore_cfemaleprostitute_01,root/fragments/zombie_gore_cfemaleprostitute_01.wft,root/fragments/zombie_gore_cfemaleprostitute_01_hilod.wfd,root/fragments/zombie_gore_cfemaleprostitute_01.wedt,4
fragments2.rpf,zombie_gore_ccattlerustlers_01_set_gan_cattlerustlers_e_02_hat,root/fragments/zombie_gore_ccattlerustlers_01_set_gan_cattlerustlers_e_02_hat.wft,,,1
fragments2.rpf,zombie_gore_bruisermaleold_01,root/fragments/zombie_gore_bruisermaleold_01.wft,root/fragments/zombie_gore_bruisermaleold_01_medlod.wfd,root/fragments/zombie_gore_bruisermaleold_01.wedt,4
fragments2.rpf,zombie_gore_mexicanrebel_01,root/fragments/zombie_gore_mexicanrebel_01.wft,root/fragments/zombie_gore_mexicanrebel_01_medlod.wfd,root/fragments/zombie_gore_mexicanrebel_01.wedt,4
fragments2.rpf,zombie_gore_hfemaleprostitute_01,root/fragments/zombie_gore_hfemaleprostitute_01.wft,root/fragments/zombie_gore_hfemaleprostitute_01_hilod.wfd,root/fragments/zombie_gore_hfemaleprostitute_01.wedt,4
fragments2.rpf,zombie_hispanicmaleposse_01,root/fragments/zombie_hispanicmaleposse_01.wft,root/fragments/zombie_hispanicmaleposse_01_medlod.wfd,root/fragments/zombie_hispanicmaleposse_01.wedt,4
fragments2.rpf,zombie_toxicrancher_01,root/fragments/zombie_toxicrancher_01.wft,root/fragments/zombie_toxicrancher_01_medlod.wfd,root/fragments/zombie_toxicrancher_01.wedt,4
fragments2.rpf,zombie_gore_bruiserfat_01,root/fragments/zombie_gore_bruiserfat_01.wft,root/fragments/zombie_gore_bruiserfat_01_medlod.wfd,root/fragments/zombie_gore_bruiserfat_01.wedt,4
fragments2.rpf,zombie_gore_toxicdrunk_n_dirty_01,root/fragments/zombie_gore_toxicdrunk_n_dirty_01.wft,root/fragments/zombie_gore_toxicdrunk_n_dirty_01_medlod.wfd,root/fragments/zombie_gore_toxicdrunk_n_dirty_01.wedt,4
fragments2.rpf,zombie_gore_hmaleposse_01_set_zombie_caucasianmaleold_01_hat,root/fragments/zombie_gore_hmaleposse_01_set_zombie_caucasianmaleold_01_hat.wft,,,1
