comp_id,offset_hex,ptr_hex,script_name,gringo_name,query_name,child_count,instanced_count,activation_radius,instance_slot_count,critical,large_script,maintain_state,vehicleish,parent_chain
86,0x4B564,0x5004B564,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
93,0x4D360,0x5004D360,content\scripting\gringo\CommonScripts\fake_liars_dice,,,1,2,0.0,2,False,False,True,False,
97,0x40BE0,0x50040BE0,content\scripting\gringo\CommonScripts\Player_Herb,,,2,7,125.0,7,False,False,True,False,
105,0x49F20,0x50049F20,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
109,0x4C488,0x5004C488,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
114,0x3D988,0x5003D988,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
120,0x4BF7C,0x5004BF7C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
129,0x3DA20,0x5003DA20,content\scripting\gringo\CommonScripts\GenericGringo,,,1,7,0.0,7,False,False,True,False,
137,0x42860,0x50042860,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
141,0x45664,0x50045664,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,False,False,True,False,
145,0x414C8,0x500414C8,content\scripting\gringo\CommonScripts\ResetAxis,,,1,7,2.5,7,True,False,True,False,
149,0x41AB8,0x50041AB8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
153,0x407B8,0x500407B8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,7,0.0,7,False,False,True,False,
163,0x3D8A4,0x5003D8A4,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
168,0x3E730,0x5003E730,content\scripting\gringo\CommonScripts\OpenGate,,,1,5,0.0,5,False,False,True,False,
173,0x48598,0x50048598,content\scripting\gringo\CommonScripts\TrainFootlocker,,,1,8,100.0,8,False,False,True,True,
178,0x3C04C,0x5003C04C,content\scripting\gringo\CommonScripts\horseHitching,,,1,3,0.0,3,False,False,True,False,
183,0x45CEC,0x50045CEC,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
187,0x3CAFC,0x5003CAFC,content\scripting\gringo\CommonScripts\Chair_weaponkill,,,1,6,0.25,6,False,False,True,False,
195,0x4A0E8,0x5004A0E8,content\scripting\gringo\CommonScripts\GenericGringo,,,5,17,0.0,17,False,False,True,False,
218,0x4C2C0,0x5004C2C0,content\scripting\gringo\CommonScripts\GenericGringo,,,2,6,0.0,6,True,False,True,False,
225,0x476C0,0x500476C0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
229,0x405F0,0x500405F0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
237,0x4C8FC,0x5004C8FC,content\scripting\gringo\CommonScripts\PlayerCar,,,1,3,200.0,3,False,False,True,True,
241,0x3D690,0x5003D690,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
247,0x3C17C,0x5003C17C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
251,0x3CE8C,0x5003CE8C,content\scripting\gringo\CommonScripts\lean_rail,,,2,12,0.0,12,False,False,True,False,
262,0x3C89C,0x5003C89C,content\scripting\gringo\CommonScripts\HorseBeacon_campfire_gringo,,,0,0,200.0,0,False,False,True,False,
263,0x48BD4,0x50048BD4,content\scripting\gringo\CommonScripts\GringoAttachMover,,,2,10,0.0,10,False,False,True,False,
272,0x45748,0x50045748,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
277,0x3D0EC,0x5003D0EC,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
284,0x3F654,0x5003F654,content\scripting\gringo\CommonScripts\Chop_Chickens,,,1,7,0.0,7,False,False,True,False,
294,0x3F81C,0x5003F81C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
299,0x4B0F0,0x5004B0F0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
303,0x48ECC,0x50048ECC,content\scripting\gringo\CommonScripts\GenericGringo,,,2,10,0.0,10,False,False,True,False,
314,0x490E0,0x500490E0,content\scripting\gringo\CommonScripts\GringoAttachMover,,,1,6,0.0,6,False,False,True,False,
321,0x4ADF8,0x5004ADF8,content\scripting\gringo\CommonScripts\Player_Treasure,,,1,6,75.0,6,False,False,True,False,
328,0x3BDEC,0x5003BDEC,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
333,0x4C43C,0x5004C43C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
338,0x4D230,0x5004D230,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
347,0x43CDC,0x50043CDC,content\scripting\gringo\CommonScripts\playerCamp03_gringo,,,1,1,200.0,1,False,False,False,False,
349,0x47DE0,0x50047DE0,content\scripting\gringo\ItemScripts\Horse_Deed,,,1,0,0.0,0,False,False,True,False,
351,0x47EC4,0x50047EC4,content\scripting\gringo\ItemScripts\Horse_Deed,,,1,0,0.0,0,False,False,True,False,
353,0x469FC,0x500469FC,content\scripting\gringo\CommonScripts\LocatorAttachEngineer,,,1,7,100.0,7,False,False,True,False,
362,0x497B4,0x500497B4,content\scripting\gringo\CommonScripts\trainCarArmored_gringo,,,0,0,200.0,0,False,False,True,True,
363,0x45D84,0x50045D84,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,True,False,True,False,
367,0x43570,0x50043570,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
371,0x49638,0x50049638,content\scripting\gringo\CommonScripts\LockpickAmbientFootlocker,,,1,3,0.0,3,False,False,True,False,
376,0x41858,0x50041858,content\scripting\gringo\CommonScripts\GenericGringo,,,2,5,0.0,5,False,False,True,False,
383,0x474F8,0x500474F8,content\scripting\gringo\ItemScripts\Moonshine,,,3,1,0.0,1,False,False,True,False,
387,0x46DD8,0x50046DD8,content\scripting\gringo\ItemScripts\Survivalist_Map,,,1,0,0.0,0,False,False,True,False,
389,0x448BC,0x500448BC,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
394,0x46E70,0x50046E70,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
398,0x3FBF8,0x5003FBF8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,True,False,True,False,
402,0x449EC,0x500449EC,content\scripting\gringo\CommonScripts\GenericGringo,,,1,8,0.0,8,False,False,True,False,
412,0x3C804,0x5003C804,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.5,4,False,False,True,False,
417,0x41560,0x50041560,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
426,0x4A510,0x5004A510,content\scripting\gringo\CommonScripts\trainCarWood_gringo,,,0,0,200.0,0,False,False,True,True,
427,0x43900,0x50043900,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,False,False,True,False,
431,0x3FA7C,0x5003FA7C,content\scripting\gringo\CommonScripts\stealth_kill,,,1,7,0.0,7,False,False,True,False,
441,0x446A8,0x500446A8,content\scripting\gringo\CommonScripts\Gun_Camp02_gringo,,,0,0,175.0,0,False,False,False,False,
442,0x43F3C,0x50043F3C,content\scripting\gringo\CommonScripts\SkinAnimal,,,1,4,1.600000023841858,4,False,False,True,False,
447,0x484B4,0x500484B4,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
451,0x42270,0x50042270,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,False,False,True,False,
455,0x495A0,0x500495A0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
464,0x4CC8C,0x5004CC8C,content\scripting\gringo\CommonScripts\Vehicle_Generator,,,2,0,200.0,0,False,False,False,True,
467,0x47038,0x50047038,content\scripting\gringo\CommonScripts\Merchant_Camp02_gringo,,,0,0,175.0,0,False,False,False,False,
468,0x45F00,0x50045F00,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
473,0x4B13C,0x5004B13C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
477,0x43868,0x50043868,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
482,0x4381C,0x5004381C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
490,0x42D6C,0x50042D6C,content\scripting\gringo\CommonScripts\Fort_Camp02_gringo,,,0,0,175.0,0,False,False,False,False,
491,0x4536C,0x5004536C,content\scripting\gringo\MultistageGringo\GenericMultistageGringo,,,1,5,200.0,5,False,False,True,False,
496,0x457E0,0x500457E0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,False,False,True,False,
500,0x434D8,0x500434D8,content\scripting\gringo\CommonScripts\Grave_Camp03_gringo,,,0,0,175.0,0,False,False,False,False,
501,0x47674,0x50047674,content\scripting\gringo\ItemScripts\Meds,,,3,1,0.0,1,False,False,True,False,
505,0x4C0AC,0x5004C0AC,content\scripting\gringo\CommonScripts\Gringo_NoCamera,,,1,5,0.0,5,False,False,True,False,
512,0x48844,0x50048844,content\scripting\gringo\ItemScripts\Explorers_Map,,,1,0,0.0,0,False,False,True,False,
514,0x41F78,0x50041F78,content\scripting\gringo\CommonScripts\MexArmy_Camp05_gringo,,,0,0,175.0,0,False,False,False,False,
515,0x4BF30,0x5004BF30,content\scripting\gringo\CommonScripts\DynamiteCrate,,,1,4,0.5,4,False,False,True,False,
520,0x3F064,0x5003F064,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
524,0x48338,0x50048338,content\scripting\gringo\ItemScripts\Explorers_Map,,,1,0,0.0,0,False,False,True,False,
526,0x40098,0x50040098,content\scripting\gringo\CommonScripts\GenericGringo,,,1,8,0.0,8,False,False,True,False,
537,0x47C18,0x50047C18,content\scripting\gringo\ItemScripts\Horse_Deed,,,1,0,0.0,0,False,False,True,False,
539,0x451A4,0x500451A4,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
543,0x48A58,0x50048A58,content\scripting\gringo\CommonScripts\LocatorAttachMover,,,1,3,100.0,3,False,False,True,False,
548,0x4D068,0x5004D068,content\scripting\gringo\CommonScripts\Campfire04_gringo,,,0,0,175.0,0,False,False,False,False,
549,0x40558,0x50040558,content\scripting\gringo\CommonScripts\GenericGringo,,,1,9,0.0,9,False,False,True,False,
561,0x45CA0,0x50045CA0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
566,0x4B8A8,0x5004B8A8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
571,0x49508,0x50049508,content\scripting\gringo\CommonScripts\Vehicle_Generator,,,2,0,200.0,0,False,False,False,True,
574,0x3CBE0,0x5003CBE0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
578,0x477A4,0x500477A4,content\scripting\gringo\ItemScripts\Horse_Pills,,,2,0,0.0,0,False,False,True,False,
581,0x4A68C,0x5004A68C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,True,False,True,False,
585,0x3C980,0x5003C980,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
589,0x41988,0x50041988,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
597,0x49210,0x50049210,content\scripting\gringo\CommonScripts\AnimalNoInterrupt,,,1,6,0.0,6,False,False,True,False,
606,0x3F0B0,0x5003F0B0,content\scripting\gringo\CommonScripts\RewardGringo,,,1,6,0.0,6,False,False,True,False,
610,0x41C34,0x50041C34,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,False,False,True,False,
614,0x3E7C8,0x5003E7C8,content\scripting\gringo\CommonScripts\Home02Son_Camp02_gringo,,,0,0,175.0,0,False,False,False,False,
615,0x47FA8,0x50047FA8,content\scripting\gringo\ItemScripts\Horse_Deed,,,1,0,0.0,0,False,False,True,False,
617,0x3F194,0x5003F194,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,False,False,True,False,
621,0x4640C,0x5004640C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
627,0x42C3C,0x50042C3C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
632,0x3BF68,0x5003BF68,content\scripting\gringo\CommonScripts\Gringo_NoCamera,,,1,5,0.0,5,False,False,True,False,
639,0x3F524,0x5003F524,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,True,False,True,False,
644,0x49A14,0x50049A14,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
652,0x48AF0,0x50048AF0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
657,0x48468,0x50048468,content\scripting\gringo\ItemScripts\Explorers_Map,,,1,0,0.0,0,False,False,True,False,
659,0x462DC,0x500462DC,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
665,0x45028,0x50045028,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
671,0x48974,0x50048974,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
679,0x3F900,0x5003F900,content\scripting\gringo\CommonScripts\Ranch_Camp02_gringo,,,0,0,175.0,0,False,False,False,False,
680,0x4D314,0x5004D314,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
689,0x3DC80,0x5003DC80,content\scripting\gringo\CommonScripts\Outlaw_Camp03_gringo,,,0,0,175.0,0,False,False,False,False,
690,0x45910,0x50045910,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
697,0x481BC,0x500481BC,content\scripting\gringo\ItemScripts\Explorers_Map,,,1,0,0.0,0,False,False,True,False,
699,0x425B4,0x500425B4,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
704,0x4AB98,0x5004AB98,content\scripting\gringo\CommonScripts\Player_ChairLook,,,1,3,10.0,3,False,False,True,False,
709,0x3CC78,0x5003CC78,content\scripting\gringo\CommonScripts\Shakehands_link,,,1,6,0.0,6,False,False,True,False,
718,0x4912C,0x5004912C,content\scripting\gringo\CommonScripts\GenericGringo,,,2,4,0.0,4,False,False,True,False,
725,0x41184,0x50041184,content\scripting\gringo\CommonScripts\handoffReverse,,,1,5,0.0,5,False,False,True,True,
733,0x3CE40,0x5003CE40,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,False,False,True,False,
737,0x4A1CC,0x5004A1CC,content\scripting\gringo\CommonScripts\Water_Bucket,,,4,10,0.0,10,True,False,True,False,
748,0x3EC3C,0x5003EC3C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
752,0x4724C,0x5004724C,content\scripting\gringo\CommonScripts\Merchant_Camp03_gringo,,,0,0,175.0,0,False,False,False,False,
753,0x4D3F8,0x5004D3F8,content\scripting\gringo\CommonScripts\MusicGringo,,,1,5,0.0,5,False,False,True,False,
759,0x4CF84,0x5004CF84,content\scripting\gringo\CommonScripts\Campfire03_gringo,,,0,0,175.0,0,False,False,False,False,
760,0x42DB8,0x50042DB8,content\scripting\gringo\CommonScripts\climb_help_Both,,,1,5,0.0,5,False,False,True,False,
767,0x3C5F0,0x5003C5F0,content\scripting\gringo\CommonScripts\Mex_BeatingDanger,,,1,6,0.0,6,False,False,True,False,
778,0x49684,0x50049684,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
783,0x4B694,0x5004B694,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
787,0x46834,0x50046834,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
792,0x43E0C,0x50043E0C,content\scripting\gringo\CommonScripts\ClockGringo,,,0,0,45.0,0,False,False,False,False,
793,0x44448,0x50044448,content\scripting\gringo\CommonScripts\Gun_Camp05_gringo,,,0,0,175.0,0,False,False,False,False,
794,0x46160,0x50046160,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
798,0x421D8,0x500421D8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
805,0x4D528,0x5004D528,content\scripting\gringo\CommonScripts\CampfireIndian_bad_gringo,,,0,0,175.0,0,False,False,True,False,
806,0x4BABC,0x5004BABC,content\scripting\gringo\CommonScripts\Gringo_NoCamera,,,1,5,0.0,5,False,False,True,False,
813,0x41D18,0x50041D18,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
819,0x45E1C,0x50045E1C,content\scripting\gringo\CommonScripts\gringo_noCamera,,,2,5,1.5,5,False,False,True,False,
826,0x4C8B0,0x5004C8B0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
830,0x4BA70,0x5004BA70,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
837,0x4C0F8,0x5004C0F8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
841,0x49898,0x50049898,content\scripting\gringo\CommonScripts\MoveBarrel,,,1,3,1.5,3,False,False,True,False,
846,0x40DA8,0x50040DA8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
851,0x460C8,0x500460C8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,7,0.0,7,False,False,True,False,
860,0x3D3E4,0x5003D3E4,content\scripting\gringo\MultistageGringo\GenericMultiStageGringo,,,1,6,50.0,6,False,False,True,False,
865,0x419D4,0x500419D4,content\scripting\gringo\CommonScripts\Rand_Idle_Sit_Ground_Player,,,1,4,10.0,4,False,False,True,False,
870,0x48890,0x50048890,content\scripting\gringo\ItemScripts\Camp,,,1,0,0.0,0,False,False,True,False,
872,0x49048,0x50049048,content\scripting\gringo\CommonScripts\SimpleAttachedGringoTwoAnimsUse,,,1,4,10.0,4,False,False,False,False,
877,0x4A3E0,0x5004A3E0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
882,0x453B8,0x500453B8,content\scripting\gringo\CommonScripts\MoveObjectGenericWanim,,,1,3,3.0,3,False,False,True,False,
887,0x3E6E4,0x5003E6E4,content\scripting\gringo\CommonScripts\Home02Son_Camp03_gringo,,,0,0,175.0,0,False,False,False,False,
888,0x4C56C,0x5004C56C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,5,0.0,5,False,False,True,False,
896,0x42B0C,0x50042B0C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,15,0.0,15,False,False,True,False,
917,0x48F18,0x50048F18,content\scripting\gringo\GringoBrains\GringoBrainScripts\Horse_Brain,,,0,0,-1.0,0,True,False,True,False,
918,0x3E698,0x5003E698,content\scripting\gringo\CommonScripts\bandito_harass,,,5,20,0.0,20,True,False,True,False,
934,0x46030,0x50046030,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,False,False,True,False,
938,0x4666C,0x5004666C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,2,0.0,2,False,False,True,False,
942,0x48384,0x50048384,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
946,0x4C3F0,0x5004C3F0,content\scripting\gringo\CommonScripts\pitch_hay,,,1,4,0.0,4,False,False,True,False,
952,0x4B39C,0x5004B39C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,10,0.0,10,False,False,True,False,
966,0x4867C,0x5004867C,content\scripting\gringo\CommonScripts\Mex_BeatingDanger,,,1,5,0.0,5,False,False,True,False,
975,0x3D8F0,0x5003D8F0,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,15.0,4,False,False,True,False,
982,0x46880,0x50046880,content\scripting\gringo\CommonScripts\Rebel_Camp03_gringo,,,0,0,175.0,0,False,False,False,False,
983,0x4595C,0x5004595C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
987,0x46F08,0x50046F08,content\scripting\gringo\GringoBrains\GringoBrainScripts\Companion_Brain,,,7,9,2147483648.0,9,True,False,True,False,
997,0x3E438,0x5003E438,content\scripting\gringo\CommonScripts\Home_Camp03_gringo,,,0,0,175.0,0,False,False,False,False,
998,0x4089C,0x5004089C,content\scripting\gringo\CommonScripts\GenericGringo,,,2,6,0.0,6,False,False,True,False,
1007,0x401C8,0x500401C8,content\scripting\gringo\CommonScripts\LassoGringo,,,1,3,0.0,3,True,False,True,False,
1011,0x40474,0x50040474,content\scripting\gringo\CommonScripts\Player_Herb,,,2,7,125.0,7,False,False,True,False,
1019,0x4076C,0x5004076C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
1026,0x43EF0,0x50043EF0,content\scripting\gringo\CommonScripts\Sliding_Gate,,,5,22,500.0,22,False,False,True,False,
1044,0x49768,0x50049768,content\scripting\gringo\CommonScripts\trainCar_gringo,,,0,0,200.0,0,False,False,True,True,
1045,0x4134C,0x5004134C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
1049,0x3E77C,0x5003E77C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
1054,0x4CF38,0x5004CF38,content\scripting\gringo\CommonScripts\Campfire02_gringo,,,0,0,175.0,0,False,False,False,False,
1055,0x4B778,0x5004B778,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
1059,0x48124,0x50048124,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
1064,0x42308,0x50042308,content\scripting\gringo\GringoBrains\GringoBrainScripts\Train_Brain,,,7,0,2147483648.0,0,True,False,True,True,
1072,0x4BC38,0x5004BC38,content\scripting\gringo\CommonScripts\Mex_BeatingDanger,,,1,6,0.0,6,False,False,True,False,
1083,0x3DF2C,0x5003DF2C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
1087,0x41E94,0x50041E94,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
1096,0x47758,0x50047758,content\scripting\gringo\CommonScripts\Merchant_Camp04_gringo,,,0,0,175.0,0,False,False,False,False,
1097,0x40390,0x50040390,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
1106,0x443FC,0x500443FC,content\scripting\gringo\CommonScripts\gun_giveaway_pistol,,,1,7,0.0,7,False,False,True,False,
1116,0x41300,0x50041300,content\scripting\gringo\CommonScripts\GetWantedPosterGround,,,1,5,0.0,5,False,False,True,False,
1122,0x4A640,0x5004A640,content\scripting\gringo\CommonScripts\GenericGringo,,,1,7,0.0,7,False,False,True,False,
1131,0x3E1D8,0x5003E1D8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
1135,0x45288,0x50045288,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
1140,0x3D008,0x5003D008,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
1144,0x47E2C,0x50047E2C,content\scripting\gringo\ItemScripts\Horse_Deed,,,1,0,0.0,0,False,False,True,False,
1146,0x422BC,0x500422BC,content\scripting\gringo\CommonScripts\Player_Herb,,,2,7,125.0,7,False,False,True,False,
1154,0x43EA4,0x50043EA4,content\scripting\gringo\CommonScripts\GenericGringo,,,3,9,0.0,9,False,False,True,False,
1167,0x3C688,0x5003C688,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,0.0,3,False,False,True,False,
1171,0x482A0,0x500482A0,content\scripting\gringo\ItemScripts\Explorers_Map,,,1,0,0.0,0,False,False,True,False,
1173,0x46C5C,0x50046C5C,content\scripting\gringo\CommonScripts\GenericGringo,,,1,6,0.0,6,False,False,True,False,
1182,0x439E4,0x500439E4,content\scripting\gringo\CommonScripts\playerCamp02_gringo,,,1,1,200.0,1,False,False,False,False,
1184,0x3F4D8,0x5003F4D8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,4,0.0,4,False,False,True,False,
1189,0x3EEE8,0x5003EEE8,content\scripting\gringo\CommonScripts\LockpickDoorGeneric,,,2,8,3.0,8,False,False,True,False,
1196,0x42354,0x50042354,content\scripting\gringo\CommonScripts\GenericGringo,,,1,3,10.0,3,True,False,False,False,
1201,0x4BFC8,0x5004BFC8,content\scripting\gringo\CommonScripts\GenericGringo,,,1,7,0.0,7,False,False,True,False,
1209,0x3C260,0x5003C260,content\scripting\gringo\MultistageGringo\GenericMultistageGringo,,,1,7,50.0,7,False,False,True,False,
1215,0x46A48,0x50046A48,content\scripting\gringo\CommonScripts\Rebel_Camp02_gringo,,,0,0,175.0,0,False,False,False,False,
